Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
TOI-3991,M,3549.161677172542,24.042794139356943,0.5820596498911053,-1.7391552205524736,1.6764245766925931,5.589872748919047
EPIC-12,K1.5,5097.208621762093,39.334675763731695,0.9663100887812581,-0.3505695911351435,2.692391272882881,8.749419255065293
kap-1135,FII,6678.39275583288,33.89682812326305,0.4651256207122536,-0.8987617783504254,4.795386061194547,8.862826447574664
BD 868,K5VI,4098.994109550719,27.271582859240063,4.272799016188651,-0.9720786378064918,4.015625596343111,11.946406337409314
alf 5884,L2.75I/,3984.476300333956,12.989129658759925,3.603822104788339,-1.3320055468508594,5.023245264903706,1.3150920547267404
omi 4823,K9.5II/,2818.7381022556933,22.015839485157265,1.7103679884663827,-1.5548618248909796,2.275702126758895,7.5415459108294005
GJ 96447,T3.75II,2462.122363596296,34.038160041805405,2.360539976709531,-1.0924337270843156,2.54338746070346,6.4343855307042634
eps 8176,A3.5VI,6271.778583468196,30.381578971967794,2.5227648173736523,-2.2063132696527705,3.384055159888812,13.523712045912184
gam1 3991,D-,6746.4355137725215,28.773775783743027,3.547706021058649,-1.6706254122657829,0.5965496362525986,5.134603829296196
iot 6759,L6.5/M5.75,5368.347595752548,11.622068480629398,4.277842545711427,-1.5492253515918228,1.6549194016789779,8.288376302322087
GJ 1028,M4II,7724.913047527914,9.601972888124074,3.1059025983931208,0.9734246895415413,3.0748034407870057,7.792915910400037
iot-1135,K3.5II,4005.630848810292,46.081233828611516,2.512240226032706,-1.3848219998176718,1.4108548319031948,2.5594070283957047
alf 71625,B4.75IV,8118.867038275221,15.347298286471608,3.5551020893181127,1.5995339048754664,2.703972212005862,12.117216977301165
bet 2267,G4.5I-T2.75,6830.675725367534,8.790400872112148,2.9893653608446153,-1.092304662717382,2.874694407505509,4.987467668053469
DP-6310,B3.5IV-IV,6259.5664862654,74.32810892115921,2.256542567605928,-0.1056977479686067,1.9344794062484503,7.254598574574972
xi-9985,M4II/F7.5,4036.714609401121,48.05216985684271,1.6362167089329818,0.08472636990990523,4.687684790996738,3.3933975684656126
nu-27608,K9.5II,3713.5358915735815,41.946412643050614,3.191054130547844,-2.0346422651223857,1.8441547547848582,10.192525603579373
GJ-4,M1.75,6506.975699225863,29.1361901882535,3.444399746590463,1.0613439147619605,4.810288486877283,5.719857341289545
kap 9740,M4II/F7.5,6883.988374353886,24.189999957228498,1.73834648388699,1.2640053947718752,3.9734723394619977,0.9324946895260915
eps-7868,B3.25VI,4234.41519812322,55.56448033543919,3.075411132631425,0.15553523374515338,3.2254810661243383,6.587787157619546
2MASS 9988,L2.75I/,6139.4248949980365,20.872715150804304,1.7547930562689231,0.23370015829544943,4.230776835368033,8.024812570976344
2MASS-9777,FII-VI,4582.967013270194,17.26204227214662,1.9081517311056502,0.09990682621823571,6.118040966777025,8.749643628670105
eps 9402,D2.5III,5504.919827458729,34.29471836113708,4.662711263295466,-0.7694956692999639,0.7777120321399806,0.3729260654995077
TOI 6170,T8.75,2952.1609815059874,45.479367542278126,2.52324429277789,1.964833076437235,4.918844533819843,12.501283149316578
CoRoT-3010,T0.75,5796.270676157165,34.4273664644196,4.122268256985915,0.8003393732199251,1.3558962876986838,0.81535064265704
eps 3591,D3.25IV,5527.116664316281,25.95667490487441,2.0271316911632966,0.3487568757868225,4.807679947715949,4.052545637322659
WASP-7050,D8I,5560.3943074156305,11.515804861234827,4.4378676418939875,-0.1985308369440202,3.503277966930754,2.7320916514448124
DP-2927,T7.25V,2950.4077419295686,9.186171828614523,2.345908336773782,-0.03216996247553999,2.8796156001420936,5.423903935596861
mu2 3010,W7IV,4113.413377885987,19.57423659474554,3.1985076528308247,-1.0268895375211304,3.8434886058772415,9.510964384982003
DP 41716,F9.25-KII,5242.599749751472,34.45662027679411,1.704557475624117,0.9565205200453042,3.964635774686883,1.4595600969513818
TOI-1135,W4,3115.487776463739,38.86966488261365,3.6811041296551688,1.3848029959927326,3.8978210789005057,6.665471063044406
ups 2994,M9.75II-M1.75,4303.224972812768,19.75857836257221,4.888521045466005,-0.7009018129524918,3.912356240577511,7.3768110304323775
