Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
psi1-1480 a,Radial Velocity,2021,0,707.8684817310328,9.170644978493435,1378.578540038916,114.09199217104964,0.05444628519705829,447.45968264963255,642.8551410880398
psi1-1480 b,Transit,2020,1,356.09403875048145,14.563713326518027,2944.0863001601647,135.32554765551123,0.0649411650400574,110.95677980548942,2115.150846400813
mu-5337 1,Imaging,2021,0,473.74017581086406,15.908746950696276,1871.5698481301383,84.81681965466477,0.05138280270867247,1491.7734903992846,977.0526247231885
mu-5337 2,Pulsation Timing Variations,2019,1,472.4329393489568,4.569426406183566,9957.082327446416,148.4371877218436,0.03407363866160563,262.95886955932804,1766.9739779931651
mu-1480 a,Radial Velocity,2015,0,339.53538741304124,12.989289676001674,5618.021804329886,101.99623175520634,0.09620882870437608,1350.8368419892533,1147.949557410364
mu-1480 b,Transit Timing Variations,2016,1,772.9209491435062,6.896396375244409,6488.287625000914,84.81758981091355,0.039612313972484374,1193.8160194224085,323.24716095103645
EPIC-7225 a,Eclipse Timing Variations,2017,1,157.87500750808414,11.208747001032396,74.2184858630444,18.930520716960416,0.06990070668635245,92.36460008340646,592.5965362262738
EPIC-7225 b,Eclipse Timing Variations,2017,0,634.6023297141764,16.54505537387524,5848.833088839219,163.8073963388122,0.055320243329369044,1647.1743807577936,1335.8053624539166
tau 6373 a,Transit Timing Variations,2015,0,801.7578831056051,16.229770138743802,8196.779208986618,143.31845223195242,0.04986946349118799,1126.3295399807016,1859.4815494571421
tau 6373 b,Microlensing,2017,0,143.94798252059667,4.733960691828977,8527.754417753078,107.69215785062893,0.0572236733898691,203.71569013423607,795.3561021820224
DP-1754 a,Transit,2017,1,538.1019303695061,12.474736130176636,5544.5949768724295,160.8622474827173,0.09438302469285301,639.7206243915656,433.9316874843896
DP-1754 b,Orbital Brightness Modulation,2019,1,695.693949232178,0.7418110488299376,6439.4429376369635,115.07454600733055,0.04580035532892087,1360.199474927822,1267.2300481835036
2MASS 9619 a,Pulsation Timing Variations,2022,0,334.40789289770055,9.852237081296916,2151.2173756979328,199.20510085454742,0.08563293891895093,802.8299618689964,2189.686886747935
2MASS 9619 b,Transit Timing Variations,2019,1,721.2263024508412,14.543675980727821,3933.075030297952,164.8296184504087,0.043829110604671345,749.4369475896491,605.2072863917285
nu 2812 1,Astrometry,2019,0,534.504280235521,4.511782765614519,6248.65527409976,210.71660937529407,0.05214094973577061,1660.4935904381125,1343.8291525252002
nu 2812 2,Orbital Brightness Modulation,2018,0,592.2649341397305,4.46720816365455,7001.2457703729815,171.07014440462632,0.038359134060622135,766.2732433001837,531.0746449968884
psi1 91607 1,Imaging,2016,0,1124.9585499062214,18.426569029254807,3762.3098824365247,17.4951602021371,0.0898119627195029,2171.6008468889695,1338.008167989086
psi1 91607 2,Disk Kinematics,2016,0,160.32929123007528,6.296213098624613,1867.7540092927893,142.63071447866844,0.025743696565595064,1418.8545647203202,1360.5139399184777
EPIC 62 a,Eclipse Timing Variations,2021,1,712.2895363890864,16.15168124104122,8311.746807229987,89.99188756462661,0.042438807320785345,808.9917187797457,1056.7828988776575
EPIC 62 b,Imaging,2014,1,489.54539580495896,11.523117111155704,9609.757416501863,85.54179846276693,0.03924327105991907,1087.9039757889705,1073.3316063273194
tau 8615 1,Radial Velocity,2016,0,711.3629457109951,6.437877804386783,6803.423291337764,141.63169116036008,0.10559131909520741,1435.2670994049158,2375.6753687676555
tau 8615 2,Astrometry,2016,0,202.88901538086566,5.156938886597755,11648.07196933119,215.85244430908136,0.06641620473506114,1581.7214608421261,477.0376925084403
CoRoT-6928 1,Astrometry,2021,0,250.5730295445618,14.199845741764133,1026.0121334268933,34.71766770456577,0.02526365578710233,1909.6860783710968,1110.6230252004614
CoRoT-6928 2,Radial Velocity,2020,1,330.26249620290014,4.291911570914918,7186.979115410915,132.3263830226701,0.07116649962005428,888.4501126664987,1406.8731974357413
rho 1781 a,Astrometry,2021,0,825.2985889071344,10.950219596295485,3538.444197304938,162.8053527976196,0.06000208084081064,721.6594930931728,1320.839628964355
rho 1781 b,Eclipse Timing Variations,2018,0,836.1911837449004,9.745715773638443,6621.2608125760735,56.11838150717618,0.06185073299080045,1217.1032792544197,1741.4996726032712
tau-5417 1,Imaging,2018,0,71.80501384359127,14.516232418632232,7420.82340600138,100.3160722367892,0.07105871590368001,1960.14551159322,1971.1027751711867
tau-5417 2,Disk Kinematics,2018,1,575.672563029352,13.237723885659003,7944.781713542504,145.67267675043342,0.0244662786690016,46.099331716256074,849.2563768567843
Kepler-220 a,Imaging,2017,0,307.9406122885752,13.17982294518955,1726.8854139355667,153.86103151666944,0.041397247135783494,582.9440468866893,1089.2010638657882
Kepler-220 b,Pulsar Timing,2015,0,234.21496193501923,15.09675138921953,4698.601512496035,121.15310537763061,0.056360313296132974,1214.4974993237895,1240.882234724905
EPIC 2861 a,Transit,2014,0,1048.9784293089563,1.3922216700454157,9514.41106006378,111.03161191806248,0.05912841132744221,1215.884246604979,807.7897139115988
EPIC 2861 b,Imaging,2016,1,470.7819735509809,6.541570353880195,9954.31972359242,170.1980874090779,0.030283380291059637,1864.5296316110557,1238.002853015588
rho-5223 a,Microlensing,2017,0,822.843798550772,7.810566475125755,6533.500285169534,122.2361553397023,0.022389837372630422,1409.9997765911253,1317.2979554154663
rho-5223 b,Orbital Brightness Modulation,2018,0,546.5761805213486,22.595501911740907,2902.59148269385,153.61717449403076,0.09391399092227909,1542.0096727206273,1864.2781240788263
GJ-4 1,Disk Kinematics,2017,0,255.61019145162578,18.898628316133248,8954.105677108042,56.59325017699842,0.05702402870698108,143.71968925625401,1378.7059437704495
GJ-4 2,Pulsation Timing Variations,2020,0,499.6197339010655,3.0930520914185173,4493.4211804498445,102.75820869708316,0.06949242384467541,972.1811000833773,839.4835592089537
omi 1057 1,Orbital Brightness Modulation,2019,0,441.68747442794347,5.20950252683935,5289.331468960626,155.27299607521454,0.040863651218669396,233.48878364857023,1618.5210173491464
omi 1057 2,Transit Timing Variations,2014,0,342.5629097452757,4.609615939716194,2864.0205462064578,31.47744741856539,0.07884925507956354,972.1611414321553,1079.7621927474731
ups 4272 a,Transit Timing Variations,2020,1,404.9814407204961,2.7501340918920594,12937.651469101507,106.60168223167148,0.03450520101664896,1242.7208383075229,231.01940070944124
ups 4272 b,Transit,2020,1,178.00825475074885,10.430434196006775,5746.893326025358,107.24789948471015,0.048772854952848,1070.4131180143568,1668.0449544504354
HD-6928 a,Radial Velocity,2014,1,550.6863471749955,11.649345684569608,2095.4660569435564,143.231902336195,0.0030758322490144485,1025.912565527493,1531.0876956982038
HD-6928 b,Eclipse Timing Variations,2020,1,344.3296888959567,20.606490271560517,5936.003297848315,124.42519626406818,0.07716873376084923,679.7786047582623,1774.015981684423
nu 5434 a,Pulsar Timing,2013,0,666.6651315279386,22.128090232887253,7740.763921007496,154.45616147814295,0.09026229722405874,127.03790938503346,62.60450046998312
nu 5434 b,Imaging,2020,0,462.31257785522365,11.593726369247944,5015.792445587651,67.79132646612146,0.09052574354778214,1045.3725438018635,949.2419866922705
TOI 6170 a,Disk Kinematics,2020,1,529.2945680321427,19.229420490574284,6590.450783658379,82.85411356951177,0.04668101773830626,506.4670504479519,1334.8061529265603
TOI 6170 b,Imaging,2019,0,469.698137394496,14.417516174261747,5441.742534842843,129.65459695568003,0.025449524058395945,2468.210559386069,1416.0763871717127
kap 34947 1,Disk Kinematics,2017,0,1114.8914813348538,8.600930564275055,3197.437136287739,118.95100780707467,0.08071046844806982,652.0538265940877,967.308786428205
kap 34947 2,Pulsation Timing Variations,2020,0,628.1647692389324,3.131734148068629,1951.2982410582208,223.96071448456732,0.02946400973199309,730.2967461311921,311.87659932436134
mu2-6450 1,Pulsar Timing,2018,0,70.58568925411817,10.210121618353686,2601.9028354217858,82.20936451703135,0.03966123262270709,1218.1547749111364,1803.7954184007738
mu2-6450 2,Astrometry,2017,1,238.1013740944939,23.97020339575706,9063.602786633714,65.62636063464713,0.019132345997529627,970.7326189522114,1677.0494823078047
bet-9900 a,Pulsar Timing,2016,0,549.9522899979831,9.36488279924807,8059.213951440583,246.45000601333277,0.0756706003059002,750.9859413894249,1034.3170272955074
bet-9900 b,Pulsar Timing,2017,1,602.7165068926992,12.1572211782262,3141.3001678002947,96.51604682695296,0.06748344010406433,2052.8604558013294,570.7506446611866
HD 8615 a,Disk Kinematics,2017,0,341.548207842956,13.77259067575147,9175.138751260902,131.16739888342255,0.032161383047873665,610.61038685929,2028.9768654304075
