Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
HD 2088 a,Microlensing,2015,0,745.7158283754943,12.004028193905535,1186.6136387574134,180.45385136452614,0.06720719095418373,1236.5110155460347,337.0762855809361
HD 2088 b,Astrometry,2022,0,818.3967072970158,19.57385767775984,6795.631825813016,117.51750346058851,0.04944382383071619,1475.7894171754715,612.3493972068402
HD 2088 c,Radial Velocity,2016,0,744.5884898146742,6.0595759230763315,9165.833796220875,62.70038904102369,0.04389911520438864,769.8242210035195,957.0083503415545
HD 2088 d,Orbital Brightness Modulation,2018,0,306.3862231367789,12.913180758730611,1427.3876917194416,51.757876154578035,0.008187884147184014,968.3635038757286,1164.5325905758198
eps-3405 1,Transit Timing Variations,2020,0,532.6491713783616,6.4756012800129366,1949.3839849153296,129.11916176208453,0.0543619497923082,1930.5173977948816,256.93313235342737
eps-3405 2,Pulsar Timing,2017,0,537.0858697097956,20.207615962553568,5624.879321731319,154.25491638445288,0.06304883324700801,1465.0150755669627,726.7449101514003
eps-3405 3,Orbital Brightness Modulation,2017,0,374.66872147789906,13.685824231013973,4988.296832162923,157.048555611403,0.05805955948157467,1565.9814188667815,1501.808704580612
eps-3405 4,Transit Timing Variations,2020,0,408.59906619180305,7.423298835329868,3165.5969410373427,134.11200946580095,0.026366925753057182,688.1743531473159,1091.7689504074308
bet 8752 1,Transit,2018,0,75.170662966966,15.303196113803196,8000.6504628734,70.96011018183114,0.07249766448928693,1585.9083188137363,1619.7507954644439
bet 8752 2,Transit,2022,1,692.0750418470964,16.633286661141483,1470.6294655622464,164.24102076373418,0.08690320302840208,688.5325121117589,470.1265918781951
bet 8752 3,Transit,2022,0,25.170877703688177,21.023340819099694,348.1500035901108,130.4159210632549,0.020135743682950638,1356.883619492397,1252.5046893715496
bet 8752 4,Pulsation Timing Variations,2018,0,756.0852261239395,10.602955512911723,4107.681888626111,93.09647238897591,0.05373247332815439,1570.6396913188653,960.6162901597893
rho-7988 1,Transit,2019,0,97.80384456515571,20.176461492804457,7134.145339507982,38.802356091748955,0.058043666593081446,1518.8149716521402,996.0138354280307
rho-7988 2,Radial Velocity,2015,0,652.8773476706633,12.901556726345039,3867.3131691788203,144.25312441876775,0.024047095900393067,1550.5448577287007,1235.7340224339287
rho-7988 3,Radial Velocity,2022,0,906.3325048739596,7.792291175851443,12453.296007772205,136.5479504344548,0.07657820134502069,740.0622386837176,251.14339180349918
rho-7988 4,Transit,2016,0,1033.428931226568,12.296211710245066,4447.066990852073,42.07632324216925,0.03817630314888425,2157.3209417132794,1162.3036781628534
alf-6663 a,Transit Timing Variations,2020,1,355.96115847822625,6.103242715843506,8477.338926861285,123.87431016484518,0.04265919972161582,1562.7003650660681,1149.615192941168
alf-6663 b,Pulsation Timing Variations,2016,0,611.616059274297,11.341739050187261,8348.068530739383,232.52297604762987,0.004749838416652399,891.2333776514183,774.5306962773108
alf-6663 c,Orbital Brightness Modulation,2020,1,1389.8374660707186,12.24566055936451,7219.182271378819,78.40131463310405,0.08195186697599655,1132.735460146514,177.90666103541616
alf-6663 d,Disk Kinematics,2017,0,597.6761246739902,7.4767668569926045,6843.557071610216,7.162912970319226,0.10518168229855224,1728.9777935630127,1929.340677384217
alf 8430 a,Pulsation Timing Variations,2018,0,315.3127004180713,26.031029538102622,461.8226679025029,136.08966025610545,0.037206648889472074,1024.1442483637272,1372.687084336511
alf 8430 b,Pulsation Timing Variations,2019,0,8.6657588909747,8.135266202093987,9844.656628200668,64.80793599213457,0.0397255027438196,1873.610222092717,1106.8793771149565
alf 8430 c,Radial Velocity,2020,1,623.0832912286402,13.832303696487665,4917.721015172016,134.8376178345036,0.08027619579156964,840.703553351284,482.45776598402017
alf 8430 d,Pulsation Timing Variations,2019,0,526.600546729564,10.477042178547713,6051.176139082184,119.27390935357701,0.005990603537121608,771.2522164163246,814.5104607296332
HD 72310 a,Astrometry,2021,0,347.56894280536784,7.938326716000251,6204.265681396262,58.17409986175378,0.03843977692226445,798.6500279607732,1345.2783124492269
HD 72310 b,Transit,2015,1,232.15261409403524,10.116156031006692,5122.61394047066,112.28873517764166,0.0490439304235882,2058.9644347396447,1947.929459177169
HD 72310 c,Orbital Brightness Modulation,2018,1,507.66195695388024,14.406855014708363,6201.658322612608,150.64123980689828,0.07071543422275699,510.41652884967607,1684.3770150235694
HD 72310 d,Transit,2018,0,333.0217708666156,1.6501151854423934,3055.631312388901,122.02538465165598,0.03846699533757873,1378.678835094756,1406.7884704466935
mu2-5062 1,Imaging,2016,0,642.9257867869783,7.793478746130079,8779.88599999429,55.09750773410926,0.06250331678244492,1101.822682093657,1570.9973373038713
mu2-5062 2,Imaging,2020,0,1213.773580148422,17.73445877611412,5541.0321007385,94.0539405444193,0.04719217553769254,1888.7838993617133,964.9501297409341
mu2-5062 3,Astrometry,2019,0,829.340042192895,11.717683694620566,7159.685547635681,143.87017987336603,0.03835890471603578,1479.9682255141113,691.7478336095339
mu2-5062 4,Transit Timing Variations,2021,1,318.8045708557056,10.66104277631522,4721.24658935719,145.42280499258476,0.04180799089293693,1780.4445499828855,2184.5868291090237
CoRoT 4038 a,Microlensing,2022,0,101.623696496246,3.9309358446146963,5513.426108846623,99.49010691505258,0.06537202271995803,2049.0641408582464,2173.460976371157
CoRoT 4038 b,Pulsar Timing,2019,0,361.57987238549805,11.97551448850213,5758.2453525239,137.28353995907773,0.008968721663708608,1838.7098958639945,1816.3357451680477
CoRoT 4038 c,Eclipse Timing Variations,2011,0,337.14503615966174,11.161563810876572,7543.289534430196,76.63648686812927,0.07361610305038191,71.73059124857309,950.7635694989788
CoRoT 4038 d,Eclipse Timing Variations,2019,1,222.192742720561,15.23650871286224,8640.808717481326,51.252481587298746,0.060048502061009895,486.0732785605022,2017.7973210442547
mu2-45 a,Disk Kinematics,2020,0,230.80058713598663,16.229016733651946,3311.3984982013767,99.7988783063316,0.022236430850087165,779.125175582432,1574.7525781158233
mu2-45 b,Microlensing,2019,0,323.32490094983405,13.262418505901447,3285.320907877156,206.52528467554097,0.026418215308365967,647.5339404625151,940.9109909426651
mu2-45 c,Microlensing,2020,0,980.0624429820047,8.10091371323097,3027.5185712211355,75.6137621981898,0.046039025493789756,1131.4928568205305,1902.3011791077192
mu2-45 d,Pulsation Timing Variations,2022,0,890.066322842735,22.465180075743497,5442.10515391617,114.49280826279846,0.07003591290748837,1334.3669705659463,258.20711868522096
alf 261 a,Disk Kinematics,2019,0,194.41115850424842,19.13473492313615,5860.272876446057,76.64885743697108,0.08324201156010219,1260.909333106088,618.3212643919235
alf 261 b,Orbital Brightness Modulation,2016,0,54.95796033351155,0.727601109330843,4629.668537179243,73.1588933968278,0.04714496856954564,1089.9215020452693,1246.7476644403807
alf 261 c,Imaging,2020,0,140.650541825365,11.802574295778937,4771.936949133916,88.21661566854263,0.003688277608806051,1974.4031928927402,1164.8940493982047
alf 261 d,Disk Kinematics,2021,1,839.9627955418272,10.20619244161376,6504.701653956574,63.700370981793554,0.044992360591477855,572.6454907024471,1262.2618745049863
omi-5454 a,Pulsar Timing,2019,0,361.8087305916772,0.38803205382523487,7859.432786905329,69.03875954460476,0.03418440149108806,1378.255040553161,1739.7650522350077
omi-5454 b,Astrometry,2016,0,260.5900825132825,16.078644846377195,4942.573978781586,151.5226676015498,0.06387201228960229,961.3945239376606,737.0906039758104
omi-5454 c,Transit,2020,0,686.6222589328398,14.161989017245517,5885.288187053367,127.49740233710658,0.027142891842573742,1161.071012724985,2516.1462519854285
omi-5454 d,Pulsation Timing Variations,2017,0,617.2732617465437,15.582076331780307,11049.202522163672,196.51758921780078,0.05311862403359947,997.2830152999243,1438.8519063274957
GJ 2690 1,Eclipse Timing Variations,2017,0,441.2912634004235,14.256492381603401,10886.32786384028,83.76465334814597,0.024365536168299895,1079.7984318860588,1267.6020177047296
GJ 2690 2,Pulsar Timing,2018,0,506.5940839886355,8.683132921272625,2387.9843485565375,55.8563738218671,0.052425897852684936,1076.2835555173742,855.0273829449984
GJ 2690 3,Eclipse Timing Variations,2018,0,981.0042295091614,7.0316837479786365,4475.140963083586,277.5626902501448,0.05134630643979967,1496.446983137817,2510.775351588836
GJ 2690 4,Astrometry,2021,0,586.4259843368083,7.665528830197206,3153.362064682451,192.34365431109984,0.020923586123836675,1550.6876467181382,1823.178682483067
tau 9032 a,Eclipse Timing Variations,2016,0,607.8830721740674,6.518972694633887,6510.890435990272,196.79513683438316,0.0260961983170068,1518.4135264408906,2557.5314325877107
tau 9032 b,Transit,2019,1,66.3672379468681,6.323997927117574,8020.455308763145,164.09486290647246,0.019115582999380883,2106.698168628155,2001.3148106220874
