Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
iot 7995,D4.5IV,637.7119020533837,57.83913155158763,3.552037892273744,0.5364420502545775,3.891813165557792,5.90832415980559
eps-15703,T3VI,2317.845000254738,35.22637561133098,0.3685022921046368,-0.3840479913803818,4.5878279453638156,6.421222245339058
iot 2292,B0-I,5165.266906311512,38.54811345755602,6.663678561838946,-1.0679481752971702,1.057575874372493,9.082940380703004
HD-6976,T5.5,4305.006235429149,30.307953944185297,3.9068591147403318,-0.05957639065731765,2.1298151705575865,9.721988404846238
ome-4764,K7.5I/F8,3816.727789498629,39.37340731101507,4.144140925728907,-1.2303306201254407,4.388309833454597,6.771490664676607
eps-3225,L2III,5400.777178934506,19.61953243173342,4.5929784247793055,-1.6154023316722097,3.6523795091364604,4.3590240681334755
mu2-7520,L4.75/IV,1728.4132016955778,47.4915440735922,1.4440813756016961,1.9820330469165361,3.7401200553241933,0.5266910825082247
gam1-4200,K9.5-L,6575.691603883455,28.877943601030193,3.027783172782249,-0.7766611545627071,6.151080769789511,3.54457389148262
EPIC 2100,K0I,3102.8495550740936,25.226692025017968,1.817460440518913,-5.310738856804511,2.557984149369538,2.8081249231150025
DP Leo,FIV,5923.74696048407,36.8130874693394,4.155770606576491,1.5788898046972373,3.54555343852968,8.717629298974439
omi 6701,K9.25,6706.734421405551,16.07541095537942,1.8322399275734962,0.2594646855534739,2.9395328931206737,13.597400612554953
BD-1761,L2III,4116.672437503976,9.798357686998797,2.5174054019306924,0.6246031598277031,2.2386449413505263,11.13860509766189
mu-2863,T7/W4III,4291.554317313246,27.342046266932645,4.643565212946342,0.5363447960734413,1.7228161598712228,3.4188068535855507
BD 4837,D1.5,9080.606658723478,29.224407734523957,1.6698087733076452,0.1979172438988709,5.19813857953195,8.330266395216249
WASP 7124,D4.25V,2180.379904340288,24.873054717066335,1.6209461420608329,-0.722010229380867,3.544103898420528,0.05750803601584309
2MASS-4706,B3-K7.75IV,6072.846147523474,39.13750944623216,4.992690971431412,-1.6019593358378383,4.839722922859188,11.899925643753566
alf-13,W8.75V,2780.173033532802,16.973839787420385,0.14619679926935047,-3.135843536726283,1.43926848932207,5.788066497582911
BD-7238,G7.75IV,3114.8744609150353,19.905130516637325,2.678609138126353,-2.9942258422890267,3.159276285712243,4.5635608359445925
Kepler-5165,W6.75IV,5311.239519064235,50.19320608479604,1.5286043503065208,1.655682507482969,4.022331014623546,7.041143902873406
CoRoT-5380,D8.75,3767.281408909155,37.38178389375343,4.4818751216773745,-2.3800830584734034,3.871934918074827,9.24622917107661
bet 7645,DV,6796.824290252713,12.358826627912345,1.7238508324718789,-1.7336190843997348,4.221481911343829,12.03863804246555
GJ 1451,F7.5,7728.565682980935,14.373127972832874,2.977368913930796,-0.19495608530767938,4.48412477061447,6.34714920714372
2MASS-2198,D1.25III,4651.309996046869,6.612432493098538,4.54236303240101,-1.6041103365951788,4.36960828073783,10.991628005101767
xi 57,T9.5II,7404.648182710011,47.85408487863961,2.609963033560785,-1.5194133238533463,1.247153610807631,5.978038625694036
CoRoT 5165,AIV,7032.220573137577,15.788754520813535,0.042868805160280576,-1.4198038994965128,1.6042044531172819,7.5445048735559626
mu2 9374,W2IV,5559.480877307802,24.038082290358176,4.168330348673308,1.5281833085902379,1.9197094200220253,10.86087105314187
rho-2964,GIII-G9.25,9156.296473088423,25.986720166402677,3.2260447024324868,-0.11485715685736095,4.753084858406098,8.775804952002197
omi 946,W,5306.239900284436,54.741368125266135,1.3076682501076058,0.6430709960417436,4.696624853590755,11.406709035731863
Kepler-3624,T3.5VI,6519.8184403597825,14.534706761703305,2.3736216210367345,0.579083918070687,4.355260260687443,11.437473380003723
mu2-44576,W7.75V,6097.096584460288,22.35152074267105,2.297557641774306,-0.9820661271023057,2.809191272768906,12.659066965704556
BD 6884,F7,5106.683176421954,21.126170376995354,2.9056249609249467,-1.3341739455835897,1.7198852285830235,4.780679305681314
EPIC 8514,A9.5,4360.756597268422,17.74395862599537,2.1072017476862874,0.1010560309372901,2.3929886908527616,1.8343137950979882
CoRoT-5368,L8I,2732.992744405022,34.43810370162013,2.661264550985749,0.5015669688199131,2.2194472955621487,3.409443695663296
nu 2198,A8IV/A3.5,5991.301628990428,11.343634883185619,3.5918303952658883,-2.672722126175392,1.0417610641354216,4.709461730069064
kap-3981,F8.5VI,3300.3331423893374,28.44923690943912,1.7364364754082886,0.7779413030971061,1.7485532821134862,8.16320452750334
mu-359,D1.25III,4197.400906542545,17.145768067039345,3.711494776617057,-0.2635563528614543,5.145198465960269,4.396395073834892
mu-47,W8.75V,2199.0934936921253,21.747038116816885,4.500669609024483,0.3694504038995247,5.988277724432958,9.78599961467872
tau-362,F2.25/BII,3971.3609546442485,32.20460856050308,0.4561326596254487,1.3226761314092437,3.0004901550774874,6.561146914943347
