Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
2MASS 975 a,Orbital Brightness Modulation,2017,0,689.7231597400535,14.55670054865503,6862.681773449942,232.3121581415317,0.03707228638198979,700.0115358378494,465.7127177493717
2MASS 975 b,Microlensing,2020,1,265.9745781162021,7.1248463948468785,4364.307723569729,115.40736418352033,0.060712494954359764,374.01512706566666,1175.5050515982666
2MASS 975 c,Radial Velocity,2018,0,388.5297581470398,13.151407198364053,5409.125089877451,48.18950974044533,0.050896241095958215,1398.7928400427156,520.1033868984492
HD 46 1,Transit Timing Variations,2020,0,416.2078070695322,10.245070181545858,2911.525002561672,90.59578861382388,0.11563130849884427,2574.0423674333056,384.2847003632014
HD 46 2,Orbital Brightness Modulation,2020,1,314.28667322866823,12.464730240790876,6020.897239214534,177.86272829749413,0.03488766852269045,1088.3322556852668,937.2112724524247
HD 46 3,Orbital Brightness Modulation,2019,0,823.0672992931067,13.686634829121637,3477.344712325139,105.85807415244032,0.07720655918880452,2557.5194113464186,2778.6765216787344
eps-6577 1,Disk Kinematics,2020,1,440.1867652139667,13.808079062189549,7916.49779946462,64.98939569738226,0.038141147248937315,530.3430647543494,896.4278948270597
eps-6577 2,Eclipse Timing Variations,2019,0,148.10268827714407,5.766365417103419,10667.700580651526,27.677354334509943,0.08018815802693939,710.3760422852904,1621.329075542709
eps-6577 3,Pulsation Timing Variations,2019,0,701.513019039282,6.773166898896413,1771.0215646454785,28.462757652278142,0.04073662227686914,1052.7586159177172,2142.318904730566
TOI 9936 a,Radial Velocity,2020,0,514.8426313061888,8.991566483532187,1247.9139109583166,157.03177294192676,0.08984885382271382,1590.3394512278123,472.4362655228057
TOI 9936 b,Imaging,2015,0,151.37275259685407,11.900892843604932,2546.9492986668483,169.269973202451,0.029471690347316126,945.5257117574683,818.8623806115793
TOI 9936 c,Transit,2022,1,352.4546948229747,5.900739986448945,4983.208237597727,62.13304278667562,0.10089499388194353,1589.1101685150354,804.0644273484128
eps-3988 a,Microlensing,2019,1,504.6897551678355,4.618647866254015,2151.6996600175435,148.6960152903922,0.03536598592654209,1242.8349863569877,1644.3238429213966
eps-3988 b,Transit Timing Variations,2022,0,360.7165891871691,12.76971902298223,6567.426350499542,31.227092684250806,0.08220944052181064,353.9006418002857,1391.7921445954833
eps-3988 c,Astrometry,2015,0,470.5721541265465,15.861362650388994,519.8412430786548,51.05551745356525,0.057874363423350596,1962.9403583358617,119.66320692144848
tau-2793 a,Radial Velocity,2015,1,614.3172987681868,10.851187555908142,9213.420819188608,109.43316508664192,0.07880899322474781,1858.3568475732068,457.1797811039405
tau-2793 b,Orbital Brightness Modulation,2016,1,510.9908223135214,11.197899624584975,5693.883011444034,114.39512572272619,0.034995835525173775,1000.3442649939973,270.8950976228806
tau-2793 c,Imaging,2019,0,225.93567909585215,8.000991319346689,9012.853344489931,163.28252976283983,0.09477215880268078,1849.1462393638421,862.1682776622387
alf 3877 a,Pulsation Timing Variations,2018,0,981.4089527544686,16.500867262365553,8899.90481093204,123.75829504833106,0.03606104340207761,1431.211922797015,1534.7707941775507
alf 3877 b,Imaging,2017,0,128.4969691410899,7.333259557624613,5582.394295083141,144.25698811470437,0.036210820666153255,1105.6284285478855,369.56628586477973
alf 3877 c,Radial Velocity,2021,0,476.9664948074824,7.605064110828236,3543.47380204156,98.67176511247669,0.06826037247230875,2989.488063051841,1196.102675686446
kap 31157 a,Imaging,2017,1,1010.7242251174099,8.301064386818064,5430.943115879314,110.12487629772349,0.04928807497322392,1177.6819536175067,1034.6193678777886
kap 31157 b,Radial Velocity,2017,0,796.5398183476256,9.422372723709994,5643.071438333722,95.61610582848678,0.042884079804034116,1351.6386515203767,258.546903760169
kap 31157 c,Imaging,2017,0,530.7157364674551,9.619321066889103,3521.1467682306666,59.53525635405272,0.05354518411724935,979.4535924335105,197.84504229874233
Kepler-220 a,Orbital Brightness Modulation,2019,0,631.4446742893609,11.3551507000011,3234.142521668229,203.36645051639354,0.040928391505726205,1331.7816422335138,1960.693116493584
Kepler-220 b,Pulsation Timing Variations,2021,1,701.5704912279946,11.023275720213377,2640.848671938363,31.498414647883592,0.0695271301281419,283.77753090333374,1080.0386921286063
Kepler-220 c,Disk Kinematics,2018,0,882.8080339215994,7.367408008341427,10173.668535678058,26.229689076741693,0.06426683644593265,1306.2225371969082,1021.3352260257919
kap 9970 1,Microlensing,2014,1,606.5098401631387,16.54178623627164,4337.7265387181715,127.8605414141917,0.03421530503846189,839.5705978324119,2427.7941273308306
kap 9970 2,Microlensing,2015,0,517.744177366178,1.833190342877744,3791.321219920024,78.38987734307179,0.09696157350380424,1206.5907592321448,1479.3548005754005
kap 9970 3,Pulsation Timing Variations,2015,0,408.4997141319297,20.58842256130664,5882.423839183061,47.832130134182634,0.06592066134838742,2487.424992716268,1809.0629774332672
psi1 5312 a,Eclipse Timing Variations,2015,0,878.5756369219755,9.955324999821805,10176.2731063745,166.63674111899155,0.056328790285788556,179.73510578013133,960.9735915660328
psi1 5312 b,Pulsar Timing,2016,0,249.6604529126187,8.293126359811144,601.6816085940345,79.26031617936745,0.052437276841731946,709.6741520906123,969.5340816281723
psi1 5312 c,Orbital Brightness Modulation,2015,1,274.93257679973567,10.432912071055352,7580.090315629131,29.857384431294093,0.037937348917487276,2877.7990839739027,1021.8728511406885
alf-9961 a,Radial Velocity,2015,0,289.59151141517555,18.735311897198713,5478.743190734404,53.20794034636592,0.06585574699871068,1986.0710627110445,1254.371151487609
alf-9961 b,Transit,2016,0,34.88114646227655,8.04765221915535,3888.824968831565,183.6353497715096,0.056928094369466414,1204.2647587036952,1686.9879139980906
alf-9961 c,Imaging,2018,0,752.049804164931,16.571754237046513,10727.021895555778,100.45893407011447,0.07281372238320734,2079.1316944997725,1177.5384372477943
omi 498 1,Transit,2022,0,603.0505948702568,6.018556220143549,10068.471086799347,128.29181127091434,0.016920323597158754,968.8426599616362,1297.7772553395885
omi 498 2,Transit Timing Variations,2018,0,489.1049469222481,21.366795574853647,4763.753222404838,131.42117823757988,0.08362759761451452,1315.2254219273734,1902.502615430808
omi 498 3,Pulsation Timing Variations,2019,1,737.9263870703555,5.5575833041269425,1540.3451568201808,141.05791046804515,0.060292861261928496,581.580375144564,942.9771369840278
kap-2123 1,Orbital Brightness Modulation,2017,0,426.23215500922936,26.166021272424057,3029.613494223246,148.89536500632386,0.08735130383258849,449.31498688794557,2195.5515632287925
kap-2123 2,Transit,2016,0,588.0994650084406,6.757301910840196,2740.7369242796144,68.16792079797433,0.048117433850275886,1980.901076523472,1341.908495337119
kap-2123 3,Eclipse Timing Variations,2018,1,969.7788926183214,13.320660496589523,5927.598676314583,131.0675230247078,0.027491959863686154,1835.4371392058433,496.47164302622537
TOI-8110 1,Pulsar Timing,2021,0,422.922486205959,3.4328438804116743,4369.941812991373,119.69129052745322,0.07589775659801815,1744.9757411113,1547.4749882913238
TOI-8110 2,Radial Velocity,2015,0,825.039828039275,9.420086117399642,4392.752751150934,66.88273496845157,0.060026377838560546,591.8064382372456,2162.5255482832636
TOI-8110 3,Microlensing,2019,0,549.4750540104446,9.020733325778243,731.8792910717257,88.93455827232727,0.009371580103052557,896.2470824303631,1057.1033641298186
bet 951 1,Microlensing,2020,0,521.8413227127166,13.036580345760669,9009.090367749039,141.19715630724866,0.01868806466146019,1421.3705548996197,1333.6974223392344
bet 951 2,Pulsation Timing Variations,2020,0,800.427819678219,6.256742740346103,3435.7367080538156,245.7876260060961,0.05892952496325332,1256.3059617792849,618.1537560541159
bet 951 3,Transit Timing Variations,2020,0,229.83602911581204,5.751896855043743,1555.5833796969437,129.25106185392826,0.02744196433269666,655.898739286226,426.8172263035383
omi-2339 1,Astrometry,2019,0,712.3716327042384,3.214479215907782,6706.7766798935045,116.31481056213612,0.034192913700621434,1116.4318303027553,327.09876212157826
omi-2339 2,Radial Velocity,2017,0,1222.0627384267293,18.137430890667332,5078.872683388899,89.18533712403966,0.06979447847695158,762.2713626719756,823.9868402399218
omi-2339 3,Transit Timing Variations,2015,0,179.8626637863897,11.642064115099101,4969.547369042204,96.94968685504844,0.06521760250266277,1370.1273202752059,1610.5043090909217
WASP 7225 1,Astrometry,2022,0,876.2320747465953,0.7888822292136428,3411.754129348563,114.47888187751934,0.056060755280748234,1671.0721903119224,1862.6502344481578
WASP 7225 2,Pulsation Timing Variations,2019,0,628.975518135921,8.57065802967384,2416.859672648329,118.09368239392063,0.07815036866216118,1984.9755694678493,1176.2896728497913
WASP 7225 3,Orbital Brightness Modulation,2017,0,682.109357099743,18.042898571877018,7614.305671067121,85.6714218629847,0.020525659124741316,1173.7791865729166,996.2984653581202
CoRoT 605 a,Pulsation Timing Variations,2018,0,483.287736525098,0.34179514573575887,2723.975229254468,81.04127325631822,0.022192673679653194,1489.76572757857,686.0068636943356
CoRoT 605 b,Microlensing,2018,0,581.1433490228276,25.77325826505745,5711.460009946739,134.32476205764377,0.056084318026161394,1995.1269997377972,1324.3428025891606
CoRoT 605 c,Pulsar Timing,2018,0,548.6651702542961,17.155189820433343,8119.078765114125,75.1730179482095,0.032466902508687875,1269.6286873796373,277.1778103591853
eps-2339 a,Imaging,2016,1,510.32406164696874,12.948798165015644,6081.184155873694,76.10259672924619,0.0226388156960593,138.48762718807063,1396.480269969359
eps-2339 b,Pulsar Timing,2019,1,523.2137283143815,15.603763824334242,2784.59661743247,65.61563801222232,0.029348594103609325,1119.4770537543345,1250.629975917851
eps-2339 c,Transit,2020,0,513.8782457160895,1.3779118145850724,8307.295002606457,72.93650159211403,0.058155912156893294,1123.7430032187672,1588.6179434955834
xi-7225 1,Orbital Brightness Modulation,2019,0,594.8953666430868,15.328088515259953,2227.741525312205,93.9363994289903,0.030718281221867948,1973.5341671088656,1146.907302656765
xi-7225 2,Eclipse Timing Variations,2016,0,786.1887920249188,10.734176372500807,4347.915513925776,54.63542329549709,0.07961864135396915,1084.5079896191455,1849.3233253931667
xi-7225 3,Astrometry,2018,1,903.3387459383601,14.850627789428714,585.1901923251044,205.6658024327934,0.03406589614232574,1524.0293582767256,1402.7730643779933
gam1-2890 1,Microlensing,2020,0,705.9149013814407,9.93458766501925,5860.503269544652,137.00202940359452,0.05155337520557724,910.1022901041838,1011.1516029134402
gam1-2890 2,Pulsar Timing,2016,1,443.7920394014515,22.447403357990197,5789.247630752203,85.45705281593004,0.08309580712609377,764.9556167572273,981.606677363281
gam1-2890 3,Microlensing,2018,1,747.4057494258616,13.929502038808534,3626.561687712112,171.84691511522158,0.03592672370654821,1718.424243927714,1277.015807830317
