Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
iot 7995,M0.75,4837.632376163618,39.92835550144517,5.167331390940566,-0.8533733640611008,3.1746019296520265,6.045484446953745
CoRoT-951,B8.75,6043.868427912102,40.498983857704125,1.1184657179332649,0.11698505109862878,3.153562144801807,1.7915158165813283
alf 8046,A7.75,7393.612937328628,20.920890120204703,3.3704697634311325,-0.2709968542402448,6.105077164061243,13.368431339374485
tau 6367,T1III,6402.01623596255,18.724734959753135,3.746947550642185,-0.006402496283523018,2.3176998355277325,6.733795684816738
2MASS 5197,G6.75VI,7268.2631022660635,48.01060003653673,4.196707146649302,-3.429819517744617,2.7531323906642644,7.452551813622707
TOI 50,T0.5II,5435.222946219399,20.397851577551798,2.742447637109211,0.7146481203644397,3.5292489341194475,10.69833150254983
2MASS-3843,B5.25IV,4578.866578789699,21.46256303353755,4.221712337657956,-0.38431029765371316,3.09113355628631,8.341375581588764
mu 8876,F8.75III-L9.75,6399.0076666216255,26.090839442180116,1.3742885277639125,2.0332715771418597,3.6616113340656704,10.352247353310466
2MASS-1750,K5.75II,3490.1790058964707,18.997737980235954,0.9001713224602526,0.07726930852250741,3.3029490515192137,1.3857799507280388
BD-6577,T8.25,6659.536558216393,23.91141168392095,0.6999396032365237,-2.702752452232109,4.161800394108776,4.6647217640803635
GJ 8399,K9.5V,5406.463598574475,33.76737519214921,0.1849236900585165,-0.9010752308039198,3.8026747991384537,3.9438736666668732
BD 5872,T3VI-K,6338.246759183509,40.86060149662914,0.4073259223903949,-1.3336484635229462,2.8903325332056493,0.1267457152088758
alf 2070,B1.75VI/A3,7358.502370681927,33.45127883755339,1.3644376368526452,1.2684661410004556,5.45816893890758,1.4433341339524972
omi 868,A8II-,4779.943252589612,33.71925130425819,2.070070301208957,0.3004215144866657,4.825391451021501,7.0612997349985225
nu 5197,W8.75IV/F2,8247.16624182641,24.119776601738657,1.6323034070265638,1.5636147122194428,4.809091887036166,0.5406598144719226
mu2-2946,K2VI,3344.1113655516997,30.21674191746584,3.6924460146182865,-3.301621144227712,3.3732988122196956,8.179729467311308
CoRoT 7808,L6.25II,3292.168507534253,2.214131589830945,0.20921145437572797,-1.185269366909412,2.3096395778709375,8.855951761306578
Kepler-7273,L9.75I,4113.037360641592,37.446061091348305,1.07590669930144,-2.410048338089222,2.967693740576914,5.06762396749321
mu 6672,A2.5V,6763.300204825525,28.567065698940596,0.03811852763943335,-0.17423013835807097,6.51548629561713,2.924004153244442
nu 4287,T1.5-M5.5,6987.168506878031,6.829561748590354,2.519218066723809,-0.07143661476154894,1.9172078759258913,4.2548490849270735
ome 9017,G6.75VI/M0.25,5036.735805389492,32.26669574955494,4.464381626974616,-1.3472107040493198,2.902962096221339,1.3249299379398582
ome-3082,L9.75I,2818.5178854539395,20.64002289931435,0.9423222183184399,0.5422488849088707,3.7758011022140097,8.903586773946536
TOI-70,A9V,5969.66216678325,32.600959174704464,1.377401828221493,2.012738122555581,1.7898540471307192,9.747960671157237
CoRoT 293,K7.5II/,5048.541376854608,34.621276394492064,3.615046447649868,-0.4536742998727208,2.7713596393186535,12.103976104739523
DP 3837,T5III,3588.0898315400746,35.32717370719464,2.2521365751904714,0.9241769891747851,7.829397735866516,2.6430366008495723
alf-13,AV,6019.414484872979,23.677146687902717,2.3185754469376136,1.1237676067442355,3.1379137272906386,6.559354564337742
GJ-94,B7.25I/M8.75V,6346.57467665571,42.063475123247315,0.5079933650626951,-0.4204156738528975,1.7288535915152163,12.142405453230548
