Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
EPIC 3604 a,Eclipse Timing Variations,2019,0,754.5714919308239,9.550815531920597,4241.275447042768,184.02743393550028,0.033194717143755534,628.0934935304897,733.2629133703298
kap 33 a,Imaging,2016,1,668.8924011153078,20.357375523329075,13306.342609505278,110.17104755108682,0.12822151278628086,428.9856249604784,1392.5072335727043
bet 2882 1,Transit,2020,0,182.90621962087272,9.589994058630062,5249.861574330903,66.46065106634452,0.10050313002795624,1734.538776114567,1619.6257881025786
tau 2575 1,Eclipse Timing Variations,2018,0,319.7263671306473,16.110250508978233,5119.915550983151,199.52628474825838,0.023315664182006934,682.2006212666718,174.18127818901417
2MASS-2228 1,Radial Velocity,2016,1,446.70314924536143,19.41581547675429,10117.260871524155,154.09168577422454,0.09442919089906163,711.2684216792256,535.603194592143
eps 9570 1,Eclipse Timing Variations,2016,1,373.7397545760658,15.555692670134803,6405.077310258236,188.56430849780799,0.07496368704294717,1576.5916177326585,642.4228618134766
bet 8778 1,Astrometry,2016,1,745.2709244870236,5.365844090405025,3358.558377479474,70.66957135767815,0.02523191563417351,1186.2431831789959,894.811602502104
TOI-8673 a,Microlensing,2017,1,287.7800775168597,12.14334629245192,7987.788933618338,85.99963046437693,0.08303677481842803,1581.8953936343435,1258.623962495022
kap-314 1,Disk Kinematics,2016,0,439.911173176152,6.950111640983312,7180.915479351317,48.580726714655896,0.005259145072246542,1525.3784876501022,712.3029237721339
kap-6760 1,Transit Timing Variations,2020,1,276.3463270955939,14.157111125358998,6923.281016324048,28.556355055006833,0.060970496964115516,512.5061342015789,1382.5215060174464
2MASS-939 1,Orbital Brightness Modulation,2020,0,521.1166221630539,6.744651233048498,3589.1886093833546,124.12420827445702,0.036493262196731116,1511.9612415081965,931.4278291383125
alf-8669 1,Astrometry,2018,0,1015.6730410716746,8.140278651364653,2004.710044070056,116.64561962962857,0.05311373525675232,1181.9093326602626,1324.592835974295
omi-9345 1,Orbital Brightness Modulation,2016,1,286.0760327763783,15.365467673052706,5991.98616081601,99.2636845410475,0.026476739745147217,726.073449645124,939.9277744581123
ups-3808 1,Microlensing,2018,0,933.4434539361612,18.481852794126773,9042.924168309806,149.77271798095666,0.032192367214373324,1807.118870362971,1163.8181328377364
EPIC 2100 1,Transit,2020,0,485.1180320720517,17.50433069652729,5950.888680298987,125.78106965441975,0.0847066106524135,1898.5634779806787,444.82576142321545
ome 6538 1,Imaging,2022,0,764.3394477613057,14.752534915245665,7285.3420096417685,88.70327743485498,0.03664903972408799,363.12980145485744,779.3898198218868
TOI 86446 a,Transit Timing Variations,2021,0,136.48213042676264,3.8676515938869676,7066.091817795272,8.326449735149737,0.055756548799208425,271.4626130086315,2033.6072499135762
gam1-892 1,Imaging,2019,0,534.3715081052572,9.485089081412465,6276.733043622029,17.309617314776077,0.040984405523598534,1514.6266202007823,2204.21500436487
gam-9397 a,Eclipse Timing Variations,2018,0,263.9047394564029,14.21607592912283,3593.6845148152424,105.13854984591714,0.0643180564248067,802.8398692500889,1264.89148218633
GJ-9967 1,Microlensing,2019,1,828.0639383822684,11.582870424856372,6500.051225344386,155.38882303030215,0.06475439027624467,2326.472178021534,1622.0709883896652
CoRoT-81569 a,Radial Velocity,2018,0,586.3027641092707,10.600068240583825,3419.2915569014676,131.73693842071378,0.03285907370417768,783.504604680749,1169.1997067968746
kap-4971 1,Eclipse Timing Variations,2019,1,544.718915155375,15.398789352991308,5002.437511385878,121.76465112269707,0.05818520712753103,837.4717129936616,1199.1613924838946
xi 9301 a,Microlensing,2022,0,205.07546584313178,17.82572977380502,5267.832603646219,71.73980659704009,0.03753435605035921,1025.3102033840455,808.6235459785846
iot 3130 a,Orbital Brightness Modulation,2022,0,262.8171998652071,2.645270747254086,6133.993714243103,182.36125318992666,0.047981873612708996,1678.1905965297683,1344.7422788612796
ups 1149 a,Transit,2018,1,87.75450950065755,12.34227909712974,3821.3706452464685,33.76537834662655,0.07831721008638542,1024.2454489198733,1834.186085494902
bet-5799 a,Pulsar Timing,2019,0,465.9158922515778,15.231342340076889,4354.799587783734,156.1228728648694,0.05429781849473653,266.4840418022875,1503.4980160870587
eps-8271 a,Microlensing,2019,0,544.0681531630516,13.017594675575983,3895.596309379572,94.65121408722138,0.02785146576971801,861.3246950033287,954.6985819349635
nu-512 a,Imaging,2017,1,642.0506962948945,17.854026315915146,7310.336119222717,167.97313150240313,0.06892824674213453,979.926778873817,877.5929536236476
TOI-70 1,Pulsation Timing Variations,2019,1,321.0957379906729,8.188115290207014,8762.300738607886,174.69226895118715,0.07226700071434504,1188.3758877160574,1396.9872945800412
kap-9104 1,Transit Timing Variations,2020,0,395.03132789523397,18.18541173895449,6607.947954295019,239.39819977244292,0.07875453693733686,862.5979162517735,1099.780942906001
ome-7723 a,Disk Kinematics,2018,0,500.8173921146252,8.237506501277295,5839.822246363945,37.20531111013383,0.043354482525183,1976.3868452042975,855.1255892629945
bet-1674 1,Transit Timing Variations,2020,0,525.9199336209674,5.0337883264425285,7635.332113507349,14.228087496890126,0.009032756730194318,1706.501157402773,107.47250828783376
GJ-94 a,Transit Timing Variations,2013,0,128.6660065755981,15.721358878537234,4768.990758740106,83.11430532902583,0.07004876742922687,1793.8111718376022,1303.212653198888
nu-7744 a,Imaging,2019,0,90.76258859302658,18.91361550365447,11979.509097272638,121.65948642215213,0.021039154639604214,1696.8279709946128,822.8879432309647
gam1-1187 1,Eclipse Timing Variations,2018,0,120.77710886632843,14.481008562386219,5175.519999829419,63.18028783810641,0.01635499164407664,1632.758734989754,1020.7505910191475
Kepler-44220 1,Microlensing,2021,0,477.14825249431465,13.743494104792488,6516.82086825616,81.42047307179315,0.008876930534832864,412.23796846714595,2119.8828268558664
xi-2493 1,Imaging,2016,0,176.39817117245457,6.120055254533469,8602.94964738347,94.92958389497412,0.05052082428724978,1661.5417042155336,1048.581558935287
TOI-3156 a,Astrometry,2015,1,840.381179805278,14.317045922690706,7197.950866606128,86.68712407846353,0.010701486880025798,1859.1055182994796,154.2086937898439
bet-650 1,Orbital Brightness Modulation,2019,0,93.29735412210744,2.045455572349132,6749.470887955147,116.81798858575738,0.08024601935456975,1766.3181636577133,1648.5521374446628
WASP 9915 1,Orbital Brightness Modulation,2020,0,807.6359820225603,17.59287199083558,6284.863783295225,91.90421076929385,0.0347771900976773,321.5544273657043,301.58043170758117
gam 8946 1,Eclipse Timing Variations,2020,0,361.7090398747153,15.579076327362937,4887.148023621636,188.18202472286538,0.05159150940481661,1438.12453598329,1399.2422757201089
BD-5265 a,Eclipse Timing Variations,2016,0,476.36425123900904,10.950922845171043,3855.48800970327,50.856652919946036,0.0442383804674408,895.4742865815086,2033.74567961278
xi-5116 1,Pulsation Timing Variations,2019,0,455.7428176217931,9.526583611700408,3551.8169187417316,14.722644157959081,0.0720155639884715,1155.9934843673495,1175.2656616158915
psi1 3432 a,Imaging,2017,1,654.6599201984889,10.273529229106773,5762.574802473561,174.4330426727704,0.032796567302758886,2137.499951239309,1214.352607737521
tau 9116 1,Pulsation Timing Variations,2017,0,344.6218974797073,10.705270466445446,14165.412238495499,177.58265803588733,0.043177146475522094,641.6973456064859,1269.729613854081
nu 9722 a,Radial Velocity,2021,1,543.1877087953328,2.58923308793792,8898.71220544828,118.73003910630163,0.027981078798852404,1192.1831379266584,1688.5348566572145
BD-5996 a,Pulsar Timing,2014,1,399.11763004648867,12.452094079785313,7666.812996074158,73.5548287017434,0.004062783911355304,773.4340287407263,140.68068098550964
bet 8447 a,Disk Kinematics,2015,0,839.622804633782,12.828659897445243,9368.784696745919,130.82127976380394,0.07729623145296546,921.7932754793889,905.4753441747002
DP Leo 1,Orbital Brightness Modulation,2018,0,88.87955834085227,6.347781654514104,4898.467798650204,157.1595692938899,0.029875926124285107,1315.2738013677927,2628.628239779644
2MASS 5314 a,Pulsar Timing,2017,0,630.25353776879,12.71606610754078,4160.766686239187,101.31736867985614,0.04023931257950361,1285.571289130667,550.4698463629306
