Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
2MASS-7807,F7.75III,2963.6821003116575,16.158949550586613,2.0381354873575597,-1.1788643202258413,3.3048098209385546,4.451144455899064
2MASS-9265,W3I/D,5999.49051402465,31.139160576074666,4.512734329859194,0.3344843412844271,3.745208482730197,4.165055147086973
psi1 1332,A8.75,3282.003215311749,18.271258141109637,0.6433082383563355,-0.7239424900931746,3.8867624012215343,6.212258878660806
iot-1878,F2.5I,3495.4840476053787,41.747243634683386,2.467960204030483,-0.1730541505481962,2.9568489811483727,4.970646229398302
HD 6898,M4.25,3761.1271036658945,22.998905935311704,5.612230880586482,0.8710546603662115,3.9801745212067408,6.573151299604933
kap 8118,L6.5II,5335.907946898155,22.290532093884323,0.3548512697744908,-1.0506881384158993,1.3214520997648256,3.1750883301537525
omi 6920,D6.5IV,4861.592422973115,13.7358889111081,3.768608998042578,2.102459062579998,5.068182857955509,6.996167273567013
alf 9235,T9.75-II,3675.5225195222984,61.462687894781325,2.512614384109335,0.3678991280122104,2.9673200282237,7.233740591994396
mu2 9358,F3,3514.3602101942142,31.223965315945218,1.7022677103748542,-1.7936959630637992,4.340115613436183,8.586521178004293
rho 2741,A3III-W9.75I,5068.271799485273,36.1173738930108,6.601513062151928,-0.6057385179903214,2.9836777018350147,7.010149779060411
WASP 1952,F7.75III,3690.684447339333,14.03714422029441,3.1605140537547007,3.4286159652151533,1.5595653389073836,8.506790572444876
omi 5649,T4.75II-W9.25,7995.484733600305,41.119824609362595,5.017077598831332,-0.46453702678729347,2.980701662654532,12.115926399302873
psi1 89,K2.5,5637.0230988056655,46.61358999578579,0.16870297513769206,-3.193779671474117,3.776193072738817,6.349095563915522
ups 7103,F1.75V-,4400.4091969132705,17.00834831022857,2.35745274281122,1.3005621890533672,3.5608087918800315,8.633951857637934
2MASS-1243,A,6721.158490358157,10.96369567926442,4.811132609497604,1.1542413564287526,1.3893352118248778,7.359841222245535
TOI-123,BI,2870.9668923100776,53.700979953739434,3.2296002915193434,0.28591687063993737,3.622594212299728,0.3576529651442728
psi1 124,B3,6420.07832473484,40.40865607223345,3.418722550567886,0.5997273351383563,1.3833808926493478,4.865212679472835
omi-5675,T3.5II-L5,4606.048218839342,13.083946197758268,4.324825190492947,-2.3182651750309913,6.148438409755565,6.981989139583468
