Discovery Method,Equilibrium Temperature [K],Discovery Year,Planet Radius [Earth Radius],Insolation Flux [Earth Flux],Eccentricity,Controversial Flag,Planet Mass [Earth Mass],Orbital Period [days],Orbit Semi-Major Axis [au],Planet Name
Microlensing,489.8487817792891,2018,12.151903875964546,1564.8747274091857,0.0990555975553836,0,6897.338202715911,783.5132728530311,95.50600070325648,EPIC-8440 1
Disk Kinematics,1756.6710929948204,2013,10.538571725617173,805.4268751731664,0.0648639952835486,0,4385.492863748603,451.22707712573714,68.11076109054837,HD-7991 1
Imaging,80.81759344347563,2021,12.427910421703402,231.71937391386905,0.0189117993958381,1,7391.515009063896,810.1585314296632,51.94731445198338,rho 3966 a
Microlensing,484.16279222441256,2021,15.271137057807362,1335.8079216770643,0.0175341993567652,0,7812.585849545305,811.5901916226607,173.4478215009767,nu 4543 a
Microlensing,1167.6381770276053,2020,14.666549448695964,790.9528926803102,0.0772829956181415,0,7384.704967209183,544.5887853673943,22.276306543072693,GJ-3536 a
Microlensing,1470.5097792950246,2018,13.55813735463008,1226.5114917474218,0.044011060791064,0,9460.155696129144,293.2653837204077,65.18626398087714,bet-8082 a
Orbital Brightness Modulation,1972.233639839921,2018,16.9247320108038,1353.4031107985525,0.0418994478551452,1,6149.964359437461,298.5947982139095,103.64366446757462,kap 85150 a
Radial Velocity,740.6246254791275,2019,9.9119284091336,950.0770079572626,0.0538275078414942,0,8581.896104513482,623.3240035492876,58.75242041409748,mu2 6573 1
Pulsar Timing,66.55192187369676,2014,11.968138813961618,1377.0996566152437,0.0289368142241301,1,5453.235542531446,709.9017963325234,167.62119076968537,ome 2246 a
Microlensing,1388.4464256525496,2021,10.390384606006377,1230.9784156116257,0.0594354634683392,0,7739.636589533432,174.93728711251913,74.21564574477514,tau-4312 a
Disk Kinematics,350.2061667654774,2017,18.30250409929547,1371.0173057110833,0.0541550910124368,0,4975.074330584172,428.08263160417806,79.84586471125573,gam1-1706 a
Radial Velocity,619.8751934874092,2016,21.63371877322446,1202.1563679968392,0.1147520698087919,1,5136.081727894766,10.865640863608348,64.19424503971186,psi1-3708 1
Eclipse Timing Variations,1549.8555791328558,2020,15.864074685468324,1.520735811340728,0.03781954272547,0,7319.9901844013075,530.9924446513301,133.44083101237004,Kepler-4281 1
Astrometry,687.6321047760171,2016,2.1511391334312737,847.9802549373751,0.0711373466731171,0,2629.278785631217,1311.7795783904764,240.52643881701343,eps 9021 1
Eclipse Timing Variations,1456.666525088778,2022,7.383650552261416,1219.4256536035584,0.1107910915945558,1,4582.860198886338,710.672469122554,99.39556985395816,eps-3311 a
Eclipse Timing Variations,1260.1373679628057,2020,12.086690321334316,1427.0248662059985,0.0297337143018042,0,2118.8318533125635,307.04374346129765,51.61924521902784,kap-1 1
Microlensing,1755.6958098912564,2018,7.957943123267722,927.5351121101172,0.0303765030858988,0,8348.950863347332,442.54498395892966,104.79362091314916,Kepler-2635 a
Eclipse Timing Variations,236.33563493254653,2017,13.894327127856256,658.1492297179113,0.0414719287436955,0,7299.958966324944,438.3709235141405,100.94583265529364,tau-6488 a
Microlensing,770.5909650751441,2012,8.3815111196833,302.653746593223,0.0089319939658544,0,3706.204742701871,319.83219740928166,215.01231096784065,psi1 9034 a
Transit Timing Variations,954.2849535402444,2019,13.726359945349213,285.95130092967565,0.0890709603499841,0,2818.963114836741,943.091272512008,133.8774730723204,gam1-6422 1
Pulsar Timing,2101.577726340456,2020,16.972755297870307,1000.829909156176,0.0197963631843547,1,8581.046943762252,1209.4490290581896,69.70901514079571,rho-9815 a
Disk Kinematics,1376.192578522647,2016,11.861747694496565,1166.1527034494873,0.0784108438605667,0,4208.807416581834,855.6355735799893,66.12928206417496,Kepler 5247 1
Orbital Brightness Modulation,1305.0004175425286,2019,4.4200960869848815,759.4444001754712,0.0455986096868233,0,3416.047957145565,769.8161392501002,112.64381495791083,alf-7034 1
Imaging,671.323250701468,2020,13.03746132347452,593.0589936184317,0.0700958968748873,0,2156.1477568818686,337.12155984717674,60.446754047922745,kap-3997 1
Imaging,789.8914600709893,2019,6.876831376995194,1292.357145617604,0.0889438716490866,1,4342.23229104395,801.6538310513918,167.2579981753186,kap 61739 1
Radial Velocity,1530.1174492109449,2019,10.696793558148624,1477.38396871314,0.0949638519784259,1,5406.227125326879,319.10020271814665,191.0231098547428,DP-2954 a
Orbital Brightness Modulation,1347.8646140402998,2022,12.572830036650842,275.5592619083401,0.0753575877947777,0,7291.759516181203,999.661504591034,102.30422627409703,gam1 66 1
Disk Kinematics,1861.461278133927,2019,21.32934712397304,1262.9966933328003,0.0628399210934295,0,4453.160415610131,413.1596891034804,129.84476459177623,gam1-8862 1
Pulsar Timing,2039.444169913776,2015,11.664373394433705,1059.5433311854658,0.0789507164318225,0,5674.824399048527,741.9632926161047,83.02444545661452,nu 9551 1
Transit,342.81702439664195,2018,19.7338304151743,1179.8986406191498,0.0683826052192958,1,7062.13721378457,808.4726260765244,111.0713219589431,kap-2610 a
Microlensing,1422.4589290781548,2019,8.803369152935955,2301.4312197729614,0.0127980987585456,0,4901.038768606565,263.3167745620528,127.24428637117674,ups-7811 a
Microlensing,529.3984938758706,2016,6.490133473773585,1229.006651470975,0.0857446892656734,1,6080.902846300087,298.3228917616537,23.692052018010717,tau-8862 a
Imaging,888.295746802334,2017,4.970607572434677,1203.7492531378812,0.0653175451696373,0,4864.316390988151,655.6277983684165,202.98910706293333,DP 7991 1
Disk Kinematics,1500.8929861598274,2017,7.113611785097161,1891.62726736176,0.0334804976690228,0,6287.533260671224,488.1137473378753,234.19366107159016,GJ 8025 a
Eclipse Timing Variations,484.0150227216534,2016,16.1184206994452,509.7843710222421,0.0609554457610153,0,1764.9776036168296,508.1611183387206,49.39852451674481,tau 1670 1
Transit,679.5054861446627,2017,16.912545315470144,2592.0319375056706,0.0542288898976354,0,2953.1327397253963,990.862025776058,101.25402129969564,GJ-19371 a
Microlensing,557.090266029481,2022,18.913200145685785,896.8302095035749,0.0321919639120199,0,8873.359563400209,346.33701166727576,45.630123901073205,bet-6488 1
Transit Timing Variations,671.3777082724238,2016,3.062744925172128,1136.7571928841517,0.0262971629126342,0,5974.106272978683,617.7836638850193,126.71578029302282,BD-5265 a
Pulsar Timing,1265.506062938627,2019,4.536109395038101,1582.7635616950477,0.026881056710532,0,6223.506324939536,591.8138946634464,113.99378557841004,tau 3435 a
Transit,945.2021357113558,2019,6.864058964943228,2364.147577073388,0.028363614038453,1,5188.124106083462,326.72032442748696,143.22035557974203,gam 9906 a
Microlensing,599.4998132373344,2020,12.273674753661671,2432.8258429239386,0.0643975098382472,1,6738.788752255841,513.8400377522472,227.85837007599417,DP Leo 1
Microlensing,489.6445371208405,2018,4.772382339627036,2212.310453892298,0.0637548430278611,0,3917.906059020784,485.7925599075578,124.12742295105232,TOI-3311 a
Pulsation Timing Variations,1401.2848174482729,2018,3.9660273863813726,744.3908575083735,0.0669874807273838,0,4724.3765790647785,461.8427154550295,187.9436804224032,mu-47 a
