Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
iot 87914,L0VI-IV,4019.9795056703842,24.101860811548494,2.1768874435067285,-2.1555674944675633,2.535254676964364,11.997794537783207
HD-3985,T8.75,3690.1113437573495,37.77005942914522,0.7547410902899201,-0.3554498969878124,3.059706313821225,8.837817690817907
mu2 6646,F9.75VI,4018.1153695611238,18.622172076696053,2.5203926389388274,2.4558911446456033,3.1732549487234,9.405990439912769
alf 1727,A0.25VI,5731.827900224552,30.768709702118322,1.2186016472861074,0.8078017097046508,4.570455449936217,10.119146966007264
omi-1727,K4.5II,6042.839380460792,19.326650709435494,3.531485836339249,3.0496541349635087,5.076318273603544,5.448915653483922
WASP 69,F8I-K9.75VI,4210.26525735323,14.257975839890971,1.817764509505142,1.2321841925174586,5.4587596227768,2.2080196027120538
xi 1090,M7IV-V,4552.369365002007,24.77796072110846,0.7926166108343569,-0.293044856661907,4.814462162843088,3.065187012037779
gam1 3810,W7III,3886.86338078726,34.93998831963645,4.804172143198713,1.5462064418423767,4.148064894244063,9.03128713963374
TOI 1044,F9.25II-K5.5,5020.94775925761,33.56323060714911,4.687625759024908,0.08140421959662286,3.34146962410283,8.522878918928647
bet-9110,M5,3512.431840241598,27.662725660049006,4.327691892677979,-0.8651794223411238,1.4270745054864467,10.864507324277929
EPIC-2180,L2.75,4871.208929374698,19.397577570283794,2.1731049092395103,0.7912331721912182,2.6251145418456807,9.12600475521821
kap-7836,L2.75/L9.25I,1477.6827279534946,33.9088525313597,2.8457325157119167,-0.4784125513583772,1.6304751001708089,8.46266918752093
rho-3569,L9.75III,6581.991214079942,30.943031386881987,1.7014777108076742,0.7729773998534717,4.657086720281351,9.794024252904878
kap 4777,L2.75,5946.56819598648,61.430261468942305,2.7951453772571706,0.8971428247166584,2.2050487388537805,6.205142851180877
mu2 8082,B0IV/G8.25V,5521.815664674475,40.83615892043182,3.0259864527780467,1.2370279513160103,1.1484421124114048,7.244370252552074
iot-4386,K4.5II,4362.650375535377,32.12165632170588,1.8424238522129266,0.32421399182584393,1.789772234110805,6.4999633341052325
HD 3708,B2.5/A0.25VI,5911.045431448199,20.082781069543532,0.7611324189504165,-1.3671127829580472,1.4826810583700236,6.833657464829966
tau 6450,D3.25VI,3835.7236977309813,22.413408247105018,1.9506269022295624,1.0876843097623394,3.571635641127258,4.847130164435784
GJ-8206,F8I-K9.75VI,6256.78209222678,16.737547176525638,2.0434214412090603,1.1361926746663327,1.4237199806219283,4.9716031812748165
gam 3836,W3I,6876.599529686958,42.7187138039312,3.4323248705690195,-1.7915742188523451,6.022381180755557,10.043872962291752
bet-2668,T3.25I,5970.568776551258,22.152066599091743,1.8363612571447216,0.6492398721329338,2.938997015426256,10.823056608198634
iot 7351,D5.5III,6544.3604599193195,23.906570273281677,0.3415346863098794,1.4966430876775503,2.7717383251680197,7.852494722317834
xi 23757,T8.75,3539.109471632457,28.772806810220146,5.06339855229443,0.08262945022781282,2.6614613412955954,3.298636284753165
eps 9760,W5.5II,3865.4925317191437,6.992311098068786,2.440222287931043,-0.5540160651540178,3.992382655958449,11.37619940355605
xi 1,A0.25VI,5536.100671539904,27.962902521122285,2.435781474583327,-1.0468952540279364,3.0976020139544636,0.35173525685612184
CoRoT-1364,A8.5I-,3661.9923648248505,28.518609781107134,0.15581241341745633,0.2311581869670571,2.9038764996428843,6.994194772218127
gam1-86611,M7IV-V,2733.9265831287726,42.08499642692514,5.6959086044166,0.5249921596511009,1.9431599978769047,10.092619365890627
Kepler 1364,W0.75,3330.0962629419946,25.417284591623392,1.2292185013218282,0.8597272964080265,2.141330709200352,7.391161334906213
