Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
eps 9453 a,Eclipse Timing Variations,2018,0,709.2332080561491,8.239001311990133,5928.872928090265,95.48976738633078,0.055883122284239216,1417.905133691987,23.716122540458628
eps 9453 b,Transit,2013,0,362.8324493256316,17.06546715732253,5746.463157809052,187.234597765685,0.05026395461950196,961.3004994574129,461.9091945454113
eps 9453 c,Pulsar Timing,2017,1,398.7815854417232,16.539215699932814,5243.668291635171,122.32443100031352,0.06112421172500886,2023.6496891897514,1878.9727248646045
eps 9453 d,Pulsar Timing,2014,1,429.30470005716063,7.426723409073624,6021.473625097845,121.27681588652419,0.02823494582915125,2028.8540558605791,730.8218363126999
xi 8100 a,Imaging,2020,0,320.40371519470807,13.374122631213135,10200.58786171809,162.09762938518463,0.05259942238299671,1859.7009043119979,2176.8303330892913
xi 8100 b,Pulsation Timing Variations,2019,0,372.81290620200025,1.671801544716942,5077.110635204213,159.50781001367938,0.04494678739196377,718.9779708795642,211.70832744942322
xi 8100 c,Imaging,2015,0,628.8181744431286,17.96432545743106,3256.417527479297,145.05206068427628,0.020160484051715704,911.0354508323198,301.8978562977029
xi 8100 d,Eclipse Timing Variations,2021,1,1144.0095654681259,6.265442972117854,6587.32805574804,112.07527129391947,0.05549649859549702,1725.9721589667313,1717.666415975841
tau 34 a,Microlensing,2018,0,328.6737690064573,1.7438301551834297,64.9954982186382,128.51148203831448,0.06149662879741859,245.59428774925448,614.9090974676105
tau 34 b,Eclipse Timing Variations,2020,0,599.1291483532656,14.265650400468243,8641.149104569084,45.31471230992249,0.05006087946668549,705.7129179932904,2006.1075272981757
tau 34 c,Disk Kinematics,2014,0,334.378931551914,6.262523197076434,3720.831248971694,140.94586414096415,0.07205156067481655,621.0190580199578,1310.2901610387864
tau 34 d,Radial Velocity,2020,0,838.9352614637869,15.479582123852532,3794.8613939371307,48.865764725803366,0.06375888629674983,1320.017271221656,514.2072792953257
mu2 8806 a,Astrometry,2019,0,291.18250307349064,12.16808429687388,1037.7812011281399,88.41855390129791,0.0649592563591432,1793.5829794684812,361.3312658377183
mu2 8806 b,Transit,2016,0,359.6057482058558,12.19682686616022,6144.757509988405,100.28654544825416,0.04616026730332732,1319.5103849422055,1115.9209829747383
mu2 8806 c,Transit Timing Variations,2019,1,617.6491048349943,13.957650247379721,4176.666729091186,136.58671063192924,0.016786976193990555,2163.599302386278,1460.957676765961
mu2 8806 d,Radial Velocity,2022,0,433.89722764567676,5.472976679593118,8527.511197369015,37.48082579513882,0.07242063863245528,637.9351697947646,826.0379638557329
EPIC-1526 a,Pulsar Timing,2020,0,9.606981146620058,6.446083310345891,658.6524370610905,121.8202029355601,0.03141908493732498,1677.598672527191,95.49905982011842
EPIC-1526 b,Transit Timing Variations,2016,0,503.0679818511879,11.790400850052043,7639.743251789993,74.25755782241374,0.017052519395191805,780.7422286154142,628.3921958223859
EPIC-1526 c,Transit,2020,0,698.7766507334314,8.844682264478987,6220.552877176,125.55100715097602,0.025165858861078725,1038.2102019572935,438.8422777339232
EPIC-1526 d,Imaging,2019,0,858.1880244443596,11.819265817935568,3112.8585988089553,50.451771627988784,0.09863251908975533,896.4354339057679,946.4843952556979
EPIC 706 a,Pulsation Timing Variations,2016,0,263.1541270603077,10.460032996385225,5639.727345205105,127.42381965321984,0.05642138780558553,78.84891256829371,742.8180041125704
EPIC 706 b,Eclipse Timing Variations,2019,0,1066.3902792957008,3.8935000698526734,6341.561643258836,90.0602262529098,0.04122766423556272,1548.9426044001316,2050.5277587275496
EPIC 706 c,Astrometry,2020,1,360.6386762982228,10.184033776244297,2577.834185953882,67.67404578439684,0.05424894910975386,1677.7945408822816,2297.5907473968846
EPIC 706 d,Transit Timing Variations,2019,0,305.25618286593954,6.714814832904966,4612.94978262061,110.1823438978094,0.04657937339025237,1134.2902904561006,541.7398727320524
omi-5181 a,Imaging,2015,0,498.9079813143653,8.811977157569292,8262.24066336391,122.39702261795873,0.04689102734136304,978.8250246516399,1742.4175479679739
omi-5181 b,Microlensing,2019,1,509.3944128722843,11.443221389515976,7714.587621934094,240.34526534264876,0.03179816988569132,753.9440995699406,907.146350918643
omi-5181 c,Imaging,2017,0,249.41144009601703,6.848372545466498,3187.362679010186,133.03902243344157,0.0018991615306338666,1733.4747638358745,314.40162015506655
omi-5181 d,Transit,2017,0,172.20569477738673,2.6890848942563057,8702.621031136754,76.3314221298628,0.06019372494772075,1990.9963646755634,1159.9019167788047
iot 3079 a,Orbital Brightness Modulation,2020,0,130.0711726295483,5.114092164139607,961.0858445624604,167.9762434125411,0.058345706751612936,445.8228130800384,428.12798024759684
