Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
alf 4142 1,Transit,2020,0,362.7939825853391,2.272830705446488,5621.687787813679,119.38287985098334,0.06559421343914047,135.46250755871688,798.8744839392901
alf 4142 2,Pulsar Timing,2019,1,470.5303323686607,7.605897370305273,2602.6880668963813,108.62125346185434,0.04937759047134998,1268.534194377298,1174.4595078991897
alf 4142 3,Pulsar Timing,2018,0,510.93146490617914,15.144169502165084,6631.065269135397,168.46230800994388,0.040896795957348575,1034.0151702494456,1231.7652941977942
alf 4142 4,Disk Kinematics,2019,0,760.499981299819,25.245589418266743,6178.805864817077,104.52313839399079,0.026328597407203332,775.3248230737133,1702.6914081076857
WASP 9239 a,Imaging,2018,1,188.87869692627157,14.371033089916319,1553.7672862694335,92.06929010656515,0.0693812106882425,2309.2692709588237,781.4448269365673
WASP 9239 b,Eclipse Timing Variations,2019,0,492.3235267815683,15.21084869210371,6565.534590856356,173.41115903064087,0.10206809722837702,2019.7464023795392,822.0106624806431
WASP 9239 c,Radial Velocity,2018,0,615.3981616496637,1.8638671650680365,2864.836926805479,59.021356676829086,0.05000697270635507,1053.5956247605534,1539.47563839222
WASP 9239 d,Astrometry,2020,0,561.0957638244944,16.62950754319308,299.5867957279943,127.92172265540242,0.04606875905544719,488.4968414902736,1563.5947134339747
GJ-3375 a,Imaging,2022,1,753.0041394715316,11.691250191944125,5012.148719762396,86.79821228486186,0.04313545249395791,567.8392032270758,1268.677467625492
GJ-3375 b,Pulsar Timing,2020,0,663.3022961775524,13.55062975659719,8308.56090110897,108.36114411446057,0.04144538477896294,1449.888549133432,1247.7981727205513
GJ-3375 c,Pulsation Timing Variations,2021,0,270.0930709065171,9.121441816416427,4470.610120165975,101.0966661363905,0.006719395629279812,1375.5534820826838,2530.4144576063127
GJ-3375 d,Astrometry,2018,0,379.95373573048744,14.01274924203665,4349.508319964039,0.41673623441067775,0.04627248690591722,1977.523489325263,1768.2064469255101
alf-8038 a,Pulsation Timing Variations,2017,1,555.0893578496781,13.30504076412137,4938.6883876543125,171.83312394745406,0.11016007857897815,1615.660736513997,1302.4704889804132
