Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
gam 8865,D6.25III,7064.1807560226425,29.2196100856556,3.413459868875226,0.9673278656888606,2.7033443715556147,7.091484759964391
nu 6524,G1.25,6739.34447875694,48.39627269223243,1.3773695598099536,-0.871936109512367,6.415998894083929,12.017958326827282
xi 2681,W6.25,3015.728958632928,19.386201478105953,3.9149187344708927,-1.4091694187319372,4.885383929475076,10.64701238851194
DP 2796,W7.25III,4399.784682248174,29.152769255646678,2.4045964910395003,-0.9580894353637766,4.957304412621503,11.376299329595835
alf-1704,A9.25,5444.957321112396,5.400813200686937,1.2794686234172514,-2.3292541254730317,5.007280560819773,8.081909918443264
alf-58041,B7.25I,6675.485045717582,39.95247687766939,3.280227023756857,-0.14610748377774765,2.6638418070318846,9.30833817385058
eps-2494,T8.25III,7746.300060649331,18.37534843649925,2.498780357718962,-0.6639821793694258,3.319571355565853,5.857960759237668
HD 7818,L9.25,4872.442643800817,53.742143655371066,3.5297609423575578,-0.6749554922967597,2.0897587077542754,10.728085259142377
kap 3027,D9.5/F3.5III,4880.065146161482,40.038380264389346,3.5825018472568835,0.19130415221358854,2.911739533815792,1.7822764410832042
GJ-4540,W3.25-IV,1789.91434156488,12.139177210669969,2.83583889747594,0.6844823885981786,1.3868420769522403,6.553685476603792
CoRoT 958,T0V,5541.872835169419,23.73306413525595,2.4933432705503904,-2.748781408263451,2.990987967870376,4.820183586615278
mu 3521,T2.75-M4VI,4210.397679287489,29.048772724319157,4.040939872439235,-1.5196554119323689,1.0333016507804467,9.796353400487554
BD 40165,G9.5,3857.7754745541524,20.781367881380458,3.783292213932749,2.205255008386257,2.1470874021595643,3.99051859418733
kap-8054,A9.25,5011.018978922465,22.222517011466397,2.4623525925055265,-2.0494511879624615,4.948521146822639,6.6710195945452675
EPIC 3702,F3.5III,6045.635104861422,11.8033924140546,1.1111902978615216,-0.7285573095970221,5.682872896430419,3.127974575534842
gam1 44,W3.75-V,2745.994805513799,27.38808264918263,2.7497082367396297,0.5166670056643161,4.226317185947414,9.807347847932304
GJ-3543,G9.75,4412.36164481129,21.224960421254423,1.075553599243955,-0.6107929454951634,4.391558857610801,8.511365825265102
nu-5664,L9.25,5718.767949736351,5.506376368721416,3.096954026235214,0.3397793695347681,4.057609206681424,3.8666747883418378
ome 989,K1.5III,4963.560285093148,39.84493241021795,3.105972014495729,1.2709286902754628,0.7352698156191999,5.49759515452755
psi1 8646,G0.25-II,5211.54522617518,35.7545801723641,0.5007733788889701,-2.895903042986414,1.6002057573422397,8.444109811117407
EPIC-4527,L8.25-L2.75VI,5988.284979188858,35.64565477977168,4.332028868562599,0.2731553043744146,4.910606340320067,4.7110839465085315
mu 3636,W6.5III,5765.098614882477,47.937562261590564,2.410211133228872,-0.8668619753920419,1.3045463819788248,12.062629501998993
psi1-4326,A3.25VI/,6421.120955411578,12.12978484014206,2.6277526222673018,-1.5249468966921158,6.130400594529756,4.313467879783733
kap-3084,L9.25-III,5712.866790565906,45.652446733514864,3.876860523243521,-2.1955599800382357,1.2613091992305647,10.930033066758178
GJ-94,K2,5144.27118431829,19.07549527442984,1.07690129092649,2.5770584828187224,1.1155522869671888,5.886027083931904
EPIC-7301,T7IV,3399.840250700385,43.646357296390605,2.760305778373607,-0.3989750724542448,2.6863441492177755,14.34034205913009
DP Leo,G9.75,3660.8402938693034,19.229537593575564,2.649797008625411,-2.6358891805710405,4.523554252936856,10.430357256082557
rho-3703,KIV-II,3727.991826798697,26.005111945700808,3.4215860088986068,-0.9569258772262799,2.783056369838131,4.462263181621385
ups 3026,D5.75V-D4II,5362.42029025346,28.770682455164515,0.7575493942299996,1.1607673900600681,2.770965021604181,11.080299252397566
2MASS-3543,F7.75,5768.581804895391,13.047669178167704,1.0610411930228139,0.47371474963084165,4.32650034481647,6.204586141817873
bet-7294,W9.5II,3893.498752940336,31.404425082757964,1.800093359204753,2.5696979220748073,4.628845736200242,11.123291522314066
TOI 7075,A9V/II,5538.981988947439,48.91135190096905,2.0627542121007836,-0.9925494960096641,4.38627039121485,6.708646303280661
omi-50195,T2.75-M4VI,5981.902477119191,26.109165308382117,1.7334249325369822,0.36144345605710165,2.932447137071184,3.5006457634225137
BD-2665,W5,2927.820343113279,8.838749761897233,0.15877407813147748,1.1705077815566254,3.4048772757712995,6.469942878759602
rho 5357,D6.25III,3746.4933678581597,28.192927072606793,2.47318941198893,1.5279887430435688,6.1113330234887115,10.303232042180802
GJ-7997,W6.5III,4278.221668781211,11.016987777287174,0.7289054772009338,-0.25832111314918055,1.5084740972211743,7.251902988847748
mu2-44,G9.75III-D2.5IV,9130.962412185436,28.714113185881587,3.7871956315106594,1.3044259105563307,1.9354340222437882,5.553198189033163
rho-2237,K1.5V,6239.020965172677,6.028882866014644,2.190694707821182,-0.34352019484130014,3.6701376431058956,12.283924004575766
eps 6816,K1.25,5180.554528636349,29.83697182257535,2.325817727918704,1.4448952625470926,4.314466993091846,9.0173441194018
tau 1629,T6.5,5762.936498997393,36.484996672394644,3.0329781927913917,2.3163922539439326,0.7808811373799704,5.731342332694121
kap 55,D8.5II,7469.004838087187,11.660343569369633,2.7271589446462903,-2.082464367210112,3.6122580679095244,3.3158488239118946
tau-40165,G9.75III,5608.692732496656,26.55247598079358,1.7723417819380212,0.5413524542399522,6.278813163798693,8.207076153393439
tau-22,T2.75/VI,5997.295654190022,37.38470221084109,4.860570677344276,1.3459397302513536,5.515796592377967,10.004915779756297
xi-56911,G1.25I,5635.225357168131,35.891633695365435,1.7105791994333779,-0.0677576550246406,3.0569099101192,9.58044893006602
alf 1692,W5V/A3,5195.325510020954,11.418470197408526,3.596463558445555,-1.818234169044624,3.6444521123599762,6.439077799595454
