Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
kap 1174,A5.5,1396.012686730669,48.53166193782806,2.8665907935023274,-0.4491771204122329,3.415922579216854,2.2253250062874432
mu 1036,G0IV,5974.442168460389,20.680689197022662,0.6808259430377743,-1.7502453456577969,2.908474064811602,10.319159236323571
omi 4823,W7.75-B4.75,5170.74389407471,42.43875744987989,1.6519060360543163,-0.33785583327266844,2.2546953663729488,7.098311510037781
ome 19503,F0.75IV-T5.25,3775.7129566515323,34.29456610879255,4.429059268326847,0.1317895147442919,4.198113979692675,6.098521375098526
mu2 7071,M1.75IV-VI,7159.920876655076,5.408410722365868,1.5173805656094657,-0.7765055872692648,1.887117777721242,9.099820911659293
WASP 8372,K9.5I,4731.826624651364,48.83151589439005,2.4286980273747023,2.1717638763920735,4.945564501006592,11.497203196654603
omi-7862,L8.5-IV,4606.235151710669,50.21233840836072,3.7868609696451547,-3.1668949293987274,5.286721596010346,5.909016548269241
eps 8176,D1/II,6086.90938355713,46.37732336661051,2.1978807479292954,-0.4080425983223588,3.3349042536444475,11.91613389803595
EPIC 62,G1,4825.926181296927,38.749022416377514,1.983340920391919,-0.8702689127167997,1.267833220586807,7.726501131619551
kap 2041,B2.75V,5394.1272549816495,8.198452570927817,2.342794697029683,-3.099943874162797,6.863562034277808,12.666677808015047
BD 7991,B3.5,7251.344655536339,30.11892036889328,2.4977766079313564,-1.4025569867505483,1.2876526391929737,10.95043045677717
alf-4488,F0.75IV,3074.0263518338693,2.0592609738040615,3.1717927716775463,-1.8479471424022698,5.759051656934037,10.325162678209741
ups-9021,W8-,3990.3682581712064,23.8890006127359,6.511735768015187,0.7232738328711064,4.9905514733153575,3.9698406153790695
gam1 6486,M7.25I/F4II,8211.088126767107,6.45007115297641,1.3506034832557652,-1.5916929728024718,3.0178587519786864,12.459665024854846
tau 8615,G2.25V,4901.253867782208,34.843396900913625,3.9517879239680225,1.7306928293278,1.3051025083087198,7.155656336956165
gam1-8470,K-AI,7466.297678491832,7.481690860402935,4.136028022178703,0.11448394676394519,4.235325809768291,8.868458282752243
HD-503,G4.75II,5725.691953872265,17.596272332881565,2.974489755642697,1.249918402243418,2.523971096129476,13.827527432300165
eps 2477,L5.25,5609.4373685905375,13.51927112841666,2.122592336963652,-1.5121351465394528,0.8319793083540166,10.812417115705196
Kepler 74761,K7II,4345.804599371171,8.239922484500656,3.470102739140148,0.2218734790930788,3.2509580289324935,12.079624112907869
GJ-78,K7II,5654.779425461861,9.250709266315255,4.0896530296404885,-2.136030650291028,2.0279762918156097,9.293744407777126
eps 8646,A5.75III,4072.954373038649,16.067123795493174,0.9189410845853607,2.444034368849978,1.5336393316157726,7.46292845093387
ups 24016,G0.5,2368.0372106914747,6.996567876870323,2.878083148918353,0.07825497053082853,2.7124099690698205,9.24112034198667
GJ-4,D5.25,838.7249290710806,35.963590010457864,2.0953497836674084,-0.6432977291704499,1.334541987444255,3.531569530822652
GJ-24016,L4.25,5433.296512493722,30.56060989220695,3.902671892829025,0.22028043900200878,2.4313772684042836,5.535266014649823
BD 4306,L5.75II,3719.3838223465245,32.438405765261244,2.6770963717741867,0.017717615237217682,1.3525998737514524,5.937369085764615
tau-1131,K5.25,4307.779293936599,6.514778167806362,4.700516482830066,-2.0255033828563738,3.14967484051399,8.665069265504151
ups 2640,K5.25I/,6997.020465213047,9.146791554127297,3.818807500099454,-1.856802821945057,1.7786252674073726,7.913335550706477
BD 3780,G8.5IV,6018.018158460721,28.318298174166035,0.7151672470189796,-0.059138999095591116,1.1140819680884495,5.9745863140089
DP-85,D4.75V-V,5420.919664455645,11.70860795831561,1.182334452424929,1.4881428426091883,5.3777257652365,7.3304274428528915
DP-5645,F4II/K5III,5555.204886219499,31.754295781781412,1.769758135504449,2.1665671352092977,2.7329400774921884,13.300814106159912
iot 658,M0V,3449.485167196523,52.62042289452126,3.8947454644489006,-1.3990269086624518,2.928680976835455,5.28522108469675
gam1-2640,M3.25IV-VI,5439.990125561025,42.09822332481207,3.485559194670465,0.06757753399695171,4.603869493642186,5.622365071678075
HD 8615,D7V,5701.2092070437875,9.989702606495092,1.0283239714118153,-3.2431344712133137,4.563371897633946,10.668134896529322
TOI 487,B4.75,4556.915613429393,25.638306910038438,2.516446559303439,-0.056513404013190244,5.417147864564779,8.496700155074498
GJ-3,G1,5933.337255346503,25.563430991520434,0.523275247083943,-0.4310891570624271,5.05655570108657,9.585789449263103
mu2-230,K5.25I/,5255.491031414367,24.430833155074563,0.4491954158503666,1.3863077365131533,2.3806528967033973,5.682950167325496
omi-411,F4II,8735.91094970018,27.967053120017546,1.6547306676724323,-1.4663415481795299,0.5985395070972794,11.987061871529333
gam1-9912,K,5887.710078283894,40.129005877513805,2.3796115020737063,-0.31801841224797966,3.0743155875416734,7.0280146029251975
ups 4580,B0.25,2684.302227998424,29.00862473739681,0.36178175838178905,-5.5323866752957365,1.4360655021103916,8.488997790806645
