Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
kap-5699,B2.5III,5393.427693112352,1.2053110687202313,3.963880550359667,1.4604116390975268,3.6529151420624695,6.100314492582061
Kepler-7895,K8.75I,2779.0297689007148,28.47195904524924,0.021266534023821837,-2.497150152091756,5.258926268072546,13.094933734885153
HD-3331,B2.5III,506.68734021337696,23.84853588117647,3.109282934367492,-0.8042546786776579,3.5074994293132264,9.577527479051472
Kepler-5050,F3.5VI-,5626.372535093668,13.63983806658491,2.694682992393868,-1.4799110521495578,4.220916700968711,3.2402831678080113
tau-2148,M2.25,3091.88481019715,21.528408556519306,5.124414497563974,-1.8448439948735518,7.942915100357158,4.584543402268017
gam-844,G1.75V-G2.25VI,4979.641851388358,17.761654279490408,1.499032877981704,-0.09562278063919677,3.3588938536678437,11.572316734701365
gam 4882,M1.25,5898.816125746148,16.600921543045104,1.9641484037886316,1.4231532301839789,0.7703537663655959,9.01620118650588
Kepler-4362,F9.75V,5604.406766713142,9.060970705474535,4.341012862812008,-0.388544848865773,7.577538927829087,10.596546361367018
Kepler-220,B7.5II,4102.6574857986125,55.96517520758801,4.234617484632723,-2.0953230469913144,2.775513209315267,3.294876572617451
2MASS-6274,F9.75V,6174.0675388873115,29.70156942281675,4.022147673375743,-0.9494522594484394,3.2156333000316706,0.23408819174076978
GJ-4590,G7.25I,4890.442756301479,15.111137512915617,1.3625307047293618,0.9576146813550677,2.324078861974221,14.538956921751872
EPIC-34,W4.25/W7.25VI,7308.014661418072,39.16890473583428,1.9165078697738112,-0.5685621345625171,3.0015779151774367,2.2047484299609614
mu2 2127,A8.5,4610.215516993122,49.925512320653816,0.9904347493567471,-0.3403555109648251,1.30861617078184,7.787464680249301
tau 8850,A1.75I,7846.316168402658,32.90065142857553,4.805495340118612,0.5027816002992169,4.108955499895591,5.5111484802313235
EPIC 62,K8.75V,5162.825147950665,20.928588299236942,1.5532581063014164,1.4101227039153206,1.9834923177595802,4.407466983743049
tau 3774,K0.5I/VI,8433.873289622092,36.637516842871676,2.0214228854013645,-1.9298349955721412,7.580515079436626,6.972844089509508
EPIC-8288,M3,9200.55329206719,57.67066018831768,1.7699543724677658,1.0796277661874736,4.118424273633384,2.8218948710883716
iot 20453,B7.5II,4930.122616402915,7.366318212351533,1.81022187243949,-0.4113672107856844,4.754482468680665,10.11659475101905
HD 3459,L4.75,3094.494201073599,17.255989808703212,0.6375070879624871,0.9016799134182563,4.954578874291455,11.751039284202115
omi 8722,B7.75IV-D0.25,3695.952199568429,17.684372722798553,0.6616396494587984,1.7292509166097756,4.9383521459546955,5.72822218802273
ome-2338,M9.75I,7456.314890688618,17.672651578773703,3.5799852242837504,-0.964908599908664,1.0630196798414722,12.737177534055032
