Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
Kepler 8997 1,Microlensing,2019,1,558.408065029884,12.634025596840688,8865.08142908023,167.42167147506723,0.07780909079969403,949.1290849481759,1395.288292245801
Kepler 8997 2,Astrometry,2018,0,507.8151938170741,10.826518341326883,8437.917903563352,80.52462815399127,0.02424330073196941,1490.2764558733843,1589.4093068892103
Kepler 8997 3,Microlensing,2022,0,613.1393387373412,15.120633973139508,2119.840457583276,76.54668265459041,0.002090985007670576,1441.2181877278767,766.9597920938961
Kepler 8997 4,Astrometry,2018,1,14.676806156172063,17.62327333786251,8453.068414402062,67.6546704639204,0.023118603493175138,1976.8942367583338,1038.8260741771392
Kepler 8997 5,Astrometry,2019,0,281.43186474499436,4.752119481620917,3844.9710066404327,93.92001192464855,0.0778361295740072,1095.7507641949055,644.7879182953743
xi-8155 a,Pulsar Timing,2019,1,734.978926335356,10.663859561697938,3862.371115141472,56.1004247565585,0.062370038659944636,778.929874939745,164.24052687091796
xi-8155 b,Microlensing,2015,1,458.0628893347174,6.7355153266036405,3638.472765129358,112.84963544086173,0.05799462319990037,1702.5331297030743,1021.9544983317373
xi-8155 c,Astrometry,2021,0,671.6580394780651,7.295780515928127,2803.8585333102806,29.90137423377,0.0799398510126492,848.6854946847768,1856.9141700653342
xi-8155 d,Transit Timing Variations,2018,0,278.4063855753147,16.662901258523192,5824.540349221184,136.88448141848272,0.04013203348724945,2258.3318749460373,655.1041737437448
xi-8155 e,Eclipse Timing Variations,2019,1,522.3614797010028,10.114049627372982,4345.218170876415,102.12108472648644,0.07147514503799055,526.5121258865744,851.5599722890638
EPIC 6837 a,Radial Velocity,2022,0,85.47730780448694,25.724543815789026,5785.8172676086215,112.64241831532732,0.03955435441196947,2018.4351297275405,1511.354573559889
EPIC 6837 b,Pulsation Timing Variations,2021,0,749.9828101341977,12.191478631261095,3094.706390091933,20.014719062599227,0.08269306424946232,1857.5931781537925,726.6582653554553
EPIC 6837 c,Transit Timing Variations,2014,1,405.3436257974589,12.468078151722233,1364.1643163825993,36.3648942599043,0.0212366286658156,1206.5176198204776,819.4406642003075
EPIC 6837 d,Eclipse Timing Variations,2019,0,998.8353455995732,19.464764040508424,7810.880279992543,149.2584407697368,0.040386801975450304,1718.1731031434078,1437.7514533797087
EPIC 6837 e,Radial Velocity,2021,0,563.579370925598,13.77440445090626,5082.724912818993,119.03430621815453,0.04928524010209155,953.7708221904907,2193.7170107684096
CoRoT 9718 a,Imaging,2016,1,49.41667088252831,4.796127479944375,266.7069311885998,150.9010071383512,0.09703282500816723,977.5573345427063,468.0152731306531
CoRoT 9718 b,Radial Velocity,2021,0,675.3817971882002,5.006479553450727,6627.030903423432,61.178372781728136,0.0303687857436174,806.8131641515139,1540.9787400325108
