Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
ups-5698 a,Pulsation Timing Variations,2018,0,268.79469152567776,21.78726913162732,2590.376889872804,158.28645860399934,0.10213968972673695,2080.3856673079176,1136.172967170123
ups-5698 b,Eclipse Timing Variations,2021,1,751.1910642037135,11.506522087157478,4850.942056587065,112.37951536966425,0.040198645824377585,1170.6781575605626,43.954293348321926
ups-5698 c,Transit Timing Variations,2018,0,74.69331032708021,2.964360881126959,11484.943107497882,117.35356826068372,0.004529280834084423,874.0826166892712,1901.0941205795139
ups-5698 d,Transit,2019,1,752.9209053914279,7.891979576506834,2294.7196990747316,73.33975605183417,0.0919895861356681,757.4772628505702,2112.5287699957753
ups-5698 e,Imaging,2017,1,534.6859162223483,21.462588326602727,3425.167872910156,183.42370498117646,0.037556310372302434,1239.6005703491455,1123.654802099545
mu2 4497 1,Disk Kinematics,2021,0,753.5052911548174,12.674225436679794,7839.1011837392025,181.58636676280815,0.06790033460881104,1131.519341492806,1548.981658627163
mu2 4497 2,Transit,2021,0,132.5654701195008,15.151689573573016,6606.278265148316,92.86392141177633,0.062257523864228614,983.279676986059,1390.2757820430318
mu2 4497 3,Microlensing,2020,0,254.56156671184803,5.9929496200551755,1678.8638575428636,191.95944488430925,0.06497799653668622,1920.196455564318,438.9806632175513
mu2 4497 4,Astrometry,2022,0,196.41112079721938,7.742926691942279,9007.713029569279,151.55355198894105,0.09072064503489258,2274.4068075053115,831.6710680874987
mu2 4497 5,Orbital Brightness Modulation,2014,0,310.1513678201641,4.763209933032736,1635.6333403670696,65.71791088373331,0.08565994740367573,1421.549449633568,2107.6167129829573
psi1-6560 1,Disk Kinematics,2020,0,572.157312677116,23.356994780281404,4574.679898665514,38.0863729670963,0.08281355493593776,2382.5293451864427,1909.5391255962581
psi1-6560 2,Astrometry,2015,0,59.871959422698126,2.3677403391091207,3149.5001189577497,163.12726081934136,0.027554468972392464,939.9229127831283,1377.2197484896537
psi1-6560 3,Microlensing,2016,0,41.25458425673918,11.13459874538413,2001.528906271999,61.834404319152256,0.042368430615270944,1250.7726554521375,636.9052777770186
psi1-6560 4,Transit,2018,1,633.3825209103223,12.783596857807778,3329.857115000391,60.59291286849954,0.01331593701301921,1253.0901260495814,1488.5151076536067
psi1-6560 5,Pulsation Timing Variations,2017,0,498.94785066558796,8.560925909025446,2744.602209333762,88.2129935647891,0.031059661862057907,667.5671566131225,2464.5259367862363
kap-3974 a,Pulsar Timing,2020,0,419.25700068098996,18.759808758490863,311.02340604191977,34.67844213357665,0.0189631666723669,441.7861591287259,791.3960168448946
kap-3974 b,Pulsation Timing Variations,2018,1,479.53451508213004,12.406539816258764,4378.399860583223,70.87604467769914,0.05509558174483928,2288.739499230621,574.3929831670225
kap-3974 c,Radial Velocity,2018,0,486.32245006155205,8.689150064796891,2895.1141291809413,45.43399959228325,0.02252687836095953,316.94110920498304,204.63444907942358
kap-3974 d,Astrometry,2019,0,641.4242570743704,12.114735296635354,7020.7516302034455,104.1834695478726,0.06008421787560243,782.0165186045222,1446.7259402429163
kap-3974 e,Eclipse Timing Variations,2015,1,119.10337436078368,29.61893140401032,5102.31731746163,118.75919611892043,0.08787195953752554,1844.1998274494601,893.896940937554
BD 4483 1,Orbital Brightness Modulation,2015,1,415.3284505333884,17.35055822215563,5973.597050997057,110.62474171414696,0.052480022276630386,736.7917396803514,685.293043139613
BD 4483 2,Radial Velocity,2016,1,834.5287562758308,8.865773888770073,10212.291144001741,108.78964345267467,0.04268195464065646,353.6673115784711,425.2684188906245
BD 4483 3,Microlensing,2017,0,646.8851635225249,11.424724594371781,8790.5713969401,92.52894016351276,0.02177211706881774,929.767486781449,254.2621676188976
BD 4483 4,Orbital Brightness Modulation,2018,1,857.4631894971856,9.624290553216396,3824.1442900971815,52.57339960440958,0.09104001055168362,718.7392446785784,1628.2481425811006
BD 4483 5,Pulsar Timing,2020,0,449.0701351337327,14.073303546334754,1895.4747514563164,33.95864627414109,0.03645834172145105,2896.0507925149323,991.7302972419286
EPIC 6425 a,Transit Timing Variations,2020,0,97.16966928615341,13.097923425834077,7269.136918158965,142.7692612788769,0.06143075478876225,1480.0456133474272,58.15169538621694
EPIC 6425 b,Astrometry,2017,0,495.3833263152723,7.427625552870238,5403.575841189708,126.2758311813673,0.06870218200215662,313.9814312630417,880.9990281615852
EPIC 6425 c,Transit Timing Variations,2021,0,267.9882494009594,17.661973191418138,4586.3974349548125,74.70540911365254,0.010045652848400102,691.7057554844088,215.30166164737432
EPIC 6425 d,Orbital Brightness Modulation,2016,0,584.8940276084479,6.188769574187761,4401.910333399161,81.93267129941002,0.05915257926765584,982.7363964166959,1616.500530087674
EPIC 6425 e,Eclipse Timing Variations,2016,0,266.16371421389334,9.593522984608839,6705.233519804187,130.7415477923795,0.052968193687962184,945.7283670204498,1109.9182359650517
xi-1689 1,Orbital Brightness Modulation,2020,0,452.95889499036207,20.989182305318778,7277.638970747007,154.98299426417645,0.029178818764102988,1074.9904734677896,763.7582204716891
xi-1689 2,Eclipse Timing Variations,2017,1,797.3353557669883,9.478997228603623,5790.6339241146725,84.28628469160097,0.047108694836769376,1099.2460742237747,1023.9072977165989
xi-1689 3,Transit,2014,0,1050.61442985359,7.836969256996798,7116.3525510398085,97.5430435033292,0.061020722597468394,974.1830201752376,2542.4435567070386
xi-1689 4,Radial Velocity,2015,0,1120.5366074924063,10.013036589704363,8814.556525656288,119.11382933814323,0.008847180682062541,1084.1760123159365,459.8157936003257
xi-1689 5,Imaging,2020,1,597.8413190374489,21.70986858181513,10646.48258642791,134.15038083562,0.027514647080341872,271.76281389373014,1288.302400149288
rho-6828 1,Radial Velocity,2014,1,727.1504401080141,19.573691464718728,3003.381531330223,122.37355288257766,0.035098253210591644,1434.8441018420626,808.1923177613635
rho-6828 2,Disk Kinematics,2019,1,843.5605473550333,14.607309237722136,641.1164251306909,31.37673832364547,0.08605233727902266,589.3807824707651,899.1012324761334
rho-6828 3,Radial Velocity,2017,0,16.56407761461122,25.847091903986993,5511.116568125322,47.26654649907204,0.023432752375507432,1548.7603909894824,439.3100562943737
rho-6828 4,Eclipse Timing Variations,2016,0,334.73186041330496,10.325191893359447,8142.2879903677185,54.283152144480496,0.06923451767538,1335.9415915628363,701.9704964757786
