A,B,C,D
72,77,48,23
54,44,76,3
15,66,99,3
99,31,81,86
96,19,23,27
74,98,9,74
23,93,31,98
27,20,91,89
68,27,17,66
37,5,16,48
0,77,27,28
89,50,0,54
65,39,20,2
27,45,24,91
89,13,64,32
56,25,20,90
86,2,73,71
64,34,41,2
18,80,18,18
96,84,13,42
71,0,88,20
25,74,47,22
51,58,26,58
87,6,96,58
48,29,6,89
46,64,23,77
50,68,84,70
51,70,7,83
22,39,49,40
96,82,15,61
9,51,72,57
70,50,12,5
43,88,61,56
21,44,42,41
25,72,17,29
86,95,31,68
4,27,61,64
28,34,46,81
49,74,40,67
49,92,43,35
98,29,7,11
43,60,52,99
83,75,55,58
21,2,74,69
84,56,29,77
4,37,71,3
81,7,6,81
63,30,64,47
91,89,97,96
68,24,58,46
13,50,18,58
16,83,79,78
39,42,13,22
99,31,85,44
7,78,37,90
38,52,18,17
40,25,87,39
39,8,71,69
15,29,16,15
20,1,78,60
48,52,25,94
31,32,85,85
44,9,79,85
36,86,77,20
20,28,68,53
61,4,18,23
86,3,63,33
71,53,85,75
30,36,71,36
45,1,23,1
7,52,20,72
17,44,84,86
26,57,81,84
70,38,18,71
67,44,76,81
51,41,55,52
59,17,72,17
82,38,54,41
26,44,1,31
47,55,64,87
99,51,80,86
18,22,38,95
92,4,31,64
61,58,31,44
12,22,23,19
26,57,44,67
22,13,77,14
75,76,34,75
13,53,75,57
77,54,64,15
9,51,95,28
65,21,25,0
32,48,0,17
48,9,16,2
24,4,74,13
19,16,78,52
68,36,4,4
10,34,80,13
29,10,26,46
65,47,24,39
