A,B,C,D
56,11,32,79
39,2,91,8
46,22,87,92
17,80,58,30
98,42,92,94
20,59,75,2
8,91,65,61
95,38,2,80
28,95,51,54
19,89,74,1
41,98,11,79
93,14,52,8
42,30,21,32
8,11,43,41
24,21,41,32
96,94,98,69
97,93,28,98
86,12,8,7
14,77,13,99
12,35,98,24
49,38,77,47
33,53,84,60
46,38,41,77
71,8,99,32
97,89,18,22
7,64,67,72
66,11,52,19
48,50,81,61
22,96,99,63
87,65,40,6
86,80,80,64
59,89,54,47
82,83,5,57
20,58,98,86
66,41,18,76
35,32,88,99
90,99,79,7
99,32,61,99
52,53,90,26
53,16,7,74
22,35,17,87
23,33,91,34
45,60,37,18
8,91,94,99
23,29,42,49
90,95,19,14
98,9,39,0
37,11,48,31
59,70,82,18
41,31,87,40
65,52,89,82
39,93,6,19
76,79,53,27
15,77,5,15
28,36,70,6
86,51,32,91
96,67,46,57
61,61,90,56
68,27,1,55
75,20,10,35
79,47,73,87
71,68,93,72
13,69,98,1
96,7,27,35
18,17,67,58
78,28,94,7
0,63,12,22
69,26,58,92
87,73,31,83
9,56,38,34
12,64,73,33
31,53,15,97
30,36,32,2
20,20,33,86
56,84,13,20
61,93,98,33
6,56,5,64
87,44,93,0
24,49,47,80
63,22,6,0
90,83,27,50
94,45,75,78
0,36,81,89
26,10,9,40
18,32,18,70
58,11,17,90
42,13,95,17
32,50,3,38
29,89,23,47
42,37,46,0
25,79,53,27
68,22,56,95
59,91,34,70
40,59,0,98
3,40,98,72
49,25,20,22
38,43,31,95
71,83,87,29
81,85,33,42
30,48,8,38
