A,B,C,D
58,91,44,42
8,86,19,11
58,14,96,75
92,31,63,16
71,71,27,11
14,17,48,21
66,77,29,81
78,57,25,57
20,56,97,98
85,96,3,97
26,89,54,33
1,88,4,92
75,32,63,93
21,80,15,47
43,64,51,81
68,82,98,50
58,27,13,17
23,40,13,30
63,20,4,41
60,76,43,85
28,51,68,92
19,80,85,14
12,51,1,42
2,87,53,53
9,37,61,73
42,76,50,44
51,10,69,98
54,56,70,67
3,77,22,31
85,42,57,34
15,53,17,89
52,66,47,86
79,21,96,25
10,36,61,0
19,25,6,94
14,17,73,45
67,10,55,36
72,15,26,64
99,19,43,36
3,85,78,99
96,27,54,8
36,63,94,20
34,85,44,95
86,37,8,98
96,13,85,51
98,97,9,84
36,33,55,91
76,47,23,23
92,25,65,4
83,42,52,57
34,47,81,17
84,10,75,47
45,1,73,93
33,29,31,96
91,74,93,70
27,21,68,53
71,50,74,73
83,1,94,57
78,7,91,12
76,89,34,68
42,64,8,52
67,21,16,98
69,60,71,36
82,39,86,51
77,31,99,2
76,4,5,52
81,38,87,60
0,85,24,64
69,28,33,28
65,42,62,21
67,94,35,14
98,24,9,27
18,43,66,11
69,56,17,75
98,67,28,67
3,96,9,72
88,94,48,41
59,6,33,45
8,51,56,23
78,55,87,31
18,93,97,68
13,22,9,24
56,90,61,72
62,75,0,12
82,81,12,77
44,12,93,77
54,50,82,78
95,53,13,92
64,0,95,8
67,55,96,4
4,28,31,71
44,43,18,27
94,99,82,1
28,76,75,8
3,93,67,50
44,56,58,58
81,80,42,85
0,44,8,84
85,72,64,53
46,71,77,90
