Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
rho-1807 a,Eclipse Timing Variations,2017,0,730.8659997116683,11.981655449331038,6477.773652495039,39.66580839886579,0.06911573317711048,1302.0138528398174,1132.5310811531376
rho-1807 b,Eclipse Timing Variations,2018,1,844.3684540861683,15.698817130303425,3134.8490906395905,142.44931510797323,0.0538031119632882,770.8575827033851,1536.3487065641484
rho-1807 c,Microlensing,2016,1,671.325616657756,2.3997326538429906,1988.8330159864745,41.74413335018244,0.041844852133255464,1722.4784025596164,634.0389575556188
rho-1807 d,Microlensing,2021,0,357.3735881519033,10.501436778183573,1788.2205585631236,54.388287128865414,0.0490319476544762,130.078634079552,704.3136993727503
WASP 5109 a,Astrometry,2015,0,63.53009256585648,15.534926609888869,2707.6550643209503,33.52168616940301,0.046678873816807645,193.19085050237425,591.9003544663713
WASP 5109 b,Imaging,2018,0,784.9100662755302,17.79315616595254,6466.310769055331,136.55167413601518,0.02666204964135717,647.0004737318325,2367.4331085520407
WASP 5109 c,Transit,2014,0,467.8991400147403,13.076533367023572,2004.8178321701344,117.64377506438915,0.07377004573135026,2023.1851289112221,944.0614289751237
WASP 5109 d,Astrometry,2017,0,997.1484482429647,11.942304732381302,5583.456059681329,214.24314021435953,0.051049417882176255,1213.4189961351883,907.7126512152248
TOI-93487 1,Microlensing,2016,0,196.6633772614764,17.534446377212014,7357.03036736806,94.62201011495544,0.034183653268004995,398.2429768715227,1412.4119886673768
TOI-93487 2,Disk Kinematics,2018,1,665.528375927973,16.179599188162154,8316.749433815407,74.61833153111668,0.09037125652798211,1285.8067063198653,484.35266235420715
TOI-93487 3,Orbital Brightness Modulation,2013,1,272.01089851594963,11.288610799636423,6568.066714907405,116.69076834033848,0.05957392218941506,390.2030854382318,1218.2394872612958
TOI-93487 4,Transit,2021,0,1033.5473269508243,14.702868754468188,7627.555041356534,69.30840417483662,0.08241709101587538,909.6771470725621,848.3443461667289
HD-4315 a,Orbital Brightness Modulation,2019,0,248.32527046622405,14.84977494601919,7265.225334345352,122.7342282483245,0.044728217093011835,876.8211309566049,571.0087178402778
HD-4315 b,Pulsar Timing,2017,0,725.4676169094104,12.828899224041832,6226.667793605278,74.20520785271734,0.025990568666234413,2514.596488176083,2321.963402922893
HD-4315 c,Orbital Brightness Modulation,2018,0,89.9525704154454,16.232587435346133,4280.74301636078,43.861688976961666,0.06885273039573288,867.4571100006535,696.318540108733
HD-4315 d,Disk Kinematics,2021,1,657.9449944193965,10.231877451711142,4806.413120115431,94.48883751532739,0.035881083455346935,1956.0372804822846,1991.8612781592128
ome-6776 1,Orbital Brightness Modulation,2018,0,965.1317976366996,5.208505566296967,1311.534019791024,131.99687425553924,0.029890818641845868,680.6932041552254,2091.8914775989715
ome-6776 2,Eclipse Timing Variations,2017,0,478.91818470362597,9.866432276840339,3870.8519312346375,104.01398397204653,0.0811609764316755,1919.563593640068,1646.1016725510258
ome-6776 3,Microlensing,2020,1,345.5403236763471,15.700413878456185,4606.633656711078,180.41732747549935,0.0612086495947763,1569.1123114897366,1687.0931402973292
ome-6776 4,Eclipse Timing Variations,2015,0,656.786116798297,5.1299964841468935,6509.083058768794,278.17740657186573,0.040391796360688986,1189.7761612947422,2469.679589038983
mu-3234 1,Microlensing,2020,0,445.26280945239347,14.869484714304004,1344.2815771168111,144.8694845441958,0.06835469270814004,1371.4455384378716,921.7147026290745
mu-3234 2,Radial Velocity,2021,0,864.6195210096149,12.887978990267124,2694.759532119183,50.51900850817881,0.02843727035966506,932.9333655595823,1349.3833472716406
mu-3234 3,Radial Velocity,2018,0,373.34279924435896,10.111336346644263,4495.563835295488,122.80198888221929,0.056714339510977665,1444.8120353284633,494.15861404978216
mu-3234 4,Imaging,2020,0,1256.192687855302,14.973487070909833,4218.277807257077,30.229349218218786,0.036884777761131936,1487.3731995407124,1889.0875998300903
ome-9531 a,Pulsation Timing Variations,2022,1,462.69875557958585,0.9912130758066127,10348.170019915948,65.69050903783165,0.08108747237091032,773.4050713073016,2395.567738683856
ome-9531 b,Radial Velocity,2019,0,635.6062734793682,6.054534187285412,4376.291990200971,26.038825864855127,0.06782099362912959,2210.843718084276,918.5931126117099
ome-9531 c,Microlensing,2018,0,840.076792116904,12.095774761940676,4238.1139196643535,115.49332960553699,0.024464041744224573,935.1779964393312,1484.0912215801532
ome-9531 d,Imaging,2013,1,246.70443425401987,8.734950192073182,3346.972258060807,57.43795995251654,0.04728988443892462,301.73592574524423,1329.8480856942358
bet 398 a,Disk Kinematics,2019,1,690.2910408563423,20.24397697024171,2526.5738335920864,104.2941127464015,0.07249251212191522,1579.7707379752737,344.37343063301057
bet 398 b,Imaging,2016,0,112.50055578912611,11.062728453434456,463.13850649959204,116.64769054827576,0.06850174029712375,2458.7861844979216,644.4777069407419
bet 398 c,Transit Timing Variations,2021,0,264.931265242747,10.36131295031201,2565.47698139036,90.0883593700898,0.008613895186615185,1066.80077664779,1610.3561937094253
bet 398 d,Microlensing,2016,1,687.1978152826139,15.066230705665792,6190.073121508484,72.1298292494557,0.02478322155861529,705.9131048046245,2519.6427948137584
EPIC-1526 a,Transit Timing Variations,2019,0,481.6751969484344,5.0886389680048385,1990.075666124742,215.55147161172158,0.08727901228299421,426.1409225106129,1496.9630739119361
EPIC-1526 b,Eclipse Timing Variations,2020,1,901.0667700214149,4.831984761747877,3386.3349464093194,149.7453543399384,0.04403186613188968,264.7944931474394,387.03783780329775
EPIC-1526 c,Transit Timing Variations,2015,0,402.3659842530277,17.676791599107805,4120.106257491851,195.03502620127648,0.01932477890567714,1071.2670692169436,2868.426099718073
EPIC-1526 d,Transit Timing Variations,2017,0,609.4354146729964,2.9063602047273704,3536.612111867121,161.94754147503028,0.045039668792077235,1310.5704354024585,849.3260510938802
mu 8331 a,Astrometry,2015,0,622.2842949028155,20.9841242502985,2425.9779136166617,107.4202446116313,0.01863027568108213,163.09154029019294,1640.4339075611147
mu 8331 b,Pulsar Timing,2019,0,748.5437195761117,4.537582920832457,5046.109339729093,64.61003851605871,0.04697787369930273,1669.685153814165,1720.9591720014266
mu 8331 c,Microlensing,2014,0,899.5432410749427,10.085595679072753,7765.697621686456,75.80258937082364,0.0682476616807893,422.35063937011535,1682.1605298361928
mu 8331 d,Microlensing,2018,0,1216.3304069530052,14.293774938951435,9725.644836365711,71.70603614057511,0.05969521147098755,714.3103060989093,1092.0860957744546
xi 2779 1,Eclipse Timing Variations,2020,0,413.1462439593292,10.580047961046743,11404.054250674675,109.31113000208951,0.06304974019214411,1634.408073713659,1312.1666842925208
xi 2779 2,Orbital Brightness Modulation,2018,0,399.6355044854964,16.28148993684973,8340.651642724,80.00934384684638,0.04418350618596026,888.7429419961913,2140.8762346644908
xi 2779 3,Eclipse Timing Variations,2017,0,673.1788391164299,18.109267897030282,3786.165658286789,133.90095974138697,0.07048231873734029,1547.1336888396102,1115.5075716456033
xi 2779 4,Eclipse Timing Variations,2015,0,902.7126093733838,11.49158799294213,3643.4015453107377,123.72422564017779,0.07074328453858107,1238.9269700847335,1284.3310553679712
psi1-9216 a,Astrometry,2022,0,803.5307723083838,2.8566997299100496,5774.079384687476,61.70429738744423,0.06904379062210364,1045.7967391450557,2618.1219635168973
psi1-9216 b,Astrometry,2016,1,619.3376700117975,7.882747932107652,6868.952022062469,203.63152594101427,0.04025646899831967,1525.30347187825,955.4557243473467
psi1-9216 c,Transit Timing Variations,2021,0,830.5886625961068,16.644516613912625,4462.105779764204,49.3916831959057,0.0535317777773042,1075.1838801296487,1374.8369362552085
psi1-9216 d,Pulsation Timing Variations,2020,0,420.3699442485183,16.609597924705003,5122.416464783224,100.76110880632334,0.057076105277696604,221.10360770481884,111.66996580392072
bet 4441 1,Transit Timing Variations,2018,0,944.4869605985818,6.537846027282955,8684.929256517835,49.17642331521817,0.012713051725091407,642.920794928959,1719.8756353389876
bet 4441 2,Orbital Brightness Modulation,2018,0,372.9805171490076,2.1157715103624692,1610.5801672900375,65.233598054259,0.0636583114675227,968.0121772693165,1567.4488339595105
bet 4441 3,Transit Timing Variations,2020,0,620.3165725933504,23.096027169662296,4057.2676264683996,55.159375928317786,0.08599765394740547,1383.9981023750572,1009.1214368818861
bet 4441 4,Imaging,2019,1,700.6805226874991,9.675213056444466,5469.992142187823,168.1433754282719,0.05461205808636601,866.8951092055362,961.3356213371303
iot 9724 1,Eclipse Timing Variations,2020,0,335.4881572395321,14.910779419906994,7674.386561935746,201.2119997313381,0.07003129840445534,699.413075945193,1532.612884454899
iot 9724 2,Eclipse Timing Variations,2018,0,857.0730602068807,1.5857661450117426,2139.1986950595497,185.54139843990893,0.10372798410608083,1506.4427439921171,1302.8805649528624
iot 9724 3,Astrometry,2021,0,709.5902816726821,5.391607349444807,6715.729984557984,134.1455652680928,0.07159523399409007,1705.4486424224779,511.86756744194963
iot 9724 4,Astrometry,2020,0,877.159838605846,11.9745227247041,3427.617600480943,161.4634741183622,0.00934120990749724,1253.792016381657,1808.6991564812818
CoRoT 1358 1,Disk Kinematics,2018,0,868.0514768141494,18.906810292014665,4120.972511597558,101.90636352813233,0.03616936957250968,1918.5950390732028,2243.1347510658115
CoRoT 1358 2,Transit,2022,0,726.7646995689727,26.081331329849213,5286.512008905147,80.97078910593319,0.06516820130413223,1192.1936094974926,1072.7531185794858
CoRoT 1358 3,Pulsar Timing,2019,0,143.11348137459322,9.850796899282777,7581.916038764951,156.50952932673727,0.040702174903462195,1440.6460308702758,370.72884445389127
CoRoT 1358 4,Imaging,2019,0,754.7393549227768,11.998545438734192,5268.724560674222,168.74638525041053,0.049770797155850664,1460.044133600139,1619.6793026865084
DP 1807 1,Transit Timing Variations,2019,1,757.2770410620378,10.05581439524877,6219.828325839464,162.4394892060649,0.006248689539543849,1890.1448478990983,1019.6303180441503
DP 1807 2,Imaging,2019,0,959.7397364825504,13.150270593828113,7434.969102701615,136.6105976201155,0.010982609060458441,1192.769508732249,1045.0078171716523
DP 1807 3,Transit Timing Variations,2018,0,656.3229076107873,5.872105788059386,2244.636131709407,63.84946379347363,0.04594179132188727,320.6250739869042,2014.5858909316848
DP 1807 4,Transit Timing Variations,2019,0,301.0062730895525,18.630837709930997,5431.5283380565,86.70597205242935,0.048142441281564786,1057.2215256485429,871.2429757763123
2MASS 3909 a,Transit,2017,0,823.9399130252199,11.59848219422339,4258.428161881982,107.85280407258482,0.020870604413524806,2100.0485097585365,145.02276214076016
