Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
ups-8331,B8.25,3766.927898850603,11.422705176383886,2.8207841089609693,-1.237982955340238,5.635186308272824,2.637011426940779
kap-1784,T2III,7447.307746669816,33.72222427919471,1.194082860287268,1.8198855814560673,4.446519636303113,7.4081685269246815
alf 9270,G0.25VI,5752.282179839961,26.69093758867966,1.6936840471425683,1.7593635196209938,2.340616793830037,8.834597188319403
WASP-4276,M3.75IV,7113.842349358501,10.037743963683806,2.6052240812846983,-0.8936932819084786,6.219846418349668,12.45023563124577
DP 2937,K3.25-,2960.563153684245,34.43891950824526,3.227079407690135,0.7253753936648895,0.8376902002343098,11.81519737259337
rho-1124,L2I-,4853.6911595467855,24.758649062081602,0.2697625310185847,1.6750204720696233,4.9370541539289885,6.09198339104784
EPIC-9441,F3.25IV,4813.9613874112765,45.15648630319349,2.778481767868719,1.5790226888760537,3.9530688236150913,7.190654089251021
nu-8959,L8.75,4867.6321067970275,11.244719561014858,1.4467842646206588,0.6131353597847713,0.705571202143966,8.94983499587104
BD-385,L4I/I,4863.317244833087,64.00170002846326,4.702356325253955,0.47315409012137094,4.892397197060154,13.048477685422473
gam 8901,G3.25II,993.6199894537758,7.913347945098039,2.2435650419069173,-2.7918642179288993,1.576665578345163,8.534259616830886
eps-9247,A3.5V,7986.160750043689,39.41173028921363,1.4320019727400424,1.1269972565443571,2.906899817563854,8.301105007678514
Kepler 8959,A3.5V/K6.5,4143.725086173921,15.838723134000542,1.3697551403146204,1.033016226097712,3.4130046113026866,6.9604651019818755
ome 9340,T0,3848.2511143392658,30.61933324890039,5.041041599664682,1.9093315540567926,6.5381822709760415,6.349573299361492
psi1-52,F7.75-,4728.0546280553,38.27924121518076,2.7777293604460254,-1.4797039414005726,3.735273447207741,13.370088514959187
ups-2779,M0IV/W7.75VI,4517.361772345427,33.11556684932218,4.110256959855552,-1.2526535084906567,4.328776746438802,3.8015515718894237
nu 76321,F0.25III,6418.140677974515,26.297107444077227,2.143210041678475,0.001667804862930361,3.7118013437150066,0.31771944321771617
alf 1412,B6.75I,5192.101858398779,31.795775488041617,0.24319167359637506,0.4294903859159535,3.2280233866832853,9.573953775807222
DP 1620,B3.75V,6460.28707449542,8.20499204894315,3.5970064492979406,-2.2456543289710855,4.289951720310413,7.902751435671024
mu2 4276,T2.75,3027.1150385297374,36.25952717854249,2.4642048643607386,-1.3291013855200662,1.2869552141697365,2.520947503309576
DP 3909,B9III/A6.5,3209.0178885287432,13.108328120676566,2.718507996293548,-1.1939967823464326,2.7773264615711093,9.827426040571943
DP-801,L3I,5546.099763509818,32.611909848358835,3.323197919934007,1.6931164017584812,5.748986225901998,7.527345943008422
mu2 4215,F3.5I/,4670.960547169385,15.148912724086788,4.826656067148484,-3.1618279526440127,1.0900800965239008,2.1444659188848334
kap 3794,F7.75,6962.291172907713,15.774272615887263,1.6851335770077664,-0.2174567087649634,2.5179455784884275,6.738358110256231
psi1 89774,D3.25,5050.716906923754,34.9805878741591,0.10946969431531395,-0.6237504837617066,4.58250685826746,7.047690668793038
HD 1412,W3II,6480.5884262544305,31.39737968127944,1.805179492279985,2.572166159823684,1.9373092374029608,10.715091738928976
kap 920,F3.25IV-VI,5339.480858697834,31.837304799101368,3.0267093179348326,-0.20517266834496564,2.1729499880489556,7.214049495719595
mu-208,D,4431.24229596096,37.92753705661482,2.733701396029746,-0.27784440081284567,3.2938853280732037,3.296302699380586
EPIC-52,D9.75/W4.75IV,4280.438514197853,28.52047670537259,3.4787214840133878,-0.1968538556803386,5.411896954895538,9.15263251961535
iot-8260,G0-W1.75,6597.90192659944,12.62384554905697,3.1238446845000016,-0.7868877404388319,4.081532818355755,1.0942718666604403
TOI-3234,D7.75VI/B6,5675.7735292881935,8.670469421851557,1.357525459376914,1.3294406618688086,2.4068382927019973,6.38496640969395
EPIC-46,B2.75I,6278.82520290086,50.12455603725576,3.712131207600586,0.30719299103035197,0.7114108007874487,6.364586809436993
ups 6157,A9.75VI,5392.096478141608,1.352066069528398,2.0992567311176806,-0.4739129209326302,5.949533442100513,8.681805240341522
Kepler 5170,D9.75/W4.75IV,5754.773930380398,17.389164378783235,2.498569369578624,-0.8884939885717928,2.687707820742889,4.449358491622933
psi1-8777,F4.25,4118.441239911666,2.208726708759638,3.668636692605941,-0.5691081212293523,1.3062765102577534,12.250334754567284
BD 2779,W1.75,1956.4078945744923,0.6706340222948803,1.3552450306748969,0.7614479427507024,4.059654683850405,14.43003075682531
WASP 8959,L7.25,4573.971405070653,33.501305315441755,1.580292210683897,0.6802744079970644,5.401685943888134,11.898587965136134
TOI 8427,AVI,6823.599711324974,18.393436723466124,0.3101082790116414,-0.9806927241437033,0.6164700236118605,12.592924069259087
gam-8842,B2I,2977.8517113949683,25.562453744827565,2.7466564024437696,0.11508159104508892,3.2070372762564494,5.866494472912191
psi1 3556,K0.75IV,3992.9753967648658,12.739545583197845,2.292135002722943,-0.13447758469427729,5.931692217408911,8.034079388684756
Kepler-3550,D3.25,6186.027712187492,35.12075754746997,4.38248018292225,-1.7356137191300023,1.9262845771223929,2.937152756336145
DP-2571,B2.75I,6612.187556348805,11.769714922192435,3.332541113217491,-1.6869457032484136,1.7868952972325343,9.45481404083998
Kepler 8880,G3.5,2012.2875466315754,5.4047276641536826,4.98202614575605,-1.6891002973599785,4.503752505510729,12.473314502935
EPIC-8183,L9.5,2492.585703899789,16.49550103119178,1.2540103643408071,0.0944597217843135,6.144829213577446,6.052667566958582
Kepler-3983,T9.75,3668.489092940562,35.83242602880143,3.5139136125375137,0.4095697607225612,1.0282835337759302,8.097127783948013
gam1-37649,M1VI/II,3583.5660215601083,13.832493824550737,6.412066137492039,2.240734307365742,4.125877384154125,8.50574363555869
GJ-8996,G0.5IV,5901.05202532143,50.71480368620007,2.254833536126277,0.9647058691352113,3.7943742838135823,11.52493902523106
rho-223,M1VI,4434.896677906931,31.784384695184947,1.3326374577798774,-0.776042850644246,2.9594275754761914,7.475660047438191
ups-2574,L7.25/,6593.814682261773,18.63432447046912,3.419585440730063,0.5525386084885398,1.864712997318213,3.601484463514865
kap-3,D9.75/W4.75IV,3805.623896385362,30.23704132523071,4.263606581318172,1.5598329803096742,4.709243228678134,12.13525497156046
2MASS-1508,B3.25,4424.731466760738,30.810988622588287,0.9919628399633775,-0.1554067344408056,4.241742520481659,7.245360939194171
