Stellar Mass [Solar mass],Stellar Age [Gyr],Stellar Radius [Solar Radius],Stellar Effective Temperature [K],Spectral Type,Star Name,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)]
1.21174291886089,6.363448368220371,48.86282576776032,7011.654719633163,L6.5,rho-1634,-0.9473246176125514,0.652205973376081
4.309090280640849,6.128943413721239,26.508793597168037,4695.33046710842,GII-IV,rho 3693,-1.4289643904131566,1.0791297653000362
4.443221092880685,12.405165320378224,10.964739029293897,3899.605282991517,L9IV,xi 2779,0.9556160322483658,4.937496424197379
2.94823753942995,2.02727868967461,30.09560164934922,5833.879850811108,W1.5,rho 4891,2.168883100664336,1.6192100785424817
2.5282506596019205,1.057365828334042,16.044606187731155,9064.428863603616,W9.25I,psi1-94094,1.0796567477842387,3.7939035832426815
1.3854397909457323,0.4092454493869635,34.28197975627315,6663.739811828285,G3.75II/W0.5I,DP 6385,0.1143105370894278,2.909408623675769
4.042241483561035,9.349582040739469,43.54357190252554,4415.178370012254,FII/VI,DP 8323,-0.7351545600475438,2.3734764486432907
1.6562839517544372,1.6422173470158183,12.61271570453282,8331.225078222189,W0.5I,WASP 751,1.9909359387130516,4.144936523029406
0.4579519157974934,4.2192375372809785,17.97561729220914,5030.899984277197,F9.25V/I,TOI 81393,-0.0453810702113576,4.944554431463913
3.943454869069882,10.485283769078674,16.48216300004734,7106.661912312849,A7.25I,gam1 650,2.619519576781546,1.320806638567936
2.368777166031012,11.052380611271971,10.021625243050202,2494.9286655678,T4.25IV,gam1 37667,-0.3423315955083051,3.1923760179573217
3.045641147198252,6.17779042282364,47.80446812815797,4092.613590597848,B5.75III,rho 22179,0.9815747504810076,1.692620152802546
3.115365126422251,9.713793961142898,22.139074225279884,4793.963047332985,M0.5VI-II,ups-33132,0.7241383691934569,3.74133688668132
4.321316452721478,3.907891392223916,13.58010382924176,7065.627789670559,WV/III,tau 91079,-1.1738686132494307,3.839636359577944
1.095951476289322,11.741112150335086,48.78460742937969,4793.1406361566005,B2.75/D1.5I,DP 9932,-0.9196681560116182,4.683265683908466
1.8646050681307484,1.0653852161140778,42.05550289187329,6290.535317958169,L1.75II,iot 22,-0.0750283321110794,1.5179445608652626
2.528865116057779,8.046476464360685,23.28151953182438,5317.333366354846,A9.25III,nu 3693,-0.1007654765279773,1.3405530402151276
2.8224100474880567,7.621409501186111,22.933728023329287,4182.747439505977,T1.25,ups-3189,0.4552359731716052,2.50335761489757
1.196855305124753,10.02221397508552,5.074057895644504,3429.862761825728,G5.25VI-W3III,WASP-8452,-1.1752772965298433,3.0704278127716766
3.9031889754162874,4.2636168971674815,47.49200343966226,4654.07757747043,M5.75VI-VI,Kepler-220,-1.024008241782166,4.609399998765225
2.221503492884284,4.713802491303895,10.024343918180785,6938.248119861687,G8.25IV,ups 6483,0.7508089029079665,2.758933190115272
3.1337374333775734,12.35777989091204,29.404166482568183,4100.994369092999,D2.75IV/W0.5I,kap 3328,-0.2100346062263141,3.770615656513504
2.676490066371461,2.751214400780693,37.2053337556293,7531.413094924816,L9VI,TOI 1044,-0.080334424936162,4.999113215292859
0.9677443838113532,3.171962060188119,16.128964401311542,3149.090631592171,G,Kepler-7583,-3.1453724285645843,3.8882235471501545
2.402277859830262,12.587437621989974,23.172103840438744,5610.25080102332,A6-G8.25IV,ups-1505,-0.27581530031336,1.4496758817731157
0.5350193271921477,4.237687494918811,13.476540038338374,7253.57115934279,M9IV,mu2 96703,1.0741530568151865,2.3930603007787905
3.2926102798377546,4.955173130139681,7.676078610163024,4048.394583604054,T9,nu-6063,2.151088479590876,3.635981429290768
1.0232587491603742,8.172668505771988,52.38225220363259,4130.058612569384,G5.5,kap-3532,-0.9812025530595644,0.6681051855019327
1.9481985256775367,6.335167292114592,23.47128926798428,5160.950232711653,K8,mu-3525,1.254551656691011,3.531205423800735
2.7840584644819995,5.100618708018475,23.45082077861143,3856.15335479104,G8.75IV,bet-2281,-1.41416654430346,4.627389565539913
1.966772642305412,11.694284763491485,13.10764788588821,3191.146598180707,D1.25II/,mu-7629,0.3205775789644158,3.194109859524128
1.2048083969612762,1.4533751483043549,41.82084170532463,5525.555816094911,B8.25,2MASS-7626,-1.185659746472412,3.696724669887416
3.843825856186384,0.5349838475837148,26.914973904523197,6453.802060651342,K6.5II,eps 6063,0.7553737386675863,2.6774361327669984
2.907481323884842,1.902992046514356,27.029390613740773,4605.4179424799095,L1.5VI-G5.25VI,BD-534,0.4723122924140332,3.568330675967468
3.416185877501691,9.810458685212147,36.12075001124588,6654.139057977191,L1.25IV,psi1 95124,1.0600628082453114,2.985657617450803
1.4029463290743298,13.86718377470032,7.575823510267966,4672.846553418825,W0.5I,TOI-2202,-3.1366293018807863,5.280065417710073
3.8016167807601287,2.104194788580611,39.274677701453626,4837.749617405783,D1V,gam1-7876,-1.4291975293956332,5.722967699482632
0.4040790893784001,1.8041301009264776,1.4834207747289057,7216.051116658147,G5.25VI-W3III,xi-8280,-0.2022520111022251,6.172631785222273
0.7785124940782246,5.009250342782254,24.981047883285488,6157.826971716776,D2.75IV/W0.5I,HD-22,1.2092198670318886,2.813477071603365
2.610232986198497,13.795881208450222,63.37784901584675,4740.703426936,K6.5II-,GJ 36,2.080298141780012,4.375035657413913
1.963746424888178,9.095632641517888,1.2380456346054878,2552.3015425972667,AIII,omi-4914,1.5164307309208134,3.601042138026107
2.6405234069283803,4.95619457183066,18.134448422262796,4614.461581170622,D1.5I-T7.25,BD-2254,-0.5212786884462522,0.5466368668719785
2.8475416015256294,6.373397251123543,26.407178836195826,3647.855948573741,F3.5III,omi 5998,-0.0614340304812407,3.0919841304609066
3.359629715287696,9.293441694688948,30.27847284452425,8854.018634141436,D1.25II/,CoRoT 4407,0.0741453796245315,5.019593210365796
4.338657193984129,0.2147308942395929,18.25654448922692,4377.129101302578,A6,xi-4447,1.0954367288874167,2.0151072144981725
1.780930057135417,6.041015911054153,42.67489511806626,4017.1256177346586,G8.5I/W1.5,tau 90,-0.6453978921656092,2.069214551508176
3.139036556829401,3.605856913313611,0.0527443068565851,5148.931096471013,W0.5I,BD-3471,1.4664868680240115,1.787289724596152
0.4861801591552197,14.438826479238976,22.82956427232663,4673.753361478838,L9VI,ome-6628,-0.56020649556021,3.625447358980552
2.118555273322268,6.45930043263624,55.00488257975903,1669.0199617199091,A6.5IV,kap-272,0.1642276346425832,6.357108775307279
3.0431987328333667,8.760014558275762,40.17160337735049,5483.251066479637,WII,TOI-3973,-2.212243939846,2.837684179569894
