Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
Kepler 6542 a,Transit Timing Variations,2019,1,652.3679540529008,10.659168906352381,7605.930981461378,120.62213246328614,0.05537788930128409,877.8895518973268,5770.821332527235
gam1-2878 a,Transit,2020,0,107.20268788772557,10.623254549747125,5125.452729013164,161.3605108333194,0.05257597367338817,1915.7233056180403,5054.642171211849
ups 59 1,Disk Kinematics,2014,0,88.01592285720466,25.14017264213883,2189.579216586943,114.50684523391314,0.049234316579315096,821.6673903905792,5945.6323747736615
BD-9934 a,Disk Kinematics,2019,1,719.835595843093,14.61706620309143,2894.0133839142904,33.07624457447412,0.07226198768425574,1578.4479583296472,5919.803209306438
CoRoT-25708 a,Eclipse Timing Variations,2016,0,294.1238720643482,9.847541350115165,6593.152744392651,96.70835622488313,0.09897439106299556,674.1701964037486,5560.229087653832
mu2 9892 1,Radial Velocity,2016,0,360.08733145460553,8.272625621291644,7427.864560676555,119.85189364049847,0.05150954568418623,987.8509586912234,6914.950740555919
DP 4500 1,Disk Kinematics,2014,0,699.2213257046437,13.063565010574571,7389.419478879706,248.4026667677279,0.04146683360951589,1855.8885063639382,5005.8728322657735
BD 29 a,Transit,2019,1,554.0500748621473,12.48583820829518,3387.3637264551985,87.30433104910455,0.09549389596783983,2135.1734212603724,6263.523194273149
psi1 87 a,Imaging,2020,0,863.4740127688146,1.3729036805254733,4800.1624761987705,54.235691999133216,0.01979461878992851,324.0604970515094,6071.995047725787
kap-1823 a,Transit,2019,1,618.3376137769823,14.50105780797583,2049.155290602308,187.09033416791522,0.012719934428442561,1545.600083987184,5918.805516945731
Kepler 8351 1,Astrometry,2015,1,159.22272026413452,17.61917918396737,2258.899469194046,74.15972602042758,0.03201907121927611,835.9627505287638,6465.981456493792
alf 8857 1,Imaging,2018,1,771.5342871355281,9.291143242475716,4556.520318807068,106.49940375625707,0.10406913394586811,726.3748226042945,6329.360362571221
DP-5290 1,Orbital Brightness Modulation,2016,0,476.2749163313522,1.0295111861105521,8704.16364528078,80.48732827983133,0.01707829411140572,1847.824419360006,5286.206747762042
EPIC 53293 1,Orbital Brightness Modulation,2019,1,213.73946706704834,4.760508076399414,5694.26329257251,140.02297152059396,0.07568570641486685,701.1508876960916,5391.51430610225
omi 9299 a,Radial Velocity,2015,0,555.8007552799949,10.770911127624379,6566.432935314359,136.32487742322212,0.008647830639712889,2250.466444582832,6114.292832891897
nu 9508 1,Pulsation Timing Variations,2019,0,559.0052779581752,7.996959388242244,2410.3796513703405,142.37755809074955,0.022798022830811407,1077.2628506948852,6153.80214372202
BD 4700 a,Radial Velocity,2017,1,416.1704027478479,15.046528903057682,6557.538620883558,183.40086340339576,0.04651888916237627,459.870092588318,6087.76418519903
eps 5515 1,Transit,2018,0,306.1339250960276,4.484353128376015,3284.793849050503,49.54334152041777,0.03732942063605439,659.5399563201852,5970.018820501256
gam-3117 a,Pulsation Timing Variations,2019,0,637.9043201158612,7.965345135144986,11007.923245169179,107.2635768636184,0.0631008819047871,2227.7722481007177,5668.49588747215
Kepler 7409 a,Eclipse Timing Variations,2017,0,519.1336487834344,6.13905443036838,6691.751144325084,172.66134991748348,0.047066713316418096,271.81641868192503,5020.583386616867
gam 3917 1,Microlensing,2018,0,649.017168163335,14.023770139680645,1529.0377468610836,107.40293991977691,0.08745586126003692,880.5775117807023,5424.391377734074
mu2 55 a,Eclipse Timing Variations,2022,0,679.6051430193945,15.04326875063457,3954.203709170424,108.25495036148698,0.055825557598007336,120.16848630356742,5555.747562646383
HD-73 1,Disk Kinematics,2016,0,148.2697730349749,9.153587714259778,2336.9754757815244,106.62112974075194,0.010066574376727845,1266.2850889059328,6509.730454192499
gam1-29 1,Pulsar Timing,2020,0,314.6043312617062,12.107387157235001,6878.590212984292,112.24440046672245,0.05808492463673839,1034.517099830841,5752.596736599873
WASP 1486 a,Astrometry,2017,0,537.8009057343161,7.725848993913858,4611.44610333246,82.93878514453255,0.03172581353154937,1461.4579892324214,7095.952163259337
xi-8351 1,Transit,2018,0,248.12426303550484,19.46150578217015,5742.04402375464,155.46174733195014,0.07361098831513076,2544.6358701193067,6396.391939836108
nu-8795 a,Pulsar Timing,2019,1,554.436164921144,11.789543471798572,4056.0183155783807,43.84240899616659,0.07856792683479885,1751.2500090706615,6102.45032128449
omi-1602 a,Eclipse Timing Variations,2017,0,42.19702487567304,16.73716628572448,4125.456465434568,50.972701170091476,0.06998856196430703,1943.4851143049218,5514.3135750254105
GJ-3154 1,Radial Velocity,2017,0,105.06829183495302,13.106607983096472,1078.1518514148652,122.50730171420255,0.06529169139906582,345.61609749906813,6848.589775257313
iot-9686 a,Eclipse Timing Variations,2018,0,953.4780308481429,5.690206321706328,3259.4705022547478,142.1310443968842,0.03430772194160096,1172.7376209203362,6751.589888201563
mu 2513 a,Eclipse Timing Variations,2019,0,655.5463455396583,20.58624980019518,6397.11524567711,108.47133293473917,0.03201227209510456,845.412015986483,7112.20688723939
GJ 22 1,Orbital Brightness Modulation,2018,1,663.9574616913915,22.898752944638296,3899.8230717533584,56.87599225367246,0.07034974737743649,1335.4890415957616,6548.8836205525595
WASP-5340 a,Radial Velocity,2016,0,708.7580837946194,23.512214192789582,2924.6274482839963,104.87682704663086,0.04757780482818103,999.6448385550203,5861.546659384005
EPIC-43434 a,Imaging,2019,0,586.6789163389124,1.5086916961118124,4225.962295572245,70.70439560905231,0.014608819152449243,1050.4922702234337,5875.756898684159
omi 9298 1,Astrometry,2016,0,158.1006160887698,5.1533725168925635,6316.3562201165005,82.46081590989112,0.08809796793999479,840.4270261181211,5555.160657568524
xi-5290 1,Microlensing,2015,0,818.2554434899362,5.911189317689719,4918.105644731477,59.2414121610756,0.10744436125324375,988.019000911559,5617.634323860611
rho 75 a,Transit,2017,0,245.8636677920246,3.821322994216364,2866.1163014023036,234.89936132949407,0.00927253399318026,1542.2287095738795,6518.45577049915
TOI 5902 1,Pulsation Timing Variations,2018,0,449.7628530247897,12.99612177368041,4173.109617657356,136.83454274812948,0.014752885558429255,1050.8252591941794,5702.9826106646005
2MASS-130 1,Microlensing,2021,0,644.2496008480811,14.377231825005968,3007.561103887207,143.1650294101987,0.06738312171954379,1730.1633209428244,6610.518537585328
ups-4515 a,Microlensing,2021,0,226.5121113485062,14.385405501080875,7323.223564493643,65.17632789199094,0.044292081229838666,434.3978165750673,5965.3787621486035
mu 278 a,Orbital Brightness Modulation,2018,0,400.8446115879057,16.618813974644933,3342.9394405925304,2.0589764913574697,0.07554457176186803,1822.6291818370325,6032.201822752557
xi-389 1,Eclipse Timing Variations,2018,0,541.9771318704165,4.930663623563629,4723.045545231295,119.80373389776966,0.02352756498434741,1400.8245906090704,5146.2241255938225
WASP-8704 a,Transit,2021,0,238.86411532500853,9.889475525355223,2266.3181849823004,109.48352718270606,0.010591123038715691,1285.194732769614,5905.315703646529
Kepler-8766 1,Disk Kinematics,2016,1,940.2939423781236,18.96162113369412,5130.249815421203,162.12982225729982,0.08529067313087246,1849.5782447761017,5641.86160741611
rho 9724 a,Radial Velocity,2012,1,437.82391200906653,14.983264343188358,7557.609250983701,90.8514384734033,0.05672552152248164,1097.4319115923604,6463.853457664129
bet-8291 1,Orbital Brightness Modulation,2020,1,411.1339854812312,6.69089165658808,5560.931033445217,174.72629436170482,0.04677789932035858,675.3882787349895,5075.394308439039
tau-80 a,Pulsar Timing,2018,0,788.070141390052,19.100808551872685,7827.163389725809,106.90886349692026,0.025134813208102437,1906.6082144680784,5562.181192360218
WASP-6854 1,Pulsation Timing Variations,2018,0,527.6501034212534,10.457627458194876,2034.528315405204,67.22815306092396,0.009773211786649402,1546.8999532881423,6146.610124456408
tau-7714 1,Pulsar Timing,2020,1,953.4205740724847,2.5759691913933853,8125.538053009977,151.77829125142716,0.03325244114912359,1547.0448712568543,5283.240678452987
DP 90188 1,Microlensing,2018,0,362.5666051798718,27.312830195410964,9288.16425431354,90.16843826455,0.03471714524525799,1711.257697394743,6289.86655070883
alf 3429 a,Orbital Brightness Modulation,2022,0,294.03687926566147,17.52861896826564,6423.889905310085,102.76181557572298,0.06965205584758329,1260.3756785832054,7068.144702457097
rho 1813 1,Transit Timing Variations,2019,0,325.6209664958353,13.738339680756793,5495.56145397534,156.76675874620324,0.035911254977390485,1786.5732130641238,6188.017013086217
alf 8933 a,Pulsar Timing,2018,1,272.3401035001967,17.29162049569259,4896.330493614337,272.69965967685107,0.06980812591532151,1343.58231706304,5992.314802462128
ome-43 1,Astrometry,2017,0,820.9277754963389,12.410154433033224,5777.217233110024,249.03901852240415,0.059985601146785535,1988.0395956207517,6788.337360505501
gam1 1700 a,Pulsar Timing,2019,1,220.2206923978058,15.69334540387828,8042.825103107938,61.01377827534333,0.0006100749216169446,1655.6966018796247,6008.168468183156
Kepler-4615 a,Orbital Brightness Modulation,2017,0,720.2223304912362,3.6550573853866437,4658.18926499563,75.44634052654138,0.061470460017491194,1565.9757732355235,5633.072767485834
ups-61008 a,Pulsar Timing,2015,1,797.3175872896679,12.46663039552326,7458.000497631073,72.8707726232728,0.04222122357324876,452.18770774432323,6146.347905820694
EPIC 4631 a,Pulsar Timing,2015,1,444.5218666990531,20.66461561641625,5762.664276904236,100.8916083871369,0.04065254663699675,1343.1315099926467,6113.492212206287
BD 4824 1,Transit,2018,0,107.57781084147177,11.52679747214479,2698.4053302208094,93.64487036556712,0.05122068775397409,1210.9560470060508,5812.654279830671
eps-7 a,Orbital Brightness Modulation,2020,1,523.0605833284598,6.892554274208605,7047.833344507656,72.51728498633648,0.048141436137605575,1145.9670479767692,7058.487417275681
TOI-6235 1,Imaging,2019,1,521.8938071077421,11.840314322395368,2656.306768869876,97.24995935208729,0.045415036148594934,1004.121634928128,6118.909732354582
omi-9084 1,Radial Velocity,2017,0,478.32935959279155,11.152733098000832,1336.8843299168716,36.71705336203537,0.05633866855411568,1176.0861318191721,6110.607593785248
Kepler-3481 a,Eclipse Timing Variations,2013,1,235.57338805109833,4.149211959308063,5143.685678200784,105.50327957417457,0.0630733943985256,403.6633951922257,5425.903098524562
DP-953 1,Astrometry,2018,1,366.2988670502243,13.846448666378336,4436.83585970441,68.53235613018599,0.051336418451685864,294.8600173980808,6776.1751580280015
mu 1829 a,Eclipse Timing Variations,2019,0,253.21427605705864,14.050306338155181,2992.1925680177937,178.5283296589013,0.10624991643559428,1814.6132192856762,5671.312188293825
GJ-7365 a,Transit,2018,0,455.4383813495053,18.532352874855714,5000.3754484056335,132.32781807377694,0.0321636958995644,1286.1312478282402,5314.715022445267
bet 326 1,Radial Velocity,2020,0,740.2402890385088,17.018733773557972,8961.703638387193,59.00370503716377,0.08112550469743815,1989.7886911409641,4800.481187430352
mu-6631 1,Disk Kinematics,2017,0,665.1183091249536,9.64939407905015,7352.008518143675,245.37374488262765,0.031057448166017083,560.5435917438689,5239.660077240469
nu-5334 1,Pulsar Timing,2017,1,1117.6398871617655,6.628937248194495,2835.4383650145546,74.07022837594279,0.08072418712038662,1527.2851066915232,6158.40249095639
CoRoT-6091 a,Astrometry,2019,0,888.7873413183279,13.913223939356445,8111.948382310473,93.68745391575995,0.04037736424242217,613.1637618492381,5535.231465299369
BD-2393 1,Transit,2019,1,1524.304689591503,18.293933119935165,5104.661950197847,77.1959915086005,0.08763784776006639,444.9134497966637,6028.614104955549
omi 6665 a,Astrometry,2019,1,599.0129641981489,1.5800436732614571,3835.793318810327,116.71948444082165,0.03619112808466343,1799.3122056771663,6320.721266497678
HD 259 a,Pulsar Timing,2014,0,324.35178477416036,8.310274586640626,9921.871388600532,48.28495480350069,0.07233155184927939,1066.8156969320828,5892.816483999405
eps 1251 a,Orbital Brightness Modulation,2022,0,483.8765579489274,0.5234120381591332,7792.89299743268,56.42288551604868,0.057233742865641285,1056.7808462062303,6003.838691315854
bet 4532 1,Transit Timing Variations,2018,0,547.4714152816571,8.923046197573797,7075.186499124377,87.35625011160562,0.06095070349966773,615.0352020972982,5712.347177651787
rho 6849 1,Pulsation Timing Variations,2019,1,538.8970372004096,9.29646097386585,8191.336523817115,145.84341987359676,0.04501929355250002,1749.9699200421883,6022.090291330139
WASP-4643 a,Microlensing,2017,0,180.76146428797608,12.785324265109097,2892.341510956051,176.36248051480166,0.07454306138334768,1039.065665279317,5368.894865956604
ome 95 1,Pulsation Timing Variations,2019,0,709.1620775969255,4.5049885073032385,683.0244025964184,158.39701283905143,0.05565505909611931,1254.315989151736,6132.139741150063
kap-1169 1,Transit,2020,0,264.78920873209563,15.217423576655591,5057.68483112044,234.60664592784644,0.04745565831858122,1597.003340418424,6294.749519090471
iot-6010 a,Transit Timing Variations,2012,0,690.4823611946597,14.181702849397126,9297.990794835643,145.20457296498964,0.08843088710840978,1433.6251639420952,5765.288362695266
DP-4540 1,Transit,2018,1,462.04463001540245,9.02529606045366,6910.609441940658,91.71166869503861,0.0427704330506786,692.7954012145484,6174.874302683672
bet-6502 a,Orbital Brightness Modulation,2017,0,460.7266396782803,3.686695141977851,6303.26893273293,84.92105134643413,0.0494418064797208,920.9324596258879,5749.5894583561285
TOI 9728 1,Transit Timing Variations,2016,0,400.18255698493806,16.932741785541403,2631.6162505267735,165.95562451796258,0.007448895152861082,1497.2888104843869,6387.526078994044
bet 2700 1,Transit,2019,1,499.60395465713685,16.57307533971515,7567.581359193295,197.7775709274862,0.04187417562354469,1236.1573113079135,5172.164368670141
rho 9581 a,Transit Timing Variations,2020,1,560.1544191621998,8.842994773260713,9653.316703861632,2.377837325763167,0.005481770403262663,893.5790219225719,6047.920535331306
ome 629 a,Astrometry,2018,0,771.4521213443038,10.161165316217081,6877.713181920006,179.64338803624935,0.0032858688586385257,345.4950760960663,5689.0115306800635
omi-2848 1,Astrometry,2013,0,186.088543596634,15.391760992597792,8960.367472964495,55.057253988841246,0.0435034931886541,1749.271352944025,5549.8434020313825
tau-3808 a,Astrometry,2013,1,135.2991997806775,10.150984278345355,2691.5876553906605,98.82483568037664,0.06210763654557221,1767.0983272895894,5579.349792224052
psi1-3127 1,Transit,2022,0,521.8589340424791,0.6675506331211896,1517.8513979890017,75.02035914479475,0.05158469462999392,728.2425978931001,6069.733102213673
CoRoT-8788 1,Transit Timing Variations,2016,0,870.4758976001106,0.7234293723615082,464.0399863359935,133.6182795439667,0.09256461695875802,1127.3473143184701,5657.850411072839
mu2-3641 a,Imaging,2016,0,595.6536352555904,12.466931984029326,7625.636816222568,202.22017512775483,0.021775277006032972,1936.8429753358034,5880.586911142714
Kepler 54130 a,Transit,2018,0,395.18645632243386,12.571236102070003,2737.018759886275,49.63854225769797,0.01663944782015956,1809.4031986558502,5267.386671890081
kap-5020 1,Orbital Brightness Modulation,2018,0,21.539941586931207,20.0023353489654,3778.2675992106924,44.790323445597714,0.03305930266545333,480.49481356016133,6253.094442125806
eps 5466 a,Imaging,2016,1,658.7160646281545,20.59335816488823,6903.958122295013,93.18939146590287,0.095268283775751,220.66879497012974,6625.570440703949
eps 3603 1,Orbital Brightness Modulation,2019,0,419.35247329346385,1.0999011898543944,6106.909909527673,99.16968718583921,0.046225426982201605,2262.7940797500078,5530.950847097935
nu-6057 1,Pulsar Timing,2015,1,200.00099975709566,12.504332619675129,5803.591960008535,107.52330127657939,0.04831645766970609,996.9308575653403,6640.015778426721
gam1-3614 1,Microlensing,2021,0,135.35995320700783,17.594131504708727,5981.9835309331975,147.27657721994794,0.026983648014890577,262.9691737887075,5760.01017921336
ome-9605 a,Transit,2021,0,422.6169060533113,10.31300485121144,4317.361351854711,186.35901540459432,0.05991525348046887,760.0602056984392,6766.793172263687
