Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
gam-3877,K1.5VI,8012.493909839639,6.222728087644914,8.151832529353666,-0.30688946906332143,3.9214143919073203,3.6025704116607344
TOI-5871,B1.25V,7895.923699240879,22.94719082692946,9.638963637546672,2.570387619598271,4.832748125468748,5.61588571355347
EPIC-2404,T7.5,4457.731777829153,13.666587283514655,8.80298274005401,-1.509104680608564,6.652705832162452,0.6637271484666494
alf-8301,TVI,4588.47494090947,6.8890968836425195,6.150328478088799,-1.380858674654872,0.9221056713730515,0.14814693107148535
GJ-1920,G1.25I/,4091.2215398556064,7.723267719014984,3.2840419736126494,-0.564988296207027,1.8590540434116627,11.90107935842823
rho-6235,T,4940.302040274611,14.198395084946677,4.620012117780567,-1.1275224574787797,4.494218618099463,2.5556453524585416
xi 148,W3.25,8455.283671002373,32.452140714717885,7.27033075924822,0.2984057043852685,3.1914165331868576,11.19554028369458
ome 2370,T0.75,6772.870092655451,10.780092357563467,8.036696129973231,-0.1917262444581047,1.6235100753247347,7.3792186704325475
eps 69383,M0.75,5388.770269032195,5.397379694360005,9.259585861381327,-0.012638664308748632,4.07240445685478,1.5462482779467335
iot-30,GIII/IV,3773.0151755663283,34.106448365288244,1.9525556628866108,-0.29602930479302936,6.260996272206365,8.507923427707995
mu-7026,W3.75/VI,5376.267378819068,62.45278393088782,5.774690911488181,3.231459845163282,0.8776147393271381,7.002994909217719
WASP-130,DV,4426.078756244448,39.761818184727694,6.86433464924901,-0.6924508515898496,4.247194556157055,14.433355236182145
nu 4175,T6.5,3559.8197716193413,25.922026027517134,2.047169605765075,-1.3304772447423359,5.649476130474519,10.434063518853932
Kepler 7229,G4.25II,8334.414547510012,32.16184582566299,2.6938427113123264,0.6145615923928385,2.8942067743658777,4.035730402809424
mu 8369,G3II/W8.75VI,5107.912833326093,26.903579667471217,2.1787860262462457,-0.36787716883127475,3.3026097743396754,3.219475938672036
kap-4149,T1.25V/K6.5IV,3219.0568775317483,23.944926673179523,7.457511491345472,-2.851748199989659,1.8325913683189665,6.663579563606346
alf-8875,FVI/II,7598.9208105465095,29.728141367456878,1.456386475068756,-1.001542060927928,4.101965292251462,5.062685801932071
HD 6010,G0,5035.60509344367,39.78836901527931,2.951937856554306,2.0719170505333735,2.8288683799381955,5.018197239827728
WASP-44,L3.25-D0.75II,5950.800467581803,33.63835234808984,2.6205300174253527,0.4382889543182243,5.319012602004062,4.473876593516813
iot 9632,L3.25-D0.75II,4806.2666098531845,36.192057369511545,6.0664575456300875,2.09038948671671,3.6497405019501796,11.13419118856002
iot-3273,T1III,7421.873958636315,55.99723467974828,10.135328694813484,1.1099726884150267,4.359868172264291,3.074797805353058
WASP 2700,A1.75,5961.119652911793,32.49421271803558,6.404841322068774,-2.932653048380174,4.558441117013819,7.201017131657526
ups-891,L1,7201.1059521683765,43.17152411561371,7.039292227665001,-2.448846573813071,3.5545125571174685,7.483602748286875
mu 75,A0.75II,4946.399910812854,13.106063904875542,8.580692016305337,-2.243272987875605,3.3979017666913633,6.83729393502158
tau 8857,T4.75IV-V,4988.920570576385,23.41023274077635,5.832705592527938,2.7461316508889033,3.7925429943472304,11.165302719456523
CoRoT 210,W2.5III/,2129.733824889267,34.391677254933995,2.424041433207641,-0.6694621617064405,5.194394991945922,4.503115679396485
WASP 544,B0.75V,5059.993993906355,22.802192332617494,3.5577289612809753,1.7721786745846582,4.319642320650747,9.90511697943969
Kepler-9892,W5,7576.970214114952,30.20542962774698,8.595829722001367,-3.2966950178020364,3.9663088674165805,6.287636101159993
CoRoT-7,F3IV,2439.0158419246495,38.428186221913386,2.6616839234872725,-0.644384226163855,0.9993165347632829,3.886818691745803
tau-6209,D/,5281.64051740645,27.770022343301306,0.9341678690147432,-0.7049349591076444,3.1342747167929974,6.12389261102287
