Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
TOI-9152,G3II,2962.7601571387663,33.76183837630378,1.7729141718062675,-2.111764103505572,4.418607696077297,9.67479980786172
alf 6361,W0,6629.023385295738,33.928719461953,10.395439095024372,-1.9010635227145398,3.1218685424406223,5.5751188300741985
psi1-9555,T,4632.206168004631,11.30032188596671,6.228257544162878,0.2809278197999104,1.6087407062249481,10.145841096380453
Kepler 88368,T8VI-L9.25,6962.488723339011,28.88222740763465,7.840842386505818,-1.4651106159283365,1.9549760849493147,9.053815971877007
mu-3454,B9.5VI,5217.940051426637,21.53271070759165,0.8455624134966344,-1.1612254437269207,1.433985666771639,12.057774139715809
ups-3502,T4.5II-VI,5374.594734442265,33.18094728150323,8.987968268103213,-0.030597311165112773,1.6549707629483439,6.9571877593457225
ome-6700,K7.5,3024.2790664178406,8.250366735070514,6.517429231292694,-2.3122747186427777,5.621235974540916,9.367390203082518
xi 8824,L8.75I-III,4886.998703478219,2.3437541329875096,5.453713395172197,-1.0054430025812968,5.8627114852064555,7.39007277674864
BD-7847,W3.25,6555.572817968409,40.15540936024921,4.572355956861193,-2.8606937409943227,3.407775208972256,5.722620543621705
rho-4824,K4III,6460.403346747553,16.05994165499868,5.990102737664294,1.8181996762001,4.797242320392699,8.607647455925777
DP-4373,T1.25V,5901.728203421852,28.238414017153833,6.354425082129971,-2.474983338642121,6.673491092440057,4.901788754100165
ups 6671,B3,9545.717859273143,39.66240091526893,7.804945302816997,-0.7886793640653187,5.487598563724289,5.555602240318248
mu 7229,F4.5,4702.819490776767,18.109084196095505,3.450568841439892,-1.241640442710728,1.3194717386469943,6.207196437651316
GJ 4532,DV,2583.2545478650445,26.805198616151237,0.6456753463466569,0.3036180430419561,2.812459440157178,6.2153242548498255
nu-8626,G4.5VI-G6.75III,5985.754564617146,42.343207664962634,3.5575532989901224,1.8390685434162244,2.4591938026772446,5.781710071985726
CoRoT 5183,G4.25II,4345.701005399574,38.55513317518582,7.39546017540664,-1.2343944002563119,6.795018653875745,7.743422932847781
iot 5536,G1.25,4353.448722107581,46.42181847564606,3.9775410293397844,0.5872729532118672,2.0000203009375497,7.929642418726684
alf-1439,L3.25IV-IV,3371.4775542739576,51.034211553659645,3.2197992379206184,0.19287381410122179,2.1146789992667747,4.365134245341656
mu 2965,W2.5III/,3827.984762771249,37.103463448178076,2.1709104211756367,3.7326387274352824,4.866930281505772,5.810239006164558
omi-1639,TVI,4573.689363802592,7.753769977829716,8.682963349972951,0.0690514007774734,2.5882468484851775,10.690847576272626
alf-54130,M8.25I-K3,4518.476705255702,22.055376155454436,2.3824794544853596,-3.4927248549078094,5.693837123824776,7.5372539486490515
