Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
tau-26 1,Astrometry,2019,0,540.2366022430057,13.675002962055949,4378.178517009437,37.40499346365341,0.058895142847326325,1208.6959974493325,4825.251018850318
tau-26 2,Pulsation Timing Variations,2020,1,128.86853695915266,9.956945913011083,3893.6153479182512,74.64589986144344,0.027855833507573948,1990.1813809604791,6616.2161499977265
tau-26 3,Microlensing,2018,0,120.77957714641332,15.920113673698477,12215.306459676623,52.151187253492864,0.09363136884613651,1421.605714355019,5416.3916859916135
tau-26 4,Radial Velocity,2015,0,250.27207222201906,7.599803729131702,5674.1807928051085,78.88236922129268,0.030768333107879565,597.3805821908945,6018.891137320014
2MASS-8560 a,Disk Kinematics,2022,0,876.9223324692251,4.833285829009223,12459.152987857713,67.82409200671088,0.05032290761748564,1373.4971194089135,6215.159142408201
2MASS-8560 b,Transit Timing Variations,2020,0,150.94296351263824,1.5181723277924046,5973.981980460308,121.33203972706775,0.05489058507540647,892.09755320809,4756.239581831203
2MASS-8560 c,Eclipse Timing Variations,2021,0,417.7606181867733,1.7645784295504559,9547.14333305867,62.85958478740716,0.08890262031417365,1384.2616350409537,5828.261638925096
2MASS-8560 d,Transit Timing Variations,2018,1,47.460773757064146,14.088580415331187,5729.114762682668,95.45470764088995,0.08817215032466039,674.3908065674073,5437.747431120157
omi 9456 1,Astrometry,2015,0,287.8620541869614,16.43366650042735,4373.305414807632,28.10246909597565,0.060204332573068606,459.0568319718885,5529.2136034670775
omi 9456 2,Eclipse Timing Variations,2019,0,259.2227919807779,6.238816173884925,7173.419849558686,132.164527201912,0.024286501232089214,887.270812494822,5737.618648052624
omi 9456 3,Eclipse Timing Variations,2021,0,663.496577428702,10.464888876407965,8102.726828161424,105.041946061424,0.02115937263699911,1562.8629710719836,6759.681650137213
omi 9456 4,Imaging,2017,0,705.264024730966,18.661880493754825,5069.254772934251,106.75241690918443,0.014308184060763972,2294.2070031137723,5357.49872774299
HD 20794 a,Eclipse Timing Variations,2019,0,445.37802269336845,8.97347520099693,4558.122252836241,121.76089284226705,0.060247230767300736,1670.6713763378907,6088.548454669973
HD 20794 b,Microlensing,2020,0,271.97498442487756,1.0272462079931675,5618.20257650252,73.83666841133481,0.07309157666049085,871.4692134581132,5600.601139504204
HD 20794 c,Transit Timing Variations,2021,1,413.9930196220495,13.67757866814973,11339.87916860673,18.44971559828592,0.037665380954756855,567.5181086185908,6406.291806285013
HD 20794 d,Imaging,2015,0,986.3052273239141,6.892948676934327,191.49459409035535,131.12598649867272,0.08318141977082924,1553.2329169691097,5414.898166103761
tau-834 a,Imaging,2019,0,614.2668641894866,23.972408369988848,4092.4234925408123,119.99327435544507,0.04100230903632911,1058.55721520744,5865.170058614875
tau-834 b,Radial Velocity,2017,0,78.10262242925677,10.938275196969204,5628.96712044727,88.29188077624693,0.057107682613210746,2089.893411576765,5765.718352239961
tau-834 c,Astrometry,2016,0,100.4389104268808,18.87731915967546,1122.6638966786936,96.42515633454433,0.03107492099651755,1898.0237470999873,5749.389491609223
tau-834 d,Radial Velocity,2019,0,200.56269098080554,9.813907202851503,8979.315625565496,79.29213952902111,0.025884387447974354,1449.4576387883021,5250.518607754602
DP 3363 a,Transit Timing Variations,2021,0,115.97247699427822,15.082948398496454,4431.4814515947,125.95626609403045,0.06990861925235424,341.57185483907404,5424.2518706951505
DP 3363 b,Transit Timing Variations,2015,0,913.0249668474644,1.3831545611399463,5504.946498436875,79.30090095753988,0.005035375444655037,1159.1149281079192,6099.567004272412
DP 3363 c,Pulsation Timing Variations,2018,0,257.54963192921093,2.9094928383455425,1830.6454188869793,47.84838461379877,0.06988346515741785,1229.712317929245,6240.095900570606
DP 3363 d,Transit Timing Variations,2014,0,410.60726382946916,11.51672886672193,5813.466951573937,120.95647882570664,0.01606616603907974,1710.516015006776,6641.133069887521
DP-40551 1,Microlensing,2020,0,555.3532118878917,16.61151651848319,5219.6095512650745,58.120787732711115,0.043449623755818186,1007.0386500321821,5823.209416708038
DP-40551 2,Orbital Brightness Modulation,2022,0,657.3947052608271,10.60015746005162,4241.271019864145,134.54162773520596,0.0014152064792879795,1571.242638345631,6695.606053001199
DP-40551 3,Radial Velocity,2018,0,871.0088824295761,2.9590887764018596,3660.4457043767065,97.11174005680053,0.04568477079924964,1075.1957941155288,5864.552273337424
DP-40551 4,Eclipse Timing Variations,2016,0,607.5131673431922,5.450615155130341,3686.2621214148435,27.73363609561669,0.041370961146161005,1641.195610867456,6379.727882111834
gam1 1737 a,Pulsation Timing Variations,2014,0,714.9414051920135,3.83992204253508,4836.482283665439,65.14704140851757,0.046287770734889766,2460.145000006404,5892.32822358354
gam1 1737 b,Radial Velocity,2014,0,466.8023191097535,15.023238234274153,8198.89131861973,12.97748120868809,0.011224779331195915,476.946291811635,6001.153918049619
gam1 1737 c,Disk Kinematics,2020,1,747.1243688723964,14.964475500738185,3405.8575707365953,203.67226322720882,0.010436972079473465,1504.6881116470254,5328.819904896274
gam1 1737 d,Imaging,2021,0,813.7628434492136,7.779909002231594,4891.638428822253,81.51216843388785,0.04291529163282102,844.5154974037571,5646.67084617953
omi 639 1,Disk Kinematics,2016,0,380.1505041210096,12.780104386386636,2931.5022331272935,168.7768871618758,0.011497653567005786,583.2353922071537,6773.260957748185
omi 639 2,Orbital Brightness Modulation,2018,0,719.2368797373866,5.279095422923404,11141.144636946296,92.57986688184273,0.07318336452002458,1861.0536231678866,6507.4086999734445
omi 639 3,Transit Timing Variations,2018,0,973.8174751024262,9.4085897879764,9479.194479514212,24.86471235083782,0.10197916012555495,747.6132113407416,6207.076009907433
omi 639 4,Eclipse Timing Variations,2016,0,217.08424720430372,14.050412877675601,2876.0906405876685,46.72765767841581,0.04952914226793652,1901.6700422078147,5738.953658708188
GJ 3043 1,Transit,2018,0,60.14164945463506,7.344988283666959,3226.211951430706,90.68357489390797,0.018124477842014444,475.5170763629113,5893.5205359615575
GJ 3043 2,Disk Kinematics,2018,0,309.5160758018244,5.218708442988426,8452.973423946096,174.4509672149769,0.06702265202546584,934.2641405187186,6821.728427813586
GJ 3043 3,Orbital Brightness Modulation,2019,1,352.1818461492679,2.8334965968339265,3778.814768188372,177.26706634041113,0.04830147092534211,906.8632602987615,5793.832030178328
GJ 3043 4,Pulsation Timing Variations,2018,1,562.6367643061736,15.11342364018701,1657.7291219703102,97.53409669490001,0.04359737954810284,1898.2932399089004,5045.245438595082
