Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
xi 421,D1.5V,6121.039266148753,48.57525213806586,7.7912912779581704,-1.531162516736819,1.4202780145945701,6.758539374408832
gam 4303,D5.25I/VI,3994.625559928895,35.365278325487466,1.7474061174712254,-1.4636939433187437,3.3445761055866043,3.2446513116073903
tau-8868,G6.5,5003.869152560069,21.143873316614087,8.548535478519856,-0.9677424248271715,2.2667270976283467,12.496259559928875
CoRoT 8129,B0V-III,4460.533186272819,48.14776003896007,3.3826729132978266,0.047664596086673144,2.1931637836928632,10.721327643871584
ups 32825,W6.5VI,4439.583918848023,14.126496286443677,7.772775814011814,-0.3394668431837323,5.029661945572982,9.637450027683956
Kepler-2460,M1,4388.742377829746,9.496729272547734,4.792366256974841,2.6679758229171315,4.505102589059153,3.713686672439463
alf 1282,F1.75II,3100.1775565432663,10.979953736871611,2.2483426672861944,-3.5889141776229194,6.280427936339278,8.04153254046247
xi-171,B6.5-B8.25IV,5542.4275031861525,14.992247301872357,4.311757071198575,1.9178692277874296,5.705292907309459,3.0448049313410954
mu2 3528,L8.25,2932.0861839958498,35.411447248593774,5.146433428657611,-1.1852430231326807,1.3557143054914507,3.8523641826535644
HD-594,D3.5V,5080.223063658857,40.87590373740784,3.0097200210684245,-1.5923170704769256,3.245747315192556,7.327575008460986
mu-3043,G1.75,5224.468639798586,23.161853893005286,7.069094025045845,0.15466725649852997,5.998386240918223,2.434712958308859
rho-4824,L6.25IV,6416.5700901769,31.702419038801676,5.968537077058589,-3.475083005172423,4.3348167892412945,8.74296501389004
gam1 3856,WVI,5031.513644812319,21.751285735292267,9.929158457373202,-0.43373373414341476,5.5449144608047884,8.995750658042953
mu 6830,B,6074.247161041333,41.48887334283169,9.605141303301185,-0.16573982771615972,1.5508907036972832,5.699174644256582
tau-8844,L7IV/M4.75III,4406.225465347338,48.432295440566726,3.214948626726742,-1.2823475407364442,4.567066495180798,4.920121840678603
nu 3049,B9II,7079.093405095911,18.737150751023478,5.822451395094724,-0.6796006705904756,3.6530398619632916,8.974644664991304
mu-1689,G9.5,8746.19092801935,4.871274113447829,7.93170037335668,-0.5475471514764999,3.044756674108066,3.222225330134763
gam 9099,A6.75,4449.463303497915,39.63614602249581,7.765691261767591,-0.3368821912548174,1.1983830144129217,5.253508277615715
