Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
nu 2720 a,Orbital Brightness Modulation,2018,0,715.9046446399756,2.408014268268369,5132.815403298633,122.72431070972084,0.0650259488653661,1001.1657512289997,7284.608604966348
nu 2720 b,Microlensing,2016,0,356.29346732593297,28.24205564636862,4261.035486702499,144.05854997494802,0.057108397866881364,535.0721210811639,6433.118978495143
nu 2720 c,Orbital Brightness Modulation,2018,1,135.02263754436217,10.348556017432593,7779.496235575208,145.24012932529087,0.046610936200590515,907.6208343924516,4799.560117127048
nu 2720 d,Astrometry,2015,0,798.5298592457066,5.560730578203226,4621.329093423337,146.42968091342067,0.012337299545431862,745.0798490528633,5659.524173061622
gam-4014 a,Microlensing,2016,0,592.7337958470516,23.041228406051232,7050.417515052955,171.50402655859267,0.054935640215349885,1115.388200360314,6154.6035908322765
gam-4014 b,Disk Kinematics,2020,0,506.2087960863691,15.625386424025454,6461.753157240076,74.23740071957852,0.07155537168282818,1649.856671180209,6178.650736711764
gam-4014 c,Orbital Brightness Modulation,2020,1,1106.094843934694,6.175713368234471,3561.1710477159904,54.837766961033026,0.012472828985049311,1053.3064590550982,6005.881205356596
gam-4014 d,Microlensing,2018,0,621.4285422493232,7.0980683186502675,6652.258490118139,114.64574727917368,0.04476457213237961,1224.1116143486156,6095.403280874966
rho 4777 1,Eclipse Timing Variations,2016,0,106.53513200388596,10.224676242003339,4388.470012735344,35.59515196621865,0.03856315995035317,2453.112662568143,6001.494895702338
rho 4777 2,Eclipse Timing Variations,2020,0,156.46670528093227,13.468513579492843,671.5936677271793,120.31828126502111,0.05266182677395894,881.6518105340585,5285.167670130252
rho 4777 3,Astrometry,2019,0,440.36273335648815,11.293802537417308,5989.821252099936,89.87603191272801,0.05522015925089113,2065.3192485676996,5776.132098603065
rho 4777 4,Imaging,2022,0,272.80655922473295,13.966846395605613,3947.025764015851,60.633677127855215,0.01893815753005829,342.5279217520326,5857.389632125232
ome 8215 a,Radial Velocity,2019,0,534.1561632320987,9.44555966881092,6222.9141155895695,134.76775000428188,0.030478724836216144,1674.8167670736125,4646.759430605911
ome 8215 b,Orbital Brightness Modulation,2020,1,407.15492183326444,3.042516827259954,6111.569086683727,193.5477178708016,0.02881706191573875,1061.205891371793,5250.3180471134665
ome 8215 c,Imaging,2020,0,352.343316764781,15.434881098194776,9043.721694196036,121.74655431521622,0.04371524053828929,1539.9901136267513,5875.356525288782
ome 8215 d,Microlensing,2018,0,628.170591559575,23.62873300193517,800.0280617886065,91.38266406337604,0.06512637764855717,1155.272622851475,6286.52448685413
mu2 3843 1,Pulsar Timing,2022,0,11.541543361622189,10.59437559894889,6181.111784761462,89.38930643079487,0.061044731721098464,443.3591470939306,6214.301991631003
mu2 3843 2,Disk Kinematics,2021,0,573.0354899768821,2.3105478751530004,9371.582915695599,93.54147747970168,0.027435597341763183,1011.4451360228209,6186.088156135806
mu2 3843 3,Pulsar Timing,2016,1,302.70497576027003,11.158762292261773,6525.734103651432,141.1148418437092,0.07882275906635094,647.8108631057937,6162.900851723961
mu2 3843 4,Microlensing,2019,1,407.60220184854546,15.789781990536678,8509.719008421534,228.7901682192064,0.07136535764459886,620.4945507067382,5707.2452817379635
EPIC-6037 1,Transit,2017,1,470.3071863863231,12.23197402176216,8076.394677663855,73.18772698908087,0.083785796089725,1134.656229152941,5118.50049766936
EPIC-6037 2,Orbital Brightness Modulation,2015,0,615.2075023905676,12.021458425853856,10193.65858731907,34.16848248051963,0.03134560001314972,1255.7778635616119,5312.7433922066575
EPIC-6037 3,Pulsation Timing Variations,2020,0,146.22048259915823,22.308140196779963,4101.894817205899,85.04171015114996,0.04864631929661705,678.1399316164243,6406.0286498111345
EPIC-6037 4,Transit Timing Variations,2021,0,529.1640436929976,20.629982772120577,5502.618239008062,122.66156551759255,0.06365235048909669,971.5836138509213,6226.610895567964
rho-2098 1,Astrometry,2019,0,860.2874934408912,18.749078326642017,7864.09185101273,117.03072533602223,0.08259578731289176,1784.470214115235,6697.222187124501
rho-2098 2,Microlensing,2019,0,588.7878824448508,17.204368742051216,4562.024815520846,107.15661268172136,0.021635533136190068,1119.0530837772487,6266.554616699707
rho-2098 3,Imaging,2021,0,561.8627032468056,15.898554338110468,4651.444942663209,65.84972069211925,0.02832971354241404,1562.2590123577008,6573.116423316081
rho-2098 4,Disk Kinematics,2018,0,559.679420011939,7.292318777910966,8049.995802430456,114.01456347165526,0.030959211056338545,1722.6552235279257,6699.549530403241
ome 7006 1,Orbital Brightness Modulation,2018,0,793.4223040679208,15.661557081674466,9015.101077873875,167.1888044050588,0.0005221316747515345,910.257449397382,5711.439635022348
ome 7006 2,Astrometry,2020,0,541.178314688362,16.970902009338484,3593.0569979911024,50.15881397038651,0.10640860100767777,739.9882814942328,6366.746467968816
ome 7006 3,Radial Velocity,2018,0,545.9085566161599,19.73424610897253,4152.725976384541,80.89370805544911,0.03938196437717224,1417.8056158806467,5651.082282144974
ome 7006 4,Pulsation Timing Variations,2018,1,421.002269482318,20.325471376236322,4142.398473632353,48.11859412799795,0.08217982113165723,1276.8606735218996,5499.256828612579
GJ-579 1,Astrometry,2018,0,309.35393835035364,6.70659660905811,4786.285645404376,9.050115272237548,0.038838497757913135,1390.6755497543336,5921.468253538964
GJ-579 2,Microlensing,2021,1,568.6844177927421,6.3820502225767735,5003.404913385553,117.22000042474585,0.07435763614579921,1475.0053832070294,6230.583325411481
GJ-579 3,Pulsation Timing Variations,2017,0,258.07800732045786,9.385856361471497,10663.758925777493,206.46525284869898,0.03752192994531587,1390.0474620135942,6269.213930653463
GJ-579 4,Transit,2020,0,164.23263943926526,13.008432089649387,4874.718624039386,25.05421786828434,0.039483162403096385,1218.5143187103668,5381.932805393007
rho 2915 a,Disk Kinematics,2019,1,275.332267100345,15.543730877595884,11862.887237752144,113.01817831456012,0.011564303446077881,1087.7346576345676,6078.260294019981
rho 2915 b,Pulsation Timing Variations,2020,0,795.5524074311766,16.940087230288263,5033.173894720761,150.8708573033694,0.06564967281288446,1272.515369054977,5743.044717303707
rho 2915 c,Radial Velocity,2019,1,403.55861438949364,19.288776401768917,11663.09531749472,121.87950888894439,0.026238080125269087,1950.0615731984449,5408.284017126682
rho 2915 d,Microlensing,2015,0,334.5944056637967,15.079120834213501,6684.138826708507,33.843254131847274,0.0028270320542218216,1090.395866258322,5422.360941809726
EPIC-1796 a,Pulsation Timing Variations,2021,0,312.2534644993169,18.04299591588774,5054.666986815353,105.88868422851682,0.0899928031191709,1503.6316918560437,7244.2439280343715
EPIC-1796 b,Transit Timing Variations,2018,0,344.00531032870276,22.662091877950402,4812.650859307845,81.97061477853215,0.019306899851442124,1023.1414311597183,6454.58762517228
EPIC-1796 c,Microlensing,2015,0,726.8560339342669,2.680048890447658,9547.899724817911,41.273164001611974,0.07014475962083647,1543.8517919726419,6477.557340833247
EPIC-1796 d,Pulsation Timing Variations,2016,0,350.09263986228285,13.751865414586263,8960.057302251693,123.84544355483203,0.06107367393794562,542.6579853583634,5104.168241766567
ups-6995 1,Astrometry,2017,0,545.7518851490631,13.665249864117577,10466.573032311819,69.54172427532477,0.026367450481137387,1632.0700420678386,6647.239547521468
