Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
mu 6788,T1.5,6388.3355758498055,44.48764366144989,10.66768609732059,1.0972597442822005,2.2774917434014883,0.6919768757588693
eps-5052,W2.75VI,5304.161487982507,26.60535666973314,1.2591424804704339,0.587211486374926,2.21835680016384,7.802849362394845
alf-38047,M8.5V,3814.3189745936684,32.010347877426966,6.045558058887482,-2.241886032235105,6.162626297957584,5.316722985631172
rho 5535,G6III,5592.288550423339,16.208426482098307,2.597826254749159,0.22003299988204977,3.2386674714744728,0.9998794898975216
ups 6671,W5-W3.5II,5353.930972195333,32.98280535205018,8.716007108836564,1.6275049802826622,0.7460590647471279,6.5004062435789995
nu 2390,W1.25,4590.859601345368,26.259108685261427,2.674963425079954,-1.450109276482983,3.3982138111626323,11.086361253520082
ome 1120,K4.5,6468.412943016496,17.69995934871006,6.285588254867203,0.008276204877738669,1.977954449097789,10.540707786585612
ups 9776,D4.75,4118.610350058729,21.540601987560887,7.3163042743209505,1.866248892548332,5.300825736632269,11.96534504668327
iot 5584,G8.5/M3.5,5051.774114242001,18.157036602737968,5.208108270739904,-1.1668017917213191,6.218987902143901,12.588174932847776
nu 7817,D1.75,3993.1472085192318,15.088103667624447,10.742777785000738,-1.6803714635678757,4.295411740783652,8.07348300465182
xi-6711,B8.25II,3915.408125508196,12.02943526532081,10.375136055003576,1.8145918249474506,3.252725990936236,12.943832081074529
DP 7649,B4VI,3420.969271969838,24.79240827535328,5.991156163930694,-0.8716283813854095,5.765362984931204,9.43632779473997
tau 6064,D-K6.25II,4816.92723306379,27.549847087269317,5.354112435006306,-0.6256212150953095,1.8741629273508058,6.888677020266174
rho 5608,W1.25,4872.301583637191,54.72284101121678,0.1099836023117744,0.20524291264246397,2.049707891118607,5.370569604241601
xi-379,M7.75/W3.75V,6570.454012975453,53.4835005151577,5.393214843083458,-0.1227293314958628,2.430073953100238,9.040841814446182
mu2 2164,W,4581.90747203211,9.436036569057759,6.454084689946179,-0.07702172465346772,3.456183972563924,10.028051049260878
omi 697,G8.5/V,4527.58596944056,10.883751834896913,3.8753870324331983,0.02094690687486414,3.753086897461795,1.0326495047699433
alf 2863,K4.25VI,7423.330395256182,41.55428759034415,6.692022763839693,1.411728880519505,5.972989766610757,6.015414563482225
HD-3064,M8.25III,6097.633016005013,17.159734909845767,2.490606657957843,-1.4008188866028182,4.881698712977352,3.624645315212014
gam 8253,K6,6107.189633675396,0.46656031746974946,6.89496725134521,0.16018591381859404,3.678842165607863,9.124848779288431
eps-5342,D4.75-I,3344.7446069606267,12.27904077916618,10.686795670288797,-0.056223186612026604,1.136802636776575,10.359797932523978
alf 1840,B7.75III,5126.136288458536,3.8523330901757262,6.096676070196131,-1.3116099283082103,3.7608830881013824,6.096433319169347
2MASS-5547,W3.25-A3I,5514.988743149027,35.32607020785895,5.323127640372184,0.022332802991082285,4.706266015644639,9.139500416885184
2MASS 9876,M2.75II,4296.809694447523,30.614926873888397,0.6712443696480941,-0.19487763221006202,1.6252710182498182,6.41226465211444
2MASS-5853,W7.5I,3257.4093382782903,24.04222591306606,10.523578353264629,0.2519216848708625,3.5236259724983485,7.133385545404046
DP-3706,K7.25VI,2531.41357245775,10.925497844445136,5.347618400031655,-1.9250056900646455,6.161974942127747,8.517536254096823
bet-454,L7.25III,5583.314131683129,5.861809909632878,8.853837548820616,0.7383670184917477,4.693319271533176,3.178505144889811
GJ-8354,G1.25V/W8.25V,3209.989184569947,37.141661341097844,2.532351698696379,-1.2537508987882033,3.2651251620074886,8.276793843357858
alf-6947,G4.25VI/M1.25I,6888.431673394548,10.200549591557246,6.100858831954396,0.04053918381789556,3.624939381263506,12.650251814679875
