Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
eps-1634 a,Disk Kinematics,2018,0,646.8275004326201,3.2828108393263387,6948.098658594299,21.16911190466709,,777.0249956975546,6294.342636986548
eps-1634 b,Radial Velocity,2015,0,586.1729591208441,12.233863871892684,3112.3255103409792,205.64419261397347,,123.56874418470909,6809.652955154981
eps-1634 c,Orbital Brightness Modulation,2017,1,500.9856942708135,19.35818419306858,1814.7064298338787,,,1171.0784383972566,6351.370118076591
mu 75 1,Pulsar Timing,2021,1,386.58312801518827,4.882979543701987,4320.860969188328,178.9884898960505,,317.6141663188258,5299.3563089411355
mu 75 2,Imaging,2019,0,938.7570530139815,13.644475702175495,5019.832885297645,,,1462.1858529713531,5482.013112099273
mu 75 3,Transit,2019,0,466.7057796097221,4.173004460822724,5537.97415532816,74.57211011188588,0.0723979565019455,1519.1443625814334,6210.7345936198235
mu-8747 1,Pulsation Timing Variations,2022,0,912.0728808283951,5.460189082625637,5674.089435942459,0.844594932468496,,61.53083818389541,5344.611777339058
mu-8747 2,Radial Velocity,2017,0,229.20743568082884,10.571707094905186,3866.8815818991316,45.4583191855613,,587.3215705545788,5258.551043615793
mu-8747 3,Eclipse Timing Variations,2019,1,987.1026733237479,10.534788792186376,2724.3535085241515,,,2098.1649008469985,5784.147643604981
xi-9028 1,Transit,2016,0,275.13674394687206,9.25700588939056,5944.324031204429,,0.04943139101413154,1758.1002151512703,5094.081421351935
xi-9028 2,Imaging,2018,1,781.1039163125619,18.33412975339357,6748.724638174357,115.06182905430926,0.06991175982868028,880.7615389274137,6962.57686400247
xi-9028 3,Orbital Brightness Modulation,2018,0,571.9274629981239,13.641614693817605,4011.8586784016215,80.49162505022636,0.04507396296010717,1626.6521032699875,5363.665049497289
alf-7038 1,Radial Velocity,2018,0,658.565040464908,6.35684651097641,1521.435011994285,138.97775688266034,0.09940034697051572,612.8196557677172,5030.473336741047
alf-7038 2,Transit,2017,0,100.6897052430146,5.2663005181332885,810.8840294380789,183.6143958779231,0.029575438196226427,679.796492862585,6684.046860175094
alf-7038 3,Pulsar Timing,2021,0,689.7674735185908,16.739137089292882,8370.684321083763,61.66689292998574,0.03809491855698586,991.5051333485022,5258.160546489353
nu-76428 a,Astrometry,2022,0,522.0759491284473,13.943004156442157,9190.936296761216,71.73768684233012,0.048718378163798884,1412.9732637215566,6455.431743009764
nu-76428 b,Eclipse Timing Variations,2018,0,209.37838750129833,10.562162865053493,4108.30098940078,,0.08426730959994133,2325.8918497005216,6436.678236301907
nu-76428 c,Pulsar Timing,2022,0,510.21340909263034,7.073954669440204,8244.881251295279,,,338.56879598043224,5566.528308628892
bet 2313 a,Pulsar Timing,2015,1,311.4846666481887,12.959885807667334,1790.4001901424394,94.37432744432392,0.047153742147582355,436.30623608753956,6037.086143487775
bet 2313 b,Radial Velocity,2015,0,481.2810074716459,14.420919364406519,6127.988502727539,80.22770578504462,,1014.651253713215,6347.028405981411
bet 2313 c,Transit,2018,0,2.8420377499662663,13.422896335080358,305.5928355924116,45.7114763139469,0.05899028964558589,775.8203919401964,5678.456178548286
bet-9001 1,Eclipse Timing Variations,2016,0,485.8299563505826,14.665630113744779,8247.836730100049,,0.12913416471368078,3318.7069383045327,4884.977576892348
bet-9001 2,Disk Kinematics,2020,0,808.0376112141222,5.998095282988319,4552.140382957271,,,734.3890324931663,5663.3041679712005
bet-9001 3,Imaging,2015,0,494.7503415376931,10.630186270810842,5058.42967052421,136.87137026626624,,677.8323993509202,5314.3797625704265
nu-4614 1,Disk Kinematics,2022,0,92.7928070185294,8.56499612464434,5619.342961036631,,0.05855221326327471,160.77743673688394,6036.368196780565
nu-4614 2,Disk Kinematics,2021,0,308.2973831063141,15.977440799369662,6116.952030696166,110.00823344231735,0.07868924896345567,1682.0684192061271,6515.822141540607
nu-4614 3,Microlensing,2020,0,565.550118186894,5.682517204721313,5129.03485117917,121.41915700833823,0.03074218659099583,1747.77624631087,7225.999257879652
gam1-6334 a,Pulsar Timing,2021,0,394.60630064906576,8.264577813391856,3139.0596620135802,,0.05423074522669262,959.8091539866026,6519.473241376139
gam1-6334 b,Imaging,2020,1,209.07007283351084,16.29209808773678,8042.165946703582,90.6491423839989,0.06419913881223288,1208.780423235142,5463.869453826781
gam1-6334 c,Disk Kinematics,2021,1,803.874586916106,23.09383003509422,9786.616660507374,,0.09716307428355786,1312.3084019987252,5779.802676602813
2MASS 9870 1,Eclipse Timing Variations,2018,0,300.2159020049547,9.201020163353496,2855.447424636444,57.97746140848922,0.012743087115013381,2486.5325827683137,6736.304661868579
2MASS 9870 2,Microlensing,2019,0,189.64297337385597,12.501217250689988,4087.5405100171,59.08793226790268,,380.97430796582944,5869.813514551858
2MASS 9870 3,Eclipse Timing Variations,2019,0,697.9993208044534,12.603851825757951,4468.175445487505,,0.037306986545617135,1623.9369104215316,6119.152271638342
nu 3929 a,Radial Velocity,2016,0,489.74023236322057,11.595578958448007,6484.161234466953,35.38265531485321,0.042832233232480324,172.64588016387654,5998.622882938862
nu 3929 b,Disk Kinematics,2017,0,796.0161681270773,2.7300261018523937,3492.6327402989027,70.63329975969084,0.021857490512157674,1249.1564028190296,6297.54148641407
nu 3929 c,Pulsar Timing,2021,0,402.44784702786575,19.09332417955764,6095.831492279836,,0.055215098847998925,829.6566648828884,6732.037689368454
nu 26 a,Pulsar Timing,2018,0,127.4058745303559,17.255644300857334,3378.638559800712,135.32689035510805,,1666.0878351727183,6731.788745746982
nu 26 b,Pulsation Timing Variations,2020,0,734.3852102444831,1.142548052325159,4166.514925330808,160.36330121971622,,1774.4170202927394,5577.707794400245
nu 26 c,Disk Kinematics,2021,1,180.47049437040062,12.993556992284613,5568.184959492604,213.73112383251285,,1647.1754982340053,6037.511105476772
kap 2087 a,Pulsar Timing,2015,0,468.38380804778666,7.687937238338971,1724.9147559014423,105.40531607678666,,1504.3937312200846,7192.599861846872
kap 2087 b,Orbital Brightness Modulation,2020,0,393.91557467388265,13.386611564480464,3584.9732076202163,166.57140582855925,0.030435053494578743,309.9454182230395,5743.964561360159
