Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
kap-1359,F6.75V-L6VI,3740.8707327819966,28.820611897841758,7.823066534977833,1.3520566114611723,2.3074726709070754,8.666054120333158
rho-2036,A4.5II,3759.3445607951,14.441313823939698,4.325788236932401,1.0815681521091591,5.763855379681262,12.97248222310767
HD-9681,B1.5VI,4173.914636304678,27.747408355776535,8.667372287753306,0.19236761063139657,3.14060378223006,2.5598333423432384
CoRoT-1550,T2.5VI,4769.582477581902,29.505406226805803,4.978779809302881,-0.5216641199975247,2.5034707470172126,0.6070381067782273
psi1-5662,L6.5III-,6455.2587283525245,53.79166955486091,3.1491529904224635,1.1426975410470128,0.5707036196714976,8.305561942369119
iot 29,K7.5I,3322.2856709861244,13.383206342784511,2.3262362646852357,2.981490341849821,3.1272503315080242,7.485913489280542
mu-1662,F4.75/V,3693.965729818236,8.66655870138445,6.840023911500252,0.35304999291893563,2.719690027818702,6.5075627835745795
alf 8589,M,7863.872459853663,28.81666082723039,2.9634348406433797,0.9263138511944742,6.090204961032343,7.831734520338057
HD-26,K7.25,5973.171095415286,23.6291407711442,2.680007233250717,-2.0808656895630753,5.648562901559319,11.21393708949784
WASP 430,F2.75VI/,7076.495219596536,31.50997243432147,7.277444740682188,3.6977551864985334,3.7583304847477823,11.716266976278394
kap-8318,K7.25,6926.533753672451,19.251210755070645,8.918337990463474,-0.4271846908105674,1.7737699110292144,6.212131939823456
kap-237,A3VI-VI,6715.663381094316,22.145261102523488,6.272761822602426,0.8549341327741744,4.4210442062890145,9.251197660491528
mu 1090,M4.5,3835.049234380238,19.239584474877,10.883046849754368,0.2935501442426951,4.727634780589674,13.927103491803173
omi-2398,G3.5,6058.178517901612,24.641490311387564,0.220229212090711,1.315203699176769,5.057614290465775,9.305354868262786
omi-57,KIII,2629.458427368635,37.298910649312106,7.5691520690275365,1.502867164903184,3.03094059008284,6.164620879601799
xi-6451,G1.25I,8989.06904579548,14.830052251018671,5.791096797516037,-2.1356281503157017,2.557016532168918,10.769925787495513
ups 985,W2.25II,8115.885121243946,27.22757533547625,0.4549492301240381,-0.8622704240553836,1.9764173327578825,6.968977023242239
ups-99850,F0.75/G5,3595.699606257815,27.6408099879534,7.964603630652468,-2.724009800100107,4.640918473123486,5.912352014092047
mu 2469,LI,6813.134086928178,8.893953905682405,3.9391887670419106,-0.17455022490733071,1.789100205890246,3.363050108966637
rho-2098,G7.75IV,971.3003455499711,25.604766028641084,4.241769086867258,0.048916091504480896,3.9082775689164793,3.582321273378809
omi 805,F6.25/III,7827.187530930772,42.83935922750625,3.734212576596423,-1.2120568100429794,6.128552471217343,0.5117250970816807
ups 9549,B3.25-IV,4805.610875326715,41.61934009264415,4.834645163314429,-0.3928287876040462,6.691767548343179,12.296152531608104
nu-2318,AII,2284.7012870213566,24.339353188007188,3.7140648171600175,0.6280710948465444,4.599485841507753,1.380720895304428
