Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
BD-91596,L,6908.660613672914,44.86917805058464,1.5245739507524338,-2.2712368987908915,7.402462237344414,7.173154872312967
bet 464,G2.75II,6916.919977392157,48.38638149290257,9.513003381387412,1.050613022049813,2.4268063789825147,0.5896402186052612
kap 5868,G-M0V,3469.4850557204154,16.26417280657288,2.6602835976499115,1.240595952760558,2.5959844709334616,3.242907426020986
2MASS-9777,L7.75I,3737.483227595365,32.54243644829162,2.642252927922123,-2.9121471687559484,1.800837173792379,7.578134813207882
kap-9036,B2.5III/K0.5III,7015.365788675766,39.09153488284571,4.259794827045856,-2.3158848483489725,1.8648865917444084,4.721168695481481
Kepler 4350,T1I,6311.055462743692,24.702325101964018,6.470386463298702,0.3687638086204255,5.455048785135178,8.045109552073491
gam-1940,L7.25V/T8.5,2921.189319377925,30.67945742562239,5.706027269867141,,4.922801212238649,9.215721952793302
HD-637,K6I,4655.751517721057,20.54473310093277,7.703298538825361,0.2075229163133764,2.238290718777301,8.503035381449864
CoRoT 7865,B4.25III-F3.25,3090.8558589696013,23.499877578021497,5.824191406223676,,3.1862579567049383,5.848363319034156
GJ 6912,M3,4903.382958946064,10.314516232773745,4.6571684251909975,2.198108180545015,5.514675952410116,5.012828686537038
nu-4567,L3.5-A9.75III,6956.656040453102,9.730590582595656,8.37777821087234,0.2681301883915837,4.349660666307166,3.2432868534095576
WASP-72516,G3-K3.25V,4652.024736116096,42.1517047508997,6.448512477101454,-0.4933043681309227,5.526921964606569,3.664261144480635
psi1 2109,K4.5I,6369.510173840146,29.89506948041908,0.2021118733066069,,7.315047674259434,4.677296225792318
gam1 5154,K3.75,5799.816305361703,19.20775869202258,4.611356719444055,0.3596508070480858,0.7326590084122895,10.97439656741408
DP-5797,G8.75II,5900.154242786823,4.594926156615564,5.187431621158488,0.9709220087805388,3.074159304751447,13.02245419994888
alf-4840,M1.25III,3586.631752379366,35.691360999324125,6.148128277970283,-1.2277457159591003,2.9858795300934884,7.061092464962071
kap 7585,K8I/II,5089.027953597025,30.383971111060784,7.319893734959788,1.8411915658825329,3.1885512510005944,6.856657251691874
BD 29,G9.75-M5.25II,2589.032083631645,15.989380902191892,5.418759426402147,-2.1461535601875603,2.1349789754850006,9.186559155028196
EPIC 2246,MII/T5.25IV,7440.075142494286,51.841036835710746,6.96522595567342,,4.60457636985994,0.5911524224488645
psi1 87,A3.5III,4067.933062525135,19.875976762256546,2.147847927196078,0.7736253854866291,5.005131067457489,4.304340982664798
EPIC 698,F2.5IV,4506.843693062222,31.869141426496427,1.576613944507065,-1.718207403157488,4.8068460720756825,8.967044640077152
bet 7295,M0.5,4983.517763360678,19.542722926498577,1.8543759292515276,-1.1132399817701253,5.560534436208029,6.848002287053008
rho-3623,D1V,5077.44286231542,20.41861004074023,2.0969641190238777,0.6551144317999509,1.4007124668404094,7.258375784252452
nu 2285,B8.5II/B3II,3985.6088869366167,27.08435372670336,8.116286828153477,,3.648730712625826,11.504340597283097
BD 6915,L8.75III-V,6261.233572825011,11.889519943692148,8.37088018766185,,0.5794656745048989,9.447005853409893
Kepler 565,L3.5,4228.649586032927,29.342817070502587,1.006221643532581,,3.765441784621388,9.540562194430748
DP-940,G2.25VI/W7.5V,7860.754573662076,32.074194358147466,3.894269953036794,-1.0045638906097318,5.1273414387849225,5.028682360828045
tau 5283,G2.25VI/W7.5V,4209.553562806615,21.244000526131043,5.652991482115502,,4.977174319152672,5.5540420691834775
Kepler 7766,D7.5V,5833.756934815574,31.701218620740946,3.734732192139246,-1.2613890775181793,2.7208443914174087,8.156564987384787
