Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
mu2-5518 1,Microlensing,2018,0,840.3052548072824,9.740610953007533,2165.386308345351,68.7365104283034,0.06857098726655882,2313.5358078750146,6499.286514989328
mu2-5518 2,Radial Velocity,2017,0,379.01108329852843,2.2541541331678037,,183.79934352513442,0.05849045302632476,566.1564143321423,5695.117796062334
mu2-5518 3,Eclipse Timing Variations,2020,0,679.7163368244103,11.245608876734268,5857.604552491373,205.1590195878924,0.10385229360691753,2081.3857345628753,6419.068827176484
mu2-5518 4,Transit,2018,0,395.8396947076451,7.333360027434157,1454.6331227413175,144.17594453925813,0.05880239165398208,1385.0302758156324,6961.382861864682
mu2-5518 5,Transit Timing Variations,2021,0,334.1631148608891,16.761638423225353,8069.8979454614955,43.20087018832085,0.08187841092379188,664.2814194636298,5417.5543576530645
GJ 5054 1,Transit Timing Variations,2021,0,651.9234214632563,11.976987471516853,1714.0553547869504,42.26577809160518,0.09777666295216784,1880.2435055448307,5993.497115431099
GJ 5054 2,Astrometry,2019,0,214.922734622701,,6425.88789980067,52.34911464028408,0.03872508791558644,1045.734224384543,6033.239437571354
GJ 5054 3,Transit Timing Variations,2014,0,146.33974963040515,10.119298388489826,6494.834678956837,117.96839160750855,0.10426157280975926,934.1890529291139,5561.837360502801
GJ 5054 4,Eclipse Timing Variations,2022,0,246.13015163271018,1.3223807351711176,,111.58853633712812,0.0466328625298075,982.1177547898702,6180.5885051727855
GJ 5054 5,Radial Velocity,2018,0,945.3039103965089,,,72.1191066456037,0.020852220292811995,1336.0648939476534,5595.674996234933
mu2-7664 a,Eclipse Timing Variations,2016,0,648.8112687835004,23.688053088575778,,53.10587691876659,0.051069088720393,692.738607926548,5528.731449759665
mu2-7664 b,Pulsation Timing Variations,2021,0,187.07818002306306,7.689438480712244,,34.01935965268105,0.03077444309014957,1027.6354657601973,6030.710687559512
mu2-7664 c,Pulsation Timing Variations,2014,0,708.8044229858033,11.00784596049105,,21.253162715426953,0.07758265541034115,2061.8070254742165,5984.219680388974
mu2-7664 d,Pulsation Timing Variations,2017,1,728.2078602524106,7.568968945854936,5016.792346040608,127.59203301380505,0.023361912590936,958.736084244814,5674.672151683541
mu2-7664 e,Imaging,2021,0,366.60796242099207,8.32382274618918,511.8342372918178,7.426607596872387,0.026616019742381335,577.2896349767346,5287.2374828479815
iot-7418 a,Disk Kinematics,2018,0,723.0929210343274,8.351666937943051,4931.435130775554,105.04043621727354,0.07746498780896749,957.1189050604896,6406.533586371274
iot-7418 b,Transit,2019,0,307.583613929335,,,62.60669520993521,0.049912603194876566,335.6209272849293,6836.610516637038
iot-7418 c,Pulsation Timing Variations,2020,0,836.3005790335405,5.014092029831209,7570.276465431704,86.25692803312445,0.040543393359945785,1247.188088933477,5016.63348021256
iot-7418 d,Imaging,2017,0,300.9426483106514,25.019123027484046,5197.771721462989,154.8935073542102,0.03967032689538216,1588.7187950952832,5123.389366732914
iot-7418 e,Orbital Brightness Modulation,2020,0,550.6418717446548,4.889410042273446,,15.850500280341976,0.018552917320040198,1089.8402718335858,5733.582964978699
mu 8991 1,Pulsation Timing Variations,2017,0,909.0235869187234,7.962235070626468,1932.9859326964142,130.9300733213245,0.05943972873263039,1319.3544443043481,5849.514864547329
mu 8991 2,Orbital Brightness Modulation,2017,0,308.30676562277506,12.245409875115087,6540.711923174666,141.8375887757025,0.04350960890000062,1493.8385296694123,5701.286779519421
mu 8991 3,Orbital Brightness Modulation,2020,0,889.2329734103475,13.685087270686536,,33.46351336521451,0.08290574950141646,762.6944933289797,5852.307185185639
mu 8991 4,Imaging,2020,0,507.07507501995786,,,120.49673107674823,0.07699863758215827,476.02045848799605,5831.23487012815
mu 8991 5,Orbital Brightness Modulation,2018,0,626.6405861157756,6.945693644172791,4409.104936572155,82.42640922517904,0.042763073452312936,1034.110934454854,6469.84369805599
DP-44 a,Imaging,2021,1,164.50452057398854,14.351009641762344,,134.45295847574522,0.08854402626880327,1932.8342514116398,6089.568987090648
DP-44 b,Transit Timing Variations,2017,0,402.2688877328392,,6215.846687625301,160.70140366389577,0.02388560141751187,1100.0192334053158,6470.867649536172
DP-44 c,Pulsation Timing Variations,2020,1,732.57564943699,,2986.881605400505,237.70809826781897,0.06003085903823028,927.4758282712514,6157.753407735962
DP-44 d,Pulsation Timing Variations,2016,1,865.9369849876416,10.458304048987452,10450.34859892122,216.58641121343925,0.06367411960770072,1751.0409162396904,6458.684870083485
DP-44 e,Disk Kinematics,2019,1,771.2667887388263,,6349.040818598439,155.32573590969105,0.09966674974400379,1311.7702273926914,6565.846067829252
ome-3269 1,Eclipse Timing Variations,2020,0,812.1259416538765,9.221161244688105,554.4584083854379,15.508627416661824,0.033522645447725,1827.5617542866548,6527.955670752811
