Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
mu2-5518,L4.75,4807.570844658761,48.73942559239428,7.818141386016141,-2.0378733603971777,4.789277696899056,6.104305473589065
GJ 5054,W3.75,4423.557610600097,19.932510215049412,5.1449716291404926,-0.4906641589163486,2.4476619275147806,2.0530411695158834
mu2-7664,D4.5II,7252.194183871781,5.6131125148344125,4.371067975449783,-0.02462117897844887,1.8194561653898844,9.591883072032278
iot-7418,L4.5III,5628.400214568313,26.56372632434907,8.73763548351039,1.005755159465077,7.2841924797742905,3.7215706594328375
mu 8991,K6.75,5473.16169948234,12.909837873253291,9.063498416026341,0.42782893149178,2.8881232609948557,3.6239030779597514
DP-44,G4IV,7876.638822711192,42.87025660013141,3.957980548289897,-1.28573708168492,1.1147987224466447,0.7826594331549348
ome-3269,F2.5III,4213.147760112937,0.5348204230908742,5.704874975494372,-0.5500564771473917,1.9194661187072495,5.751179479761115
DP 9731,M5.5IV/G7.75,6471.747323065072,7.336680401183372,8.586103085314427,-1.5792697465733765,4.129139485141774,12.716134741253686
rho 1418,M8/B3,8076.445763849015,36.04181961704293,4.725529557993955,-0.27977721505107467,1.3386080619869025,3.145856206100887
alf 1665,K0.5,4083.043165463452,27.478440232423562,9.096539868629321,-1.4646819707253713,4.424508607256897,12.62152519417315
TOI 8223,G1VI,4185.962553685853,38.48119541098416,7.192978240465991,1.3698961447082076,3.0335899467366136,7.500229149684732
bet 212,A5.25III-W7.25I,5329.0843570121215,58.610124246831234,5.5444375905697525,-0.48120311282144873,4.514791846312542,9.62242153551135
HD-3282,M0VI,4864.303081608912,25.70877608443064,9.04108174035482,-1.1488182846262105,6.398428985562592,11.35950369819771
WASP-59382,B1.25,5219.0099423728525,24.66422511438111,8.567527408765494,0.0645434980843016,4.342393461041308,1.4567217162944903
bet 8711,F0.25,8303.371378926244,22.077039888589518,7.236161640884529,1.2569638600553017,1.125075958656348,11.613760496503573
BD 6784,W2.75I,4608.33542440803,10.51459430961449,6.9338402990344665,-2.433168674579402,6.255860512308036,10.447099361922804
gam 6512,A,5675.7645701986485,19.158899810902437,3.449421368424685,2.0769595494472233,4.547154544070951,6.873307642895256
tau-4275,W3,5797.497589263459,8.870362252220108,5.695292018771408,-1.4488417067463675,3.0862080122341213,7.257422800914053
mu2-5135,D9.25,2601.537761722723,4.013998008917891,3.3524150064828926,-2.0054992760766694,3.246467261475235,10.93872265259549
mu-3219,M4.75VI,3734.0843515606357,22.50376626924386,8.451103283226782,-2.8310425990197445,0.7595189885434794,11.574045915153125
xi-9,L7.75I,4417.056336544009,22.818564089233405,2.4046202166854793,-2.26071498769395,3.5832131128576865,4.79698563520338
kap 559,A5.25,3229.8279855118235,28.135570807741974,3.0814626008935577,1.531721889948993,6.87120747755888,5.339032153105901
bet-647,M8.5-III,3389.794530955273,16.869908783170793,5.698664673139633,-0.2345974637553821,3.6128222636757785,4.707287240285486
kap-827,M4,4130.584469035429,33.40352949622273,4.424137495255567,-1.8974167396852548,5.462392289997911,6.425376460261012
DP-5563,M3.25VI,4232.207433945588,47.899996764801124,6.2885826942062995,-2.2712367776374403,5.0573167729495525,2.560598863858157
GJ 7435,A,4784.146364064152,46.956937866509975,1.8647148446593715,-2.042231000177891,6.030942904265352,0.6047785482620762
nu 1795,G2.75,4300.981035916226,31.723276941094767,2.314444644231213,-0.30740732653561387,3.194526035236079,2.796009576228683
kap-4998,W2.25I,7803.749027021282,28.632439805240608,6.54386624180354,-1.4677937092229578,2.1628499829622294,5.696894042964534
ome-79705,LIII/T4.25,7486.366701325051,40.32014244162538,4.881690692077394,1.3732916420768284,1.5056226146173248,0.6979383084944875
gam1 8165,G3.25II-I,3561.5966448120616,41.46700830948364,2.613141069308658,-0.24877444704188384,3.89487354505312,8.330560840689287
WASP-98,B2.75,3540.778566834891,19.95613211169578,10.674405703214441,-1.9047365902004603,3.4287764062848134,5.7072556335979465
Kepler-1420,F8.5III/III,6016.906563846465,34.67295606434548,2.8785163186482006,-0.8184152835239116,3.3715066087600944,2.135411010219932
rho-6476,LIII/T4.25,3219.678469838207,42.70787764631315,4.593932528576278,-0.6288725801052732,1.5081311299817737,12.598371822396917
bet 8762,L4.5I-A9.5IV,4568.5854611552195,14.489675692964914,6.600575546542235,-2.009104980074381,4.986574837594258,8.85478079257618
gam1-487,AIV-II,7193.822044975981,15.32203369611756,2.296220141891805,0.6140117852000604,4.643591408550689,12.492613001005857
eps-3393,B7.75V,6502.924096692148,5.770256161597089,4.765834534976241,-1.6858451620449324,3.272859010620551,6.064113495899317
alf 9093,W9.25,3683.506004984527,31.474046040594764,7.7950629577134904,-2.5802596532889526,4.676856721163398,2.6834276737988683
Kepler 7172,K9.5,5717.144961815072,19.40168829054911,1.8068626995782173,-1.3098573805706706,4.566013013411631,13.482158799023725
gam-3527,F2II,5473.339466313358,51.483653651027765,5.751728313488814,-1.6281838897459788,1.6636043830739977,14.295327609612754
rho-166,M5.5IV,1993.7135630863063,61.53486443089258,1.2535080596209491,-0.19910459021814003,6.275880915453269,4.5061485527713625
xi 5126,W9II,4227.878930156123,54.665278994445856,10.08210215736166,-0.17635299226707557,2.9586812720365288,13.139327947885747
Kepler 827,B4.75V/IV,7241.644229965837,35.08508699857296,5.975795292099202,0.074243430740068,3.838296713488242,8.288625991280906
nu-434,M4,5537.0333265235795,2.7473701912077964,2.460554371865032,0.9501710818476525,2.9641389115885723,4.7748252146742605
HD-3453,M1.5IV,6420.315266658961,25.843362429130828,4.715776190173594,1.860706869525399,2.9139448213295704,6.939427450234575
DP 3657,F5.25V,4488.518355461537,33.12811097253145,5.804212665088513,0.22320226537476412,0.7616816209246622,5.838192720309555
HD 6519,G7IV-B0.25,6398.443567348504,17.68273289217259,4.236481628601008,1.5631434178673473,3.3060249290423123,5.63190101240936
EPIC-8480,K6.25I/M8.5,7081.427281259479,35.11011158602418,5.991965243509022,-1.5641854364329426,3.1403370057097217,7.979651585716106
ome 9161,F9.5IV,5121.3412791272185,22.14643890104184,3.225737704046489,-2.2928970989692194,3.8247334331191762,10.20186666650002
eps-2537,M1.5/L2.25III,3532.1376905626275,11.713290204739582,8.910812635839095,-3.295734217588418,4.526914026952298,6.992278874763799
mu2-948,M6.5,5461.793694207755,25.1894069730865,8.844440648511359,-1.7375120719933896,2.8223784880562377,6.514381215348181
gam1-57,L4.5,5001.531540733461,20.009586834295618,7.011491236021003,0.3830835244302309,1.5416417432081861,0.7937616932244049
kap 4067,A1.25I-,4822.950696872699,22.01962422131156,9.044310881134152,1.7971612829569368,4.705140907295381,5.512864460885191
gam1 2476,D5II/G5.25II,5722.71811791029,48.618988008388506,6.87057191849491,1.6497114822878727,4.932812913276136,10.636237586032093
DP-4675,B7.75V,8440.226004281018,36.38233764068621,3.403595484309704,-1.1938544178692998,3.559293095143909,0.8438179557732806
gam 4374,K5.5,4327.553547788778,13.921504808019495,0.49768955727674413,2.1093299039938707,2.7523055312488385,4.283448486265814
WASP 7217,K0.25III,5522.445302049942,23.98111493516071,1.2829274577170873,-0.9391742854204843,5.083829001474458,2.101987192070914
alf-481,B2II,7246.085499837438,13.365988250638528,7.795962789292495,1.7858093168722926,3.4040226570393526,7.6534836730303715
Kepler-8875,T0.75I,7742.424842445022,24.982424274363158,9.279763507755739,1.8505808165973445,1.2667987120087836,9.335127797208457
iot-2831,FV,5514.774129021662,30.515766369870796,2.1909206808915376,-0.7567600485330788,3.558561267120935,10.055352221634974
rho 2477,M0.5II,5454.140427002273,1.7458186684177086,6.431844547582177,-0.6349861137441392,2.5946744666083403,3.179403708983955
Kepler 9457,M1.75,6482.085515738554,28.495687455843186,9.292784482189678,-2.542890767690152,4.227213743496773,8.361185774627506
mu2 1459,G4.5V,4234.12771252349,22.812889998665273,1.051480629629273,0.1780350435917341,1.9349608308930801,5.0636093519668215
HD-1049,F8.5III,7641.63195911413,1.5155713697286934,4.709694644050833,-1.309769370131872,3.0884496401037507,0.6114560580118429
ups 2620,K9.25II,3826.386807333023,41.44669061823936,2.5444727764058985,-0.9164510297150057,7.053288611852735,6.7053756401058795
TOI 707,W9.25IV,4672.849570083011,57.17874536366031,3.1707657740788107,2.221026660210902,3.5291305952324312,0.9125784020914454
EPIC-5042,A,4947.550504794366,31.41002109715366,8.447356679154609,-1.0376504500490373,3.188705897042621,12.823148407866825
kap 85199,F5.75I-I,3683.468644847695,26.467311499875976,5.387770695076715,1.0385161532071492,1.8727537627011057,1.993776426723831
