Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
BD-1356 1,Pulsation Timing Variations,2016,1,821.6105176246481,20.380008833787343,12102.46821876799,51.4096204318483,0.04792053969162052,1024.762751776374,5514.94173400136
BD-1356 2,Pulsar Timing,2018,1,356.97776842607175,4.626641024887795,9524.63157482897,120.60452084568797,0.02997370179394837,,6009.668861473177
BD-1356 3,Transit Timing Variations,2022,1,429.18009837961154,15.429825938756785,5130.298334956274,163.49402663792102,0.09489371590206616,,5714.623433211162
BD-1356 4,Orbital Brightness Modulation,2022,0,690.4510020316918,9.041839785357535,8846.199485078267,228.2632006847959,0.06604800183099027,1606.2976209154617,7221.9683318428415
2MASS 7789 1,Radial Velocity,2021,0,645.8067585802994,16.56051789121878,4121.127933426937,127.01374742994363,0.02192527233345069,,6255.347816969068
2MASS 7789 2,Eclipse Timing Variations,2014,1,133.10384714310948,10.7981121411892,7679.9309965604925,150.61146507064583,0.07409036282916434,,6281.429457880098
2MASS 7789 3,Pulsation Timing Variations,2019,1,856.0648820640835,9.196864221723406,4991.987051179757,144.3414662333526,0.03913764656251046,142.26026802454624,6379.340302246148
2MASS 7789 4,Microlensing,2019,0,271.42220469930976,14.697430209707775,7466.989605594954,59.5986403914809,0.030201822110071632,965.8938026875746,5562.0556982475255
alf-9135 a,Pulsar Timing,2019,1,614.1405479187533,11.115790994304339,9837.682378928599,174.444354129287,0.0685760943039128,1220.2200696470827,5419.86000063401
alf-9135 b,Imaging,2021,0,305.2847874357818,22.402404809205365,3290.4742183354156,9.231578372589567,0.04817494327008579,,6234.882960434682
alf-9135 c,Microlensing,2018,0,604.8728488047608,9.509246495507291,4262.148033997975,33.548306272554015,0.06047820944380937,1158.8586156541628,6235.6067351299025
alf-9135 d,Pulsar Timing,2018,0,829.169805890906,13.532137916566146,5186.428379539764,97.4896961060704,0.03675571896210576,1990.7428983421826,5378.234135118658
