Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
BD-1356,T4I,6924.731852842359,33.24069962897441,5.512962971939953,0.24138407768665315,1.9901684906819241,9.09391779806373
2MASS 7789,K1.25,3545.3828037154303,12.189466646855275,6.4560905786111915,0.6135620889014255,4.757352406827738,8.37876838217391
alf-9135,F4.25,4233.970668707693,9.649313046532082,1.4313788136581342,-0.6177381449954122,3.949877140440789,6.417221654836989
kap-1129,T8.5I,6670.919582790067,44.64487285777581,5.643202924244294,-0.3003651361855147,6.731429197608683,0.7765321351231202
EPIC 541,K4.25,4114.109811505646,21.397092984502237,8.045467247201232,-1.6718883359263599,2.1102812634442847,5.085269665049965
CoRoT-7316,K0.25,4119.168752172203,17.587085395921108,2.0031461797375205,2.7069812423869504,3.5893288940194963,8.347580073736186
gam1 9591,K7.75VI,7210.063410579039,26.804679062452596,3.8882257215491274,-1.8598780616856867,0.6372242288881611,7.619179497273181
mu2 6276,F9.5,2829.1404662206874,14.769733451422601,7.892920784824376,-0.05479050819390338,4.603312648767935,7.947401900379989
ome 5975,L6.75III-,3613.838645202868,15.594400856950115,7.962159847881279,-1.1594711053461861,3.9642195235385738,6.891904063433383
iot 2320,K,5431.90249328769,27.61623371978744,5.364809397919161,1.347184572221223,2.6913778670927324,1.8730022993222146
gam 166,T4,6159.255050709244,35.19588376049231,5.719976312092278,-0.022094991530146962,2.738404854415652,9.296475808915643
nu-8171,L5,7655.467892072487,16.437211486325936,6.906275893284974,-1.1306635184398985,3.330787412958986,5.036940481915747
DP 2349,F4.75I,6987.578526018761,12.266416047080847,9.686241161129617,-0.340715528054638,4.892701699010542,5.080578732098434
xi-6374,K7.75VI,4545.701274279765,25.841357797196714,3.0628092972567247,1.4973993339573288,1.7712439453237703,7.885389065099238
kap-8318,B,7412.949291456088,18.72945569338306,1.5216824474567048,-0.2173670706506884,1.9018993902796588,11.772686509934452
EPIC 6053,T4.75/IV,6911.391268466879,61.06525756454786,1.9472053955875612,1.850233255750869,1.3295774539064475,5.9074216419327215
rho-32032,T3.25,5417.652539541272,15.51676509304156,7.436752835416775,2.6212035906420272,5.643262492885178,6.169364553773495
2MASS-8823,L6,5256.823673402126,14.325918919921707,1.2875185798137991,0.09341128592756887,3.3334445729172937,8.904611135530208
gam1-3744,K2V,5968.815070231021,66.95994755342004,10.409605004796312,1.1019021219290195,3.6597416314437106,4.078190520917628
WASP 2514,G9.75IV,8702.508113222753,25.197704933607238,3.7386783199654445,-0.8415069625122045,3.211999397485714,5.153524161230336
gam1 8088,D5VI,5339.813341787734,42.833089153349235,1.071061721167232,1.01640356582278,3.149069584178056,8.139645947860428
ome 8215,M7.25,6967.743162091796,42.792113981092,0.280994033124208,-0.7715883917347062,3.8207796037799344,6.80301304320058
ome 63332,G0.25V-M8.75V,6458.504104403583,21.17387393556894,8.038650799134931,0.5378341997311933,2.9271777870472064,12.458597530109692
omi-57,B8.5,7696.763564562442,33.62366030066768,6.592330015041142,2.96202227863101,2.3029985998223292,11.67048294404157
tau-4963,W3.75III,4088.0410920676,17.754595628098368,4.748433963343026,-1.8186793441467821,1.47615083280338,7.665280328977179
mu2 3843,D2.25IV-M9.5II,4544.487812735135,51.13296161116936,4.062199734177261,-0.13387378150992246,3.3141525223480786,6.164862386270415
omi-7593,M4V,2133.96546207303,35.497947286274226,7.232630758940248,-1.18205671488469,1.4423479670635584,6.555669601397514
mu2-12005,G7I,4796.782690363518,22.885450761165366,3.4480867893140448,1.1773071399854351,0.735247005013214,9.815764040255297
rho-4696,T5VI,7709.933857200875,22.559674165405273,4.875155446317798,-0.9172198186319074,3.7219036684829923,2.774287489190116
eps 3988,F7.5III,4786.71454428865,18.367655667546632,6.966899231297104,-1.1350017311872758,4.651300765122086,6.549343468884326
TOI 3266,D0-GII,6200.977428858186,25.580130519162992,3.684012793616459,-0.9274512543678506,1.741642276103922,0.8449557219802353
bet 8860,FI/BI,4640.4905009679715,52.38177211477529,2.340870345000631,-1.2143790733317368,5.3310163951430845,4.483333098183952
tau-5340,T0.5I,6285.06661468214,25.692936102965646,5.124427749548464,0.12922625520567382,0.7583236312200592,4.062242032391552
gam 8113,G3.5V,5667.343423504621,45.14001616640839,4.468217137615477,-1.639939704270976,5.8920616059762985,1.6982869317408316
psi1-7270,DI,6575.101183727014,39.08638470582136,0.5339967822603393,1.542447903075152,4.036095263279324,12.8010164321904
xi 6386,T0V,5604.6770217610865,6.328836329236196,3.068735661660772,1.4894553543928968,3.4443125747153207,10.408556243103373
xi-40707,B8.25,3831.494559787222,24.182792389644725,3.61817853836914,-2.0369605165593945,3.829215568636355,10.24468287480449
gam1 1710,M0.5,3988.856943573771,19.958974421535068,7.535280920699604,-0.9866223792730073,4.369762652402606,9.10268343517406
Kepler 7790,A4.5,5163.928126772055,26.365300656963992,3.3586511204398812,-0.21884763510659927,4.473945432162317,9.56807081020876
eps-2929,F2.75V/T2.75,8555.909864506766,26.3077750825414,4.708728136184785,1.2470627788730815,2.6133824983538556,8.308429692943477
WASP-4371,K7III,3616.289312685789,28.610403329014588,6.523043647275243,0.581686857674125,3.0935187948848517,11.689193295437159
TOI-6979,W7.5,4434.748470693056,33.51136153398377,3.1986702642267937,-0.5208103801751829,4.4848677944990705,2.192823292761644
GJ 3744,K5.75III,7140.28151548023,39.44487074911884,2.1549977003990084,1.3171909386295717,2.725822161659249,8.362680337824884
mu-4393,A2V,3865.3313368931313,15.66236271116791,3.9171906575198627,-1.993214807450492,1.5203705686410829,3.426272396766838
GJ 3691,A0.5II,10156.180255207737,7.266396418442124,5.747908783506913,-0.21308812102735003,6.334648674106484,8.884823844179005
TOI-5463,T1.5II/II,1038.6880250139584,10.930619625388115,4.710250630776453,-1.6764353471667068,2.2520449981641444,8.508291726167855
GJ 5340,GII/W9IV,6133.66796495407,50.020541874507146,10.078845740398862,-0.3627717910042111,4.228580786664436,6.532544542292622
