Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
HD 3180 1,Eclipse Timing Variations,2021,0,677.4664243696232,15.691382848389644,4708.084284020651,135.64381854150344,0.0701659447426494,1971.0520081082082,5927.840933743135
HD 3180 2,Eclipse Timing Variations,2018,1,104.87397685631157,2.934885452944883,4639.556565073547,18.018635953501885,0.08163340709464259,206.108206374803,6413.972096136638
CoRoT 5183 a,Pulsation Timing Variations,2019,0,784.6420261925323,23.47860965907971,3640.7258045014933,165.40063956401696,0.030689919199979654,684.8614838020965,5880.700291343177
CoRoT 5183 b,Astrometry,2018,0,575.1470106431304,2.4547426609169296,9596.637172044215,26.893779606808152,0.04795244968573749,687.7657294284043,6780.702591038472
xi-5416 a,Radial Velocity,2020,1,681.6445439222011,14.521449149411675,1930.068683298473,157.4133002051166,0.03642493044376166,1298.8732739157972,5243.108276115296
xi-5416 b,Eclipse Timing Variations,2017,0,768.2040698167182,15.541594755482317,6611.625843639433,18.9424651415123,0.07185642856195597,509.3404633319652,5523.997767430161
WASP 7038 a,Imaging,2016,0,391.22855638910164,22.463281728657055,4222.620695432519,51.99698791968482,0.07899777102481477,579.4577835048102,6843.450604815824
WASP 7038 b,Astrometry,2020,0,677.3157615071553,11.134090281800749,3278.2452495315156,155.7025907146181,0.09564581015739387,350.23483151871824,6390.827294698428
mu-3360 1,Transit,2016,1,349.0521252486104,18.882139399385103,4292.882273029799,125.05802847383568,0.06060413012798393,1261.540033604904,5198.499659062888
mu-3360 2,Orbital Brightness Modulation,2017,1,344.1934766138412,10.318925921585025,5994.894505160561,123.73868497122275,0.00022085068293881127,1293.5284787402713,5884.240823709806
gam1 4825 a,Orbital Brightness Modulation,2017,0,598.7776406651641,7.622481306123149,9386.403677045557,49.971814042898515,0.011277471957983065,194.90119788470417,5789.667108231409
gam1 4825 b,Pulsation Timing Variations,2016,1,125.97705838879426,11.549710781251136,8996.80598071603,115.8437821138423,0.0321720316327542,1077.2240484843344,5267.082296162059
TOI-1875 a,Transit Timing Variations,2021,0,827.8665051799478,10.286222875883702,8148.920262093856,8.682866919483331,0.04665251085534304,1467.3640243960824,6621.414387365876
TOI-1875 b,Orbital Brightness Modulation,2020,0,399.29960164694836,7.723109838141676,5045.95929859609,54.7725360651323,0.02702402782286607,312.88823134663676,7170.676414383725
Kepler-442 1,Disk Kinematics,2018,0,914.6931741276105,13.975101510052605,4602.580859658742,171.43257326919309,0.02686679301020524,321.76410666614845,6250.728023916642
Kepler-442 2,Transit Timing Variations,2020,0,384.80646556691516,13.178390664700961,5750.388824571052,158.46199393929373,0.07585083801084837,660.195722553916,4554.52012239002
BD-7680 1,Transit Timing Variations,2017,0,190.327689933467,18.49324508760443,6460.943422524513,90.60509696913881,0.06024961136230201,816.8808442232659,5750.755212002756
BD-7680 2,Transit,2016,0,310.0349364619805,19.550504827589883,4779.456829749032,83.20892290383169,0.014069306181219939,1430.716160321683,6785.4960522753245
mu2-6720 1,Pulsation Timing Variations,2017,1,281.7505957440029,2.2769088315058816,8085.710810980354,65.68734838214866,0.03231055660775369,1633.3770479568998,6409.823524787967
mu2-6720 2,Transit Timing Variations,2016,0,337.19570381082275,6.4821883759064916,4889.471788144199,91.92244225607504,0.030901725498737685,1493.7369335142243,5077.07048873997
WASP-7066 a,Eclipse Timing Variations,2020,1,670.3406418798799,26.73258681961214,7297.0815632450685,152.25746381240685,0.004349082490966799,248.1773909571134,5805.108676711797
WASP-7066 b,Imaging,2018,1,14.227051767301703,9.034341899331451,4556.759114867046,131.72837915902852,0.11067173210479744,379.90083016148117,5981.777337513112
bet 4838 1,Imaging,2017,0,329.6131694153644,11.538901336256181,3009.7859643175393,53.064746327105475,0.048564054205913205,592.0985493801118,7072.28667043661
bet 4838 2,Pulsation Timing Variations,2017,0,564.2363794471836,7.75173767681218,1933.5931760894578,60.356978810269105,0.04952445166289214,1249.3260237875484,5087.318478034633
gam 4827 a,Astrometry,2018,1,490.84036792871916,11.74249727989303,5472.451538261159,33.96134130471006,0.06463151672361778,475.1023671788133,6688.3941396171995
gam 4827 b,Transit,2019,0,335.06984457516694,18.962344158877528,7659.539085128959,78.50600223531251,0.042043124722612964,902.3274195522147,6578.914536075391
ome 8440 a,Disk Kinematics,2017,1,532.6611711511108,13.513924831980159,4095.0249823908907,191.2050615924411,0.07150332046460561,1769.809298786673,6341.7749985368555
ome 8440 b,Disk Kinematics,2017,0,575.3269902621153,28.37392656193243,3893.510803002341,95.29305169539418,0.0555368606699423,888.4173416174788,5879.411606145102
xi 5133 1,Transit Timing Variations,2013,1,132.06910561888094,10.334654442690148,5898.672677961581,25.32091817704412,0.041233905870668726,2097.578366381948,6442.627111939875
xi 5133 2,Radial Velocity,2021,1,752.5046226863583,20.643876622114032,3786.0303012687536,65.23601813419678,0.026127372801127476,931.736078803803,6491.086897580415
alf-1875 a,Pulsation Timing Variations,2019,1,985.3438821526211,17.955269269424086,1488.4654554400067,91.9906835863548,0.08075168303571052,732.4357928993816,5784.578223575546
alf-1875 b,Microlensing,2018,0,658.9316040674107,10.668266517788298,7460.875998519145,63.386612553435846,0.1258182350034613,1749.211204712025,6206.978352403823
Kepler 6053 a,Pulsation Timing Variations,2020,0,749.8323723585581,0.7229771268262013,6038.204778947083,144.4449641131829,0.03574722117316422,873.840493666872,5382.8674189903795
Kepler 6053 b,Imaging,2022,1,329.1345535654225,5.595897040431722,3648.7220567285995,169.35641573191245,0.04213623107846584,1338.9526894951844,6028.23510808792
omi 4294 a,Radial Velocity,2018,0,662.921456995963,11.872899276934428,1042.4644102783764,1.476361876448209,0.041823723938672154,1976.7541628683312,6668.839785612869
