Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
mu2-3993,L7/,6386.239118955878,46.03534046736316,8.615984024114343,1.714933540703475,5.725747440657409,7.160110571029676
CoRoT 8129,D3.75I,5751.78691211886,47.11535018447464,8.771415310527026,-0.132966059727092,1.899110777962821,6.363084343769152
tau 70,F5,2272.96237274389,37.21674778892667,10.5,0.6025480597839747,4.393032891542951,2.3886587315905743
WASP-1989,D9.25I-,4743.12570325876,36.26623859736273,8.0,-1.9405772543610444,4.09867162730719,7.591082283180461
xi-57,K3.75I,4520.261298184894,32.5314759060558,10.662457357662454,1.093962636304805,1.893769619922404,6.299689682504823
Kepler 5742,M2VI/TIV,5010.003859326102,56.5690084156127,10.22590028631523,-2.983125763136195,1.8737026542065225,7.646807347809861
iot 90588,W1.75II,5278.0724152354105,27.07625961091635,2.425448628607377,1.6933926014066307,5.302735368741683,2.228054494216571
iot-4116,G3II-K4.75IV,4976.263734351213,2.4248960013115664,8.0,-0.2200762660388732,4.399775328256497,11.01871616649817
BD-9343,F5.25VI,3628.5650055703663,8.310552477435554,3.854524980644636,-0.2382486933011318,3.3355592224903594,8.770145944768661
eps-5052,M2VI,4780.003797305708,25.456195189228684,10.5,1.1322144490042143,4.5407146230573705,1.9926564240327185
rho-4824,A2.25VI,6549.066655976645,58.42973391091422,8.0,0.054676640846591,3.0469026549575515,4.677352180419302
mu2-4314,B5.5,5548.514854710522,18.890625585577805,8.0,0.2711889210400885,4.983605351158404,5.27265520557127
alf-1848,F7.5-I,5881.060855533864,24.44116358099491,8.581607711371237,0.6956422075781916,0.8927040267040653,10.136558697466906
ome-9491,AIV,6671.969736056133,31.94025049223404,10.446556864028754,-1.889275355084432,3.307952953948448,7.838102298236974
2MASS 39,M4.25V-I,5843.315982457931,36.481967135993,7.178423501333737,0.4462240942040619,2.9564246881307925,12.555762901031054
HD-4487,A5,9141.503513082464,32.17361305482165,0.3,-0.7112024917291089,2.687242440959273,11.71140733512457
iot 5584,T7I-,5251.654351904295,21.18609221663001,8.0,2.0059665194308667,3.278284449307299,11.732907750880138
