,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
0,Bulbasaur,5,81,193,Alola,241,68,133,Steel,Poison
1,Ivysaur,242,182,80,Paldea,247,222,34,Rock,Steel
2,Venusaur,255,126,67,Galar,25,90,147,Fighting,Flying
3,Charmander,148,79,88,Kanto,141,142,173,Flying,Normal
4,Charmeleon,7,132,45,Johto,76,177,171,Fighting,Flying
5,Charizard,185,253,93,Alola,219,194,203,Poison,DNE
6,Squirtle,107,165,196,Sinnoh,8,31,21,Steel,Electric
7,Wartortle,216,81,217,Johto,80,3,4,Ground,Ice
8,Blastoise,234,13,6,Alola,67,140,149,Flying,Fairy
9,Caterpie,123,226,243,Galar,104,145,242,Fire,Ice
10,Metapod,196,156,169,Kalos,234,109,1,Fairy,Psychic
11,Butterfree,125,236,168,Hoenn,138,152,218,Dark,DNE
12,Weedle,62,62,247,Hoenn,15,88,199,Grass,Fairy
13,Kakuna,234,90,209,Alola,79,192,112,Ground,DNE
14,Beedrill,78,55,138,Sinnoh,174,142,177,Psychic,DNE
15,Pidgey,119,146,230,Kalos,150,21,114,Dragon,Ice
16,Pidgeotto,196,121,255,Paldea,6,79,86,Dragon,Steel
17,Pidgeot,116,249,11,Galar,114,95,161,Water,DNE
18,Rattata,43,216,8,Galar,68,176,62,Normal,Poison
19,Raticate,169,84,256,Alola,83,36,144,Water,DNE
20,Spearow,225,15,173,Kalos,189,26,106,Dragon,Ice
21,Fearow,9,141,153,Paldea,119,77,96,Normal,Bug
22,Ekans,36,131,15,Sinnoh,159,74,172,Fighting,Flying
23,Arbok,73,152,204,Galar,255,241,59,Dragon,Steel
24,Pikachu,73,41,123,Sinnoh,17,149,169,Ground,Rock
25,Raichu,13,25,162,Kanto,224,42,234,Steel,Ghost
26,Sandshrew,227,64,66,Kalos,96,40,151,Psychic,Ghost
27,Sandslash,40,187,226,Galar,129,64,12,Ice,Psychic
28,Nidorina,71,44,85,Kalos,29,210,215,Fighting,Psychic
29,Nidoqueen,208,122,194,Galar,198,194,18,Water,Fairy
30,Nidorino,36,19,83,Alola,171,172,254,Normal,Ghost
31,Nidoking,78,208,57,Sinnoh,189,98,32,Poison,Ice
32,Clefairy,26,86,135,Johto,183,31,162,Bug,Fire
33,Clefable,166,1,9,Hoenn,164,130,168,Ice,Fairy
34,Vulpix,142,17,33,Sinnoh,202,19,245,Electric,Fighting
35,Ninetales,181,89,7,Paldea,75,179,67,Fairy,Ice
36,Jigglypuff,33,158,17,Galar,223,65,79,Normal,Fairy
37,Wigglytuff,177,63,203,Sinnoh,91,25,117,Grass,Fairy
38,Zubat,45,150,240,Sinnoh,166,25,139,Poison,Psychic
39,Golbat,112,120,193,Kanto,211,209,91,Rock,Poison
40,Oddish,183,174,237,Galar,32,181,80,Fairy,Electric
41,Gloom,213,59,219,Johto,121,97,223,Dark,Dragon
42,Vileplume,123,69,5,Unova,140,39,253,Grass,DNE
43,Paras,218,207,215,Paldea,10,59,141,Dragon,Flying
44,Parasect,125,185,214,Galar,85,158,165,Fighting,DNE
45,Venonat,145,110,202,Kanto,143,71,239,Fire,Dark
46,Venomoth,166,94,174,Johto,39,85,163,Grass,Electric
47,Diglett,42,9,84,Johto,32,186,123,Fire,Dragon
48,Dugtrio,110,170,253,Galar,53,11,103,Ice,DNE
49,Meowth,47,237,165,Hoenn,95,204,49,Ice,Water
50,Persian,228,48,70,Kalos,198,221,228,Electric,Dragon
51,Psyduck,21,47,17,Sinnoh,227,236,136,Ground,Normal
52,Golduck,96,203,231,Paldea,47,227,12,Fairy,Rock
53,Mankey,83,66,235,Kalos,235,161,37,Ghost,Poison
54,Primeape,23,101,144,Hoenn,19,49,130,Bug,DNE
