,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Normal,0.5,1.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,2.0,1.0
Fire,2.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,2.0,2.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5
Water,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,0.0,1.0
Electric,1.0,2.0,0.5,2.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,2.0,0.0
Grass,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5
Ice,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.5,2.0
Fighting,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,1.0
Poison,2.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5
Ground,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,0.5,2.0,2.0,0.5
Flying,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,2.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0
Psychic,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,2.0,0.5,2.0,1.0,0.5,0.5,1.0,2.0,1.0,2.0
Bug,2.0,0.5,1.0,0.5,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0
Rock,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
Ghost,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0
Dragon,2.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0
Dark,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0
Steel,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,1.0
Fairy,0.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,1.0,1.0,0.5,2.0,2.0
