ID,Position,Nationality,Overall rating,Preferred foot,League,Height,Value,Name,Age,Attacking,Team,Defending,Goalkeeping,Wage,Movement
409852,RW,Cyprus,90,Right,"Coffey, Morris and Bell (Greece)",204cm,€242.9M,B. Lawrence,36,67.0,Gordon-Henderson,94.9,76.9,€468K,29.9
984225,CB,Greece,90,Left,Premier League (England),205cm,€188.8M,M. Pena,30,86.5,"Miranda, Martin and Anderson",60.4,32.0,€473K,91.7
691118,RB,Botswana,90,Right,"Coffey, Morris and Bell (Greece)",206cm,€191.7M,B. Mitchell,34,41.7,Hicks-Henry,42.8,92.7,€547K,81.9
402462,RB,Austria,89,Right,Premier League (England),185cm,€192.3M,J. Hunter,37,56.1,Gentry-Garcia,27.9,89.7,€461K,85.6
845565,CB,Cyprus,89,Right,Dunlap-Jenkins (Greece),189cm,€185.9M,J. Compton,40,47.4,Willis Inc,73.3,39.2,€481K,94.3
427749,CDM,Faroe Islands,89,Right,Stewart-Cooper (Vietnam),174cm,€183M,K. Douglas,20,57.7,Manchester United,17.0,93.8,€452K,71.5
264586,CB,Western Sahara,88,Left,Stewart-Cooper (Vietnam),193cm,€181.9M,N. Reynolds,44,80.1,Underwood-Gomez,76.4,30.8,€458K,90.3
895456,ST,Western Sahara,88,Left,Premier League (England),174cm,€184.4M,J. Dennis,23,84.0,"Diaz, Evans and Pham",89.2,54.2,€454K,75.1
675751,RWB,Faroe Islands,88,Left,"White, Wiley and Jimenez (Saint Kitts and Nevis)",185cm,€178.8M,Munoz,35,69.8,"Wheeler, Moore and Allen",75.8,53.6,€439K,91.6
313279,ST,Guatemala,87,Left,Beltran-Keith (Cyprus),165cm,€183.4M,C. Gomez,15,84.9,Perez-Lambert,87.4,22.4,€460K,48.7
313987,RW,Botswana,87,Right,Premier League (England),203cm,€179.5M,B. Lowe,32,78.1,Bell-Odom,90.2,53.6,€420K,28.4
223940,CB,Saint Kitts and Nevis,87,Right,Premier League (England),186cm,€181M,Justin Jr.,16,45.2,Davis-Kelly,71.2,22.5,€426K,92.2
863328,RB,Western Sahara,87,Right,Premier League (England),209cm,€166.4M,J. Cain,30,69.9,Campbell and Sons,26.4,92.6,€417K,59.7
724172,LB,Guatemala,87,Right,Stewart-Cooper (Vietnam),204cm,€172.3M,John Daniel,35,89.8,Wall PLC,80.3,62.0,€406K,23.0
134899,RWB,Western Sahara,87,Left,Premier League (England),150cm,€163.7M,R. Adams,53,79.9,"Diaz, Evans and Pham",80.3,69.8,€434K,88.7
263153,CB,Guatemala,86,Left,Premier League (England),167cm,€176.9M,Alexander,25,86.8,Davis-Kelly,54.7,30.3,€417K,82.0
779702,CB,Qatar,86,Left,Premier League (England),201cm,€158.5M,Carl Jr.,35,55.0,Orozco LLC,85.9,27.6,€382K,85.7
223309,LB,Guatemala,86,Right,"Smith, Townsend and Moon (Vietnam)",155cm,€163.3M,M. Perkins,23,87.3,Martinez Inc,84.0,29.4,€387K,18.4
478641,GK,Faroe Islands,86,Right,Stewart-Cooper (Vietnam),170cm,€167.6M,S. Lang,24,46.2,Manchester United,73.6,61.0,€380K,90.5
172722,LM,Faroe Islands,85,Right,Stewart-Cooper (Vietnam),194cm,€163.6M,M. Fox,40,23.7,Holland Ltd,73.8,89.3,€383K,26.5
107217,RWB,Qatar,85,Left,Stewart-Cooper (Vietnam),184cm,€155.8M,E. Hardy,32,50.7,Wall PLC,82.8,60.5,€359K,85.5
525092,RW,Western Sahara,85,Right,Dunlap-Jenkins (Greece),208cm,€151.1M,Pineda,31,47.0,"Mckinney, Williams and Wright",92.6,60.4,€378K,51.3
91044,RW,Guatemala,85,Right,Premier League (England),190cm,€154.8M,Richard Parks,24,74.0,Campbell and Sons,89.0,71.4,€386K,36.8
9171,RW,Western Sahara,85,Right,Premier League (England),191cm,€157.5M,D. Patel,23,62.2,Yoder-Ramos,93.1,49.5,€374K,23.3
34405,RB,Cyprus,85,Right,Dunlap-Jenkins (Greece),167cm,€149.1M,S. Mcdowell,26,54.8,Willis Inc,47.7,86.6,€361K,79.8
755441,LW,Vietnam,85,Left,Villegas-Haas (Austria),172cm,€147.1M,C. Decker,27,85.5,Edwards Group,72.0,82.7,€355K,35.7
256181,RB,Greece,85,Right,Premier League (England),192cm,€149.3M,Jason Jr.,28,66.2,"Taylor, Bowen and Cantrell",45.9,91.0,€355K,66.1
43358,LB,Austria,85,Right,Taylor-Cross (Vietnam),180cm,€155.8M,Davis,34,87.7,Collins-Moore,75.1,61.2,€357K,47.7
174671,GK,Qatar,85,Right,Stewart-Cooper (Vietnam),161cm,€144.1M,Kevin Griffin,25,45.7,Holland Ltd,63.2,47.7,€339K,92.6
223827,ST,Western Sahara,85,Left,Premier League (England),198cm,€150.2M,S. Smith,23,78.0,"Solomon, Lopez and Roberts",87.5,21.2,€358K,77.3
207634,ST,Vietnam,85,Left,Villegas-Haas (Austria),202cm,€146.2M,Jimenez,41,60.3,Ross Inc,87.1,25.4,€333K,80.1
331033,LB,Qatar,85,Right,Villegas-Haas (Austria),177cm,€144.9M,A. Pacheco,21,88.5,Ross Inc,75.9,56.1,€330K,42.0
347432,LB,Western Sahara,85,Right,Taylor-Cross (Vietnam),155cm,€134.1M,I. Cook,27,91.2,Miller Group,68.2,44.9,€309K,29.3
716746,LW,Western Sahara,85,Left,Premier League (England),163cm,€139.6M,D. Conway,25,86.0,Paris Saint Germain,60.5,83.4,€309K,52.6
524295,CB,Vietnam,84,Left,Villegas-Haas (Austria),174cm,€136M,J. Weiss,21,53.3,Edwards Group,85.0,60.3,€316K,79.7
73875,GK,Qatar,84,Right,"Galloway, Mosley and Jones (Western Sahara)",191cm,€134.5M,Joseph,37,23.1,"Murphy, Harrell and Henderson",71.2,44.7,€323K,88.4
156276,CB,Austria,84,Right,Premier League (England),153cm,€142.2M,E. Ortiz,18,30.0,Orozco LLC,74.4,42.0,€297K,86.8
861258,GK,Qatar,84,Left,"Smith, Townsend and Moon (Vietnam)",170cm,€131.4M,A. Tapia,35,68.7,Martinez Inc,89.1,39.5,€307K,45.7
296137,CB,Qatar,84,Left,Villegas-Haas (Austria),174cm,€133M,J. Thompson,38,67.7,Ross Inc,74.3,47.6,€313K,87.0
689582,CB,Cyprus,84,Left,Premier League (England),186cm,€132.6M,T. Reed,20,76.9,Davis-Kelly,58.5,54.7,€301K,87.0
312838,RWB,Greece,84,Left,Premier League (England),204cm,€123.9M,J. Wright,30,64.9,"Diaz, Evans and Pham",44.1,62.6,€287K,90.7
17985,CB,Qatar,84,Right,"Galloway, Mosley and Jones (Western Sahara)",207cm,€126.1M,Marcus Davis,25,45.9,"Murphy, Harrell and Henderson",51.7,43.1,€285K,94.4
173780,RM,Western Sahara,84,Left,"Galloway, Mosley and Jones (Western Sahara)",188cm,€125.9M,Gregory Brennan,21,59.2,Johnson-Thompson,23.4,44.8,€304K,92.6
665918,LB,Western Sahara,84,Right,"Coffey, Morris and Bell (Greece)",201cm,€133.1M,W. Jennings,29,89.2,Gordon-Henderson,66.6,56.3,€285K,44.6
436991,CAM,Greece,84,Left,Premier League (England),174cm,€121.2M,G. Woodard,34,30.8,"Taylor, Bowen and Cantrell",72.2,29.9,€269K,88.1
568344,CB,Turks and Caicos Islands,84,Left,"Galloway, Mosley and Jones (Western Sahara)",190cm,€117.7M,David Jr.,28,79.7,Johnson-Thompson,76.7,54.9,€266K,85.0
953500,LB,Guatemala,84,Right,Premier League (England),160cm,€121.6M,Stanley,25,88.7,"Bullock, Rivera and Briggs",71.1,58.3,€276K,47.0
601298,LB,Turks and Caicos Islands,84,Left,Dunlap-Jenkins (Greece),155cm,€120.8M,R. Villanueva,23,58.6,Willis Inc,35.5,27.9,€290K,93.0
134998,RW,Saint Kitts and Nevis,84,Left,"Galloway, Mosley and Jones (Western Sahara)",187cm,€113.4M,C. Ward,28,92.3,"Murphy, Harrell and Henderson",13.7,59.2,€264K,27.4
929729,CB,Greece,84,Left,"Middleton, Mccarty and Sullivan (Botswana)",200cm,€117.5M,Charles Young,35,76.2,Brown-Watson,47.5,50.7,€259K,87.2
950329,LB,Vietnam,83,Left,Beltran-Keith (Cyprus),155cm,€114.1M,P. Maldonado,23,52.3,"Green, Lawrence and Smith",56.1,29.4,€260K,92.5
942674,LM,Guatemala,83,Right,Villegas-Haas (Austria),202cm,€114.7M,M. Barry,28,38.6,Huber-Rogers,70.5,87.4,€261K,54.4
697209,CB,Qatar,83,Left,Premier League (England),183cm,€112.1M,Campos,24,77.8,Paris Saint Germain,63.8,54.2,€248K,84.3
476027,GK,Qatar,83,Right,"Middleton, Mccarty and Sullivan (Botswana)",183cm,€106.5M,J. Goodman,26,48.4,Brown-Watson,68.6,64.1,€251K,87.7
238681,RWB,Austria,83,Left,Premier League (England),166cm,€120.8M,D. Barry,32,83.9,Orozco LLC,79.0,76.9,€272K,74.5
42240,LWB,Vietnam,83,Right,Villegas-Haas (Austria),185cm,€111.9M,M. Fletcher,25,47.1,Ross-Weber,72.3,44.1,€251K,86.3
247160,CB,Faroe Islands,83,Right,"Galloway, Mosley and Jones (Western Sahara)",171cm,€98.9M,Tony Jr.,35,52.0,FC Bayern München,68.3,44.5,€243K,88.3
206202,CB,Guatemala,83,Right,Dunlap-Jenkins (Greece),203cm,€106.4M,Francis Jr.,27,57.0,"Mckinney, Williams and Wright",49.2,42.7,€232K,91.4
902694,RWB,Botswana,83,Left,Stewart-Cooper (Vietnam),185cm,€113.1M,A. Sweeney,24,55.6,Manchester United,60.1,67.7,€247K,87.7
419450,RWB,Greece,83,Left,Premier League (England),172cm,€105.7M,Brian Jr.,21,79.3,Davis-Kelly,63.6,55.4,€225K,84.7
501666,RB,Western Sahara,83,Right,Taylor-Cross (Vietnam),208cm,€95M,W. Olson,35,71.0,Miller Group,51.3,86.6,€227K,72.0
444379,RWB,Botswana,83,Left,"Galloway, Mosley and Jones (Western Sahara)",181cm,€92.5M,J. Williams,32,80.9,"Murphy, Harrell and Henderson",83.2,61.0,€207K,76.6
764060,ST,Greece,83,Left,Premier League (England),163cm,€95.3M,M. Arias,33,51.9,Campbell and Sons,92.0,53.9,€224K,56.5
149662,ST,Western Sahara,83,Left,"Coffey, Morris and Bell (Greece)",209cm,€92.7M,Reid,29,62.4,Gordon-Henderson,90.1,31.1,€217K,61.4
428364,CB,Vietnam,83,Left,"White, Wiley and Jimenez (Saint Kitts and Nevis)",205cm,€85.2M,C. Trujillo,33,87.4,"Wheeler, Moore and Allen",68.6,24.6,€214K,71.2
