ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
264012,S. Smith,22,United States,Portland Thorns W,National Women's Soccer League (United States),€138M,€2K,82.6,88.8,40.7,11.4,89,ST,164cm,Right
165153,K. Benzema,35,France,Al Ittihad,Pro League (Saudi Arabia),€44M,€89K,86.6,78.4,28.3,8.2,89,CF,185cm,Right
256630,F. Wirtz,20,Germany,Bayer 04 Leverkusen,Bundesliga (Germany),€118.5M,€77K,73.2,84.0,50.3,11.4,87,CAM,177cm,Right
211110,P. Dybala,29,Argentina,Roma,Serie A (Italy),€68M,€130K,79.8,83.4,37.3,5.2,86,CAM,177cm,Left
210035,Grimaldo,27,Spain,Bayer 04 Leverkusen,Bundesliga (Germany),€65.5M,€88K,72.8,84.0,76.0,10.0,86,LWB,171cm,Left
215914,N. Kanté,32,France,Al Ittihad,Pro League (Saudi Arabia),€36M,€67K,64.4,79.0,87.7,10.8,85,CDM,168cm,Right
267275,Y. Nagasato,35,Japan,Houston Dash W,National Women's Soccer League (United States),€17M,€1K,74.0,83.4,62.3,7.0,84,CM,168cm,Right
267215,B. Bixby,27,United States,Portland Thorns W,National Women's Soccer League (United States),€38.5M,€1K,16.2,52.8,13.3,81.6,84,GK,183cm,Right
253149,J. Frimpong,22,Netherlands,Bayer 04 Leverkusen,Bundesliga (Germany),€57M,€63K,64.6,89.4,78.0,10.8,84,RWB,171cm,Right
229391,Palhinha,27,Portugal,Fulham,Premier League (England),€43M,€110K,67.8,65.0,86.3,9.2,84,CB,190cm,Right
199503,G. Xhaka,30,Switzerland,Bayer 04 Leverkusen,Bundesliga (Germany),€35.5M,€74K,68.6,58.4,77.3,9.2,84,CDM,185cm,Left
192629,Iago Aspas,35,Spain,Celta de Vigo,La Liga (Spain),€18M,€35K,81.6,80.8,26.0,12.4,84,CF,176cm,Left
192505,R. Lukaku,30,Belgium,Roma,Serie A (Italy),€41.5M,€165K,79.6,70.2,33.7,10.8,84,ST,191cm,Left
189881,C. Smalling,33,England,Roma,Serie A (Italy),€20M,€88K,61.2,61.4,87.3,14.2,84,CB,194cm,Right
189513,Parejo,34,Spain,Villarreal,La Liga (Spain),€19.5M,€54K,77.6,62.8,74.3,9.6,84,CM,182cm,Right
264884,P. Dudek,26,Poland,Paris Saint Germain W,Division 1 Féminine (France),€42M,€1K,58.8,66.0,86.7,13.4,83,CB,169cm,Left
261733,S. Baltimore,23,France,Paris Saint Germain W,Division 1 Féminine (France),€52M,€1K,70.4,82.6,64.7,11.0,83,CAM,156cm,Left
229582,G. Mancini,27,Italy,Roma,Serie A (Italy),€38.5M,€80K,54.4,63.2,82.3,9.4,83,CB,190cm,Right
228251,L. Pellegrini,27,Italy,Roma,Serie A (Italy),€42M,€88K,77.0,81.0,74.3,10.6,83,CM,186cm,Right
225659,G. Rodríguez,28,Argentina,Real Betis,La Liga (Spain),€35M,€37K,61.0,54.4,86.3,11.8,83,CDM,185cm,Right
213331,J. Tah,27,Germany,Bayer 04 Leverkusen,Bundesliga (Germany),€36.5M,€67K,53.0,60.6,82.0,9.8,83,CB,195cm,Right
210324,J. Hofmann,30,Germany,Bayer 04 Leverkusen,Bundesliga (Germany),€35M,€74K,73.0,78.2,61.3,8.4,83,CAM,176cm,Right
209499,Fabinho,29,Brazil,Al Ittihad,Pro League (Saudi Arabia),€31M,€59K,68.8,64.0,82.3,9.4,83,CDM,188cm,Right
208093,Gerard Moreno,31,Spain,Villarreal,La Liga (Spain),€30.5M,€54K,81.4,77.0,42.0,11.2,83,ST,180cm,Left
188943,K. Trapp,32,Germany,Eintracht Frankfurt,Bundesliga (Germany),€18M,€42K,14.8,51.0,13.0,81.6,83,GK,189cm,Right
